,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
3651,-80.1929903400162,25.7882146825515,3656,0.0,BD15007458,2019/05/01 09:48:00+00,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,5 Day(s) 16 Hour(s) 44 Minute(s) ,5.0,58 NE 14 ST,2018/08/24 18:04:00+00,131360090050,YES,False,2019/03/08 15:39:00+00,25.7882146825515,-80.1929903400162,T6-24-O,,BD15007458007B001,2018-08-24 18:03:00+00:00,2018/08/24 14:31:00+00,BD15007458007,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/01 09:48:00+00,5000.0,195 Day(s) 21 Hour(s) 36 Minute(s) ,195.0,0.0,SHORING / RE-SHORING,3652
14070,-80.19318143,25.78959314,14368,619660.0,BD17007913,2020/11/19 11:50:00+00,,Final,All Inspections are finalized.,CO,2020/11/19 16:27:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,491 Day(s) 12 Hour(s) 1 Minute(s) ,491.0,1500 NE MIAMI PL,2018/07/31 14:55:00+00,131360051010,YES,False,2019/08/22 13:52:00+00,25.78959314,-80.19318143,T6-24B-O,60000000.0,BD17007913001B001,2018-07-31 14:54:00+00:00,2017/05/30 16:52:00+00,BD17007913001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2020/11/19 16:23:00+00,60000000.0,386 Day(s) 22 Hour(s) 58 Minute(s) ,386.0,619660.0,RETAIL OF GOODS:SUPERMARKET/CLOTHING/FURNITURE/BOOK STORE/ART PRODUCTS|MULTI-FAMILY (RENTAL),14071
14072,-80.19318143,25.78959314,14370,619660.0,BD17007913,,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,1056 Day(s) 9 Hour(s) 29 Minute(s) ,1056.0,1500 NE MIAMI PL,2018/07/31 14:55:00+00,131360051010,YES,False,2020/07/08 14:43:00+00,25.78959314,-80.19318143,T6-24B-O,,BD17007913001L001,2018-07-31 14:54:00+00:00,2017/05/30 16:52:00+00,BD17007913001,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/09/29 13:52:00+00,,707 Day(s) 23 Hour(s) 49 Minute(s) ,707.0,619660.0,TREE REMOVAL|TREE PLANTING (ROW)|TREE REPLACEMENT PLANTING,14073
14075,-80.19318143,25.78959314,14373,619660.0,BD17007913,,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,491 Day(s) 12 Hour(s) 1 Minute(s) ,491.0,1500 NE MIAMI PL,2018/07/31 14:55:00+00,131360051010,YES,False,2019/08/22 15:26:00+00,25.78959314,-80.19318143,T6-24B-O,,BD17007913001PW001,2018-07-31 14:54:00+00:00,2017/05/30 16:52:00+00,BD17007913001,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/11/13 18:51:00+00,,387 Day(s) 0 Hour(s) 32 Minute(s) ,387.0,619660.0,BUILDING LINE AND GRADE SURVEY|PAVING OR RESURFACING,14076
14081,-80.19318143,25.78959314,14379,0.0,BD17007913,2020/06/11 14:41:00+00,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,13 Day(s) 1 Hour(s) 31 Minute(s) ,13.0,1500 NE MIAMI PL,2019/10/10 13:56:00+00,131360051010,YES,False,2019/11/26 10:10:00+00,25.78959314,-80.19318143,T6-24B-O,,BD17007913007B001,2019-10-10 13:56:00+00:00,2019/10/09 14:01:00+00,BD17007913007,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/06/11 14:41:00+00,5000.0,46 Day(s) 20 Hour(s) 14 Minute(s) ,46.0,0.0,SHORING / RE-SHORING,14082
33891,-80.19318143,25.78959314,33575,0.0,BD18016501,2020/05/15 07:53:00+00,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,20 Day(s) 21 Hour(s) 43 Minute(s) ,20.0,1502 NE MIAMI PL,2018/11/20 17:43:00+00,131360051010,YES,False,2019/01/02 16:08:00+00,25.78959314,-80.19318143,T6-24B-O,5000.0,BD18016501001B001,2018-11-20 17:43:00+00:00,2018/10/22 15:00:00+00,BD18016501001,Commercial,,0.0,  ,NEW CONSTRUCTION,2020/05/15 07:53:00+00,5000.0,42 Day(s) 22 Hour(s) 25 Minute(s) ,42.0,0.0,EXCAVATION/PILES/SITE AND SOIL IMPROVEMENT,33892
37485,-80.19284145,25.77913242,37108,1422969.0,BD18019396,2021/10/21 07:27:00+00,,Final,All Inspections are finalized.,CO,2021/10/22 11:01:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,53 NE 5 ST,,101060301015,YES,False,2020/06/01 14:27:00+00,25.77913242,-80.19284145,T6-80-O,150000000.0,BD18019396001B001,2018-12-20 14:30:00+00:00,2018/12/17 15:23:00+00,BD18019396001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2021/10/22 07:58:00+00,150000000.0,528 Day(s) 23 Hour(s) 57 Minute(s) ,528.0,1422969.0,RETAIL OF GOODS:SUPERMARKET/CLOTHING/FURNITURE/BOOK STORE/ART PRODUCTS|MULTI-FAMILY (RENTAL),37486
37541,-80.19284145,25.77913242,37110,1422969.0,BD18019396,,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,53 NE 5 ST,,101060301015,YES,False,2020/06/10 10:31:00+00,25.77913242,-80.19284145,T6-80-O,,BD18019396001L001,2018-12-20 14:30:00+00:00,2018/12/17 15:23:00+00,BD18019396001,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/08/30 13:30:00+00,,537 Day(s) 20 Hour(s) 1 Minute(s) ,537.0,1422969.0,TREE REMOVAL|TREE PLANTING (ROW),37542
37549,-80.19284145,25.77913242,37114,1422969.0,BD18019396,,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,53 NE 5 ST,,101060301015,YES,False,2020/06/10 10:17:00+00,25.77913242,-80.19284145,T6-80-O,,BD18019396001PW001,2018-12-20 14:30:00+00:00,2018/12/17 15:23:00+00,BD18019396001,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/09/24 15:18:00+00,,537 Day(s) 19 Hour(s) 47 Minute(s) ,537.0,1422969.0,BUILDING LINE AND GRADE SURVEY|PAVING OR RESURFACING,37550
37556,-80.19284145,25.77913242,37119,0.0,BD18019396,2021/06/08 07:19:00+00,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,53 NE 5 ST,,101060301015,YES,False,2020/08/10 11:05:00+00,25.77913242,-80.19284145,T6-80-O,,BD18019396007B001,2020-07-30 15:39:00+00:00,2020/07/08 16:54:00+00,BD18019396007,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/06/08 07:19:00+00,1.0,10 Day(s) 19 Hour(s) 26 Minute(s) ,10.0,0.0,SHORING / RE-SHORING,37557
