CompanyName,TotalCost
JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,1409558502.0
COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,735831779.0
PLAZA CONSTRUCTION GROUP FLORIDA  LLC,689661116.0
Melo Contractors Corp.,513015384.0
CIVIC CONSTRUCTION COMPANY INC,457742128.0
BEAUCHAMP CONSTRUCTION CO.  INC. ,417139319.0
FORTUNE URBAN CONSTRUCTION LLC,313115544.0
TISHMAN CORPORATION  INC,303209931.0
MELO EDGEWATER CORP,297452750.0
Moss & Associates LLC,283530107.0
ROTUNDA STRUCTURES LC,260991600.0
POWER DESIGN INC,259204089.95
KAUFMAN LYNN CONSTRUCTION  INC. ,255740000.0
BALFOUR BEATTY CONSTRUCTION LLC,240448163.0
Poole & Kent Co of Florida,225194453.0
SUFFOLK CONSTRUCTION COMPANY  INC,221312652.0
KAST CONSTRUCTION COMPANY LLC,193018750.0
KAST CONSTRUCTION V  LLC,184714901.0
COASTAL/TISHMAN  A JOINT VENTURE ,172310830.0
Turner Construction Co,166752341.0
STILES MCHUGH LLC,166682826.0
FIRST FLORIDA CONSTRUCTORS LLC,160494473.0
SKANSKA USA BUILDING INC,148791786.0
NAGELBUSH MECHANICAL INC,146627732.0
ESTATE GENERAL CONTRACTORS LLC,143149235.0
JAXI BUILDERS INC,139951775.0
JC & A Electrical Contractors Inc,123003683.2
MCRT SOUTH FLORIDA CONSTRUCTION LLC,121048351.0
Ortega Construction Company ,117003459.0
CMC CONSTRUCTION COMPANY,113243617.0
ANF GROUP INC,106651354.0
Fisk Electric Company,97542206.2
Delant Construction Co,93089597.0
LARRABEE AIR CONDITIONING INC dba KAR & LARRABEE MECHANICAL,89192345.0
GM&P CONSULTING AND GLAZING CONTRACTORS  INC,85529074.0
ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,85420291.0
CURRENT BUILDERS  INC.,82111687.0
Professional Plumbing Corporation,79043382.47
CRAFT CONSTRUCTION COMPANY LLC,78767745.0
CITY CONSTRUCTION GROUP INC,72032528.0
BDI CONSTRUCTION COMPANY,67006193.0
Wechsler Construction Group Inc.,66668586.8
PCL CONSTRUCTION  INC,65581994.0
ORTEGA/Building Block JV,63529052.0
OLYMPIA PLUMBING CORP,57826032.0
Integra Build LLC ,55871285.0
WINMAR CONSTRUCTION INC,55763866.0
A & P AIR CONDITIONING CORPORATION,54952261.0
CAILIS MECHANICAL CORP.,54780584.0
KVC CONSTRUCTORS INC,53967518.0
Bluewater Builders Inc.,53355812.12
First Florida Wynwood  LLC,52449368.0
RCC Associates Inc,48975741.0
THE BEC GROUP SERVICES INC,48011862.0
READY WINDOW SALES & SERVICE CORP,45037439.0
FORTUNE CONSTRUCTION LLC,42727541.0
`INTERNATIONAL GENERAL CONTRACTORS,41481385.0
DYNALECTRIC COMPANY,40596778.0
