CompanyName,TotalCost
JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,319268580.0
COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,307362009.0
MELO EDGEWATER CORP,297447750.0
Melo Contractors Corp.,216400658.0
KAST CONSTRUCTION V  LLC,184714901.0
STILES MCHUGH LLC,166682826.0
BEAUCHAMP CONSTRUCTION CO.  INC. ,129031326.0
JAXI BUILDERS INC,96221780.0
ANF GROUP INC,82070354.0
FORTUNE URBAN CONSTRUCTION LLC,76182669.0
POWER DESIGN INC,75577906.7
Poole & Kent Co of Florida,73803812.0
KAUFMAN LYNN CONSTRUCTION  INC. ,61892866.0
JC & A Electrical Contractors Inc,61444864.2
ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,59736326.0
CRAFT CONSTRUCTION COMPANY LLC,56298576.0
CITY CONSTRUCTION GROUP INC,48271553.0
Professional Plumbing Corporation,40338605.47
ORIGIN CONSTRUCTION LLC,37707751.61
READY WINDOW SALES & SERVICE CORP,36636579.0
WINMAR CONSTRUCTION INC,36129904.0
RCC Associates Inc,35864277.0
Link Construction Group Inc,33403620.0
GM&P CONSULTING AND GLAZING CONTRACTORS  INC,32001230.0
First Florida Wynwood  LLC,31454240.0
WILLIAMS COMPANY SOUTHEAST,29950625.0
R S Construction of Dade Inc,29117176.0
DPR Construction  A General Partnership,28984104.0
C & S PAINT AND WALLPAPER  INC. ,27875654.0
Hitt Contracting Inc.,26294245.0
Strategic Group Builders LLC,25000000.0
GT CONSTRUCTION & DEVELOPMENT INC,24800000.0
Delant Construction Co,24793976.0
CITRUS CONSTRUCTION COMPANY LLC,21363000.0
Moss & Associates LLC,21215291.0
SKYCON GROUP LLC,21150662.0
Alphacladding LLC,20957599.0
OLYMPIA PLUMBING CORP,20460457.0
RELATED URBAN CONSTRUCTION LLC,19509000.0
Turner Construction Co,18040986.0
HYVAC Mechanical Services INC.,17300307.0
A & P AIR CONDITIONING CORPORATION,16922311.0
Fisk Electric Company,16655722.2
LONGHORN CONSTRUCTION  LLC,16265676.0
SUNTECH PLUMBING AND MECHANICAL  CORP,15443785.0
DBK INC,15218851.0
RC CONSTRUCTION & INVESTMENTS  LLC,15172918.27
CONTINENTAL CONTRACTORS OF MD INC,14949000.0
HART MECHANICAL CONTRACTORS INC,13785300.0
PRO MAX RESTORATION & PAINT CORP,13708042.0
HB CONSTRUCTION LLC,13243416.0
KELLER NORTH AMERICA  INC.,13165000.0
T&G CONSTRUCTORS,12990000.0
FLORIDA LEMARK CORPORATION,12989307.0
Bengoa Construction Inc.,12859928.0
Mocca Construction LLC,12619164.0
LARRABEE AIR CONDITIONING INC dba KAR & LARRABEE MECHANICAL,12444785.0
C.G. ELECTRICAL & CONSULTING SERVICES INC. ,12296845.0
VILARHOYNACK CONSTRUCTION COMPANY  LLC,12061600.0
Land Ron Inc.,12009291.71
AURORA PLUMBING CORPORATION,11853045.0
THE BEC GROUP SERVICES INC,11488449.0
RED DOOR CONSTRUCTION LLC,11397694.0
DICKINSON CAMERON CONSTRUCTION COMPANY  INC. ,11124823.0
EXCLUSIVE CONSTRUCTION & ROOFING GROUP,10887022.64
THE ROBINS & MORTON GROUP,10494000.0
Ortega Construction Company ,10404279.0
TISW CORP,10055331.0
SPRINKLERMATIC FIRE PROTECTION SYSTEM INC,10031962.0
HEDRICK BROS. CONSTRUCTION COMPANY INC,10000000.0
Brodson Construction Inc.,9759646.0
JTM CONSTRUCTION GROUP,9526500.0
CONCRETE PROTECTION AND RESTORATION  LLC,9327850.0
DIANGO GROUP  INC,9307361.0
Electraserve Inc,9206538.0
AURORA MECHANICAL CONTRACTORS INC,9152210.0
STATEWIDE ELECTRICAL CONTRACTORS INC,9127852.0
McGOWAN BUILDERS INC ,9125923.0
CAYAT LLC dba ONE CORE CONSTRUCTION MANAGEMENT,8958263.0
MCKENZIE CONSTRUCTION LLC,8920553.0
Langerman Construction  LLC,8793815.280000001
SHAWMUT DESIGN AND CONSTRUCTION ,8654388.0
EMPIRE ELECTRIC MAINTENANCE & SERVICE INC.,8463235.6
Rodel Fire Protection Inc,8397900.0
Fallah Construction LLC dba FH Construction,8353500.0
COMPONENTI USA LLC,8352415.0
MASS CONSTRUCTION CORPORATION,8300430.0
CIVIC CONSTRUCTION COMPANY INC,8162389.0
Becai Electric Inc.,8106495.2
THE MERCOVA GROUP  LLC,8080250.0
Champ Plumbing Corp,8062000.0
JRM CONSTRUCTION MANAGEMENT FLORIDA  LLC,7875313.0
ETC COMPANIES LLC,7739463.0
NAGELBUSH MECHANICAL INC,7575985.0
SUFFOLK CONSTRUCTION COMPANY  INC,7569822.0
305 BUILDERS GROUP LLC ,7431253.0
Rollan Plumbing Inc.,7100000.0
ICONSTRUCTORS  LLC,7046563.0
EXECUTIVE CONSTRUCTION GROUP  Inc.,6975267.0
TROPICAL FIRE & SECURITY SYSTEMS INC,6951460.0
Rothstar Construction,6948150.63
CDC CONTRACTORS,6739000.0
CDM Windows & Door Inc.,6683021.0
AGE OF EMPIRE INC ,6554864.0
Best Interior Construction Inc,6461643.0
CAILIS MECHANICAL CORP.,6181029.0
H A CONTRACTING CORP,6119104.0
Blanco Design Build Inc dba Blanco Design + Build LLC,5973852.0
SUNLAND BUILDERS LLC,5850000.0
Y & T PLUMBING CORPORATION,5845000.0
Rubio Construction Consulting  INC.,5831500.0
RESTORE CONSTRUCTION GROUP  INC.,5768566.0
COASTAL/TISHMAN  A JOINT VENTURE ,5724425.0
R&G LLC,5702272.0
Infinite Windows LLC & Infinite Builders LLC,5695005.0
ALL AMERICAN WINDOWS AND DOORS  INCORPORATED,5651550.0
MTM Glass Concepts  Inc.,5597390.0
DADE CONSTRUCTION CORP,5492659.0
STR MECHANICAL CORP,5433336.0
KVC CONSTRUCTORS INC,5416793.0
YANMART CONSTRUCTION CORP,5331575.0
VIKING AIR MECHANICAL INC,5276830.0
BEST AIR SOLUTIONS,5217500.0
CORE BIM DBA COURTNEY DEVELOPMENT ,5141000.0
gunther general contracting services inc,5076900.0
Wahab Construction Co,5020838.0
ICH BUILDERS LLC,4939800.0
CAMCON GROUP  LLC ,4935618.0
AllGo Construction System  Inc,4933682.0
PENINSULA PLUMBING INC,4931994.0
Million Air Conditioning Corp.,4883300.0
RECREATIONAL DESIGN & CONSTRUCTION  INC. ,4868435.0
MILLER ELECTRIC COMPANY,4862460.0
AYAN ELECTRICAL SERVICES INC,4851075.0
TO BETTER DAYS CONSTRUCTION  LLC,4800000.0
ROTUNDA STRUCTURES LC,4778300.0
COAST TO COAST GENERAL CONTRACTORS INC,4735207.0
ARTIFEX CONSTRUCTION CORPORATION,4665079.0
Adasi Developers INC.,4662377.0
MRG GLAZING CONTRACTORS INC.,4659909.0
HAMMOND ELECTRIC SERVICE INC,4598157.4
SHEAR CONSTRUCTION & MANAGEMENT LLC ,4548680.17
MAGNUM CONSTRUCTION MANAGEMENT  LLC dba MCM,4547500.0
Victory Management LLC,4540610.0
Anrod Builders LLC,4519100.0
CORRADI CONSTRUCTION GROUP LLC,4423151.0
WILLIAM R NASH INC,4411094.0
JORDA MECHANICAL CONTRACTOR ,4408000.0
ALLIED ROOFING IND. INC. ,4347568.0
COMPLETE PROPERTY SERVICES LLC,4339478.0
PRZ CONSTRUCTION  INC ,4321349.0
PERILLO CONSTRUCTION,4313229.0
TECTA AMERICA SOUTH FLORIDA,4286261.0
Contractors Electrical Service Inc,4285027.0
CH Construction Group Corp.,4254171.0
GOLDEN SANDS GENERAL CONTRACTOR  INC,4244891.0
FAB Interior & Exterior Inc,4198776.0
ERICSSON INC.,4155240.0
Keylite Power & Lighting Corp.,4144125.6
RCI AIR CONDITIONING COMPANY,4135230.0
GLOBAL PERFORMANCE WINDOWS INC dba EPSYLON USA,4106000.0
TEAM CONTRACTING INC,4092543.0
ABCO ELECTRIC INC,4055882.24
FHIA LLC,4038158.0
ESTATE GENERAL CONTRACTORS LLC,4022000.0
THE COMPANIES OF R & S INC (aka R&S WINDOW COMPANY),3995757.72
VALCOURT EXTERIOR BUILDING SERVICES OF FLORIDA LC,3953751.0
