,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
496,-80.18982019,25.78406366,497,0.0,BD12010756,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,41 Day(s) 5 Hour(s) 29 Minute(s) ,41.0,1000 BISCAYNE BLVD,2019/02/14 15:48:00+00,132310790001,YES,False,2019/05/01 12:36:00+00,25.78406366,-80.18982019,T6-80-O,0.0,BD12010756068E001,2019-02-14 15:48:00+00:00,2019/02/14 11:05:00+00,BD12010756068,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2019/06/10 09:54:00+00,10000.0,75 Day(s) 20 Hour(s) 48 Minute(s) ,75.0,0.0,GENERATOR (COMMERCIAL / MULTIFAMILY)|ELECTRICAL FOR FIRE ALARM,497
612,-80.18982019,25.78406366,513,0.0,BD12010756,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,11 Day(s) 2 Hour(s) 30 Minute(s) ,11.0,1000 BISCAYNE BLVD,2019/05/31 09:50:00+00,132310790001,YES,False,2019/06/13 15:24:00+00,25.78406366,-80.18982019,T6-80-O,0.0,BD12010756086E001,2019-05-31 09:50:00+00:00,2019/05/30 15:30:00+00,BD12010756086,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2019/06/18 11:36:00+00,12000.0,13 Day(s) 5 Hour(s) 34 Minute(s) ,13.0,0.0,ELECTRICAL FOR FIRE ALARM,613
613,-80.18982019,25.78406366,514,0.0,BD12010756,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,11 Day(s) 2 Hour(s) 30 Minute(s) ,11.0,1000 BISCAYNE BLVD,2019/05/31 09:50:00+00,132310790001,YES,False,2019/06/13 14:33:00+00,25.78406366,-80.18982019,T6-80-O,,BD12010756086F001,2019-05-31 09:50:00+00:00,2019/05/30 15:30:00+00,BD12010756086,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/06/18 11:36:00+00,12000.0,13 Day(s) 4 Hour(s) 43 Minute(s) ,13.0,0.0,NEW FIRE ALARM SYSTEM,614
614,-80.18982019,25.78406366,515,0.0,BD12010756,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 0 Hour(s) 24 Minute(s) ,0.0,1000 BISCAYNE BLVD,2019/06/13 14:56:00+00,132310790001,YES,False,2019/06/13 15:42:00+00,25.78406366,-80.18982019,T6-80-O,,BD12010756087E001,2019-06-13 14:55:00+00:00,2019/06/12 15:32:00+00,BD12010756087,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/06/14 13:16:00+00,1000.0,0 Day(s) 0 Hour(s) 47 Minute(s) ,0.0,0.0,TEMPORARY FOR TESTING,615
2077,-80.19280539,25.76425168,2676,0.0,BD14014407,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 3 Hour(s) 15 Minute(s) ,0.0,1000 BRICKELL PLZ,2019/01/23 10:39:00+00,141391640001,YES,False,2019/01/24 10:50:00+00,25.76425168,-80.19280539,T6-48B-O,,BD14014407027E001,2019-01-23 10:39:00+00:00,2019/01/23 10:25:00+00,BD14014407027,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/01/25 10:13:00+00,500.0,1 Day(s) 0 Hour(s) 11 Minute(s) ,1.0,0.0,TEMPORARY FOR TESTING,2078
2078,-80.19280539,25.76425168,2677,0.0,BD14014407,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 16 Hour(s) 29 Minute(s) ,0.0,1000 BRICKELL PLZ,2019/03/18 16:16:00+00,141391640001,YES,False,2019/03/26 15:13:00+00,25.76425168,-80.19280539,T6-48B-O,,BD14014407028E001,2019-03-18 16:16:00+00:00,2019/03/18 14:15:00+00,BD14014407028,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/05 09:32:00+00,8000.0,7 Day(s) 22 Hour(s) 57 Minute(s) ,7.0,0.0,TEMPORARY FOR TESTING,2079
2079,-80.19280539,25.76425168,2678,0.0,BD14014407,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 16 Hour(s) 29 Minute(s) ,0.0,1000 BRICKELL PLZ,2019/03/18 16:18:00+00,141391640001,YES,False,2019/03/26 15:12:00+00,25.76425168,-80.19280539,T6-48B-O,,BD14014407029E001,2019-03-18 16:18:00+00:00,2019/03/18 14:18:00+00,BD14014407029,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/05 09:33:00+00,8000.0,7 Day(s) 22 Hour(s) 54 Minute(s) ,7.0,0.0,TEMPORARY FOR TESTING,2080
2080,-80.19280539,25.76425168,2679,0.0,BD14014407,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 16 Hour(s) 28 Minute(s) ,0.0,1000 BRICKELL PLZ,2019/03/18 16:20:00+00,141391640001,YES,False,2019/03/26 15:13:00+00,25.76425168,-80.19280539,T6-48B-O,,BD14014407030E001,2019-03-18 16:19:00+00:00,2019/03/18 14:20:00+00,BD14014407030,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/09 15:42:00+00,8000.0,7 Day(s) 22 Hour(s) 54 Minute(s) ,7.0,0.0,TEMPORARY FOR TESTING,2081
2081,-80.19280539,25.76425168,2680,0.0,BD14014407,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 16 Hour(s) 27 Minute(s) ,0.0,1000 BRICKELL PLZ,2019/03/18 16:22:00+00,141391640001,YES,False,2019/03/26 15:13:00+00,25.76425168,-80.19280539,T6-48B-O,,BD14014407031E001,2019-03-18 16:21:00+00:00,2019/03/18 14:22:00+00,BD14014407031,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/09 15:42:00+00,8000.0,7 Day(s) 22 Hour(s) 52 Minute(s) ,7.0,0.0,TEMPORARY FOR TESTING,2082
2084,-80.19280539,25.76425168,2681,0.0,BD14014407,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 16 Hour(s) 27 Minute(s) ,0.0,1000 BRICKELL PLZ,2019/03/18 16:24:00+00,141391640001,YES,False,2019/03/26 15:13:00+00,25.76425168,-80.19280539,T6-48B-O,,BD14014407032E001,2019-03-18 16:23:00+00:00,2019/03/18 14:24:00+00,BD14014407032,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/05 09:34:00+00,8000.0,7 Day(s) 22 Hour(s) 50 Minute(s) ,7.0,0.0,TEMPORARY FOR TESTING,2085
