,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
3879,-80.1929903400162,25.7882146825515,3678,0.0,BD15007458,,,Final,All Inspections are finalized.,,,1755 West 39 Place ,Hialeah,Professional Plumbing Corporation,33012.0,0 Day(s) 0 Hour(s) 10 Minute(s) ,0.0,58 NE 14 ST,2019/06/06 14:09:00+00,131360090050,YES,False,2019/06/06 14:39:00+00,25.7882146825515,-80.1929903400162,T6-24-O,,BD15007458024MA001,2019-06-06 14:08:00+00:00,2019/06/06 13:51:00+00,BD15007458024,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/09/13 15:16:00+00,10000.0,0 Day(s) 0 Hour(s) 31 Minute(s) ,0.0,0.0,GAS / DIESEL DISPENSER INSTALL  ,3880
4382,-80.18572668,25.79914796,4534,0.0,BD15008745,,,Final,All Inspections are finalized.,,,1755 West 39 Place ,Hialeah,Professional Plumbing Corporation,33012.0,57 Day(s) 20 Hour(s) 28 Minute(s) ,57.0,788 NE 23 ST,2020/06/29 12:43:00+00,132300280050,YES,True,2020/08/27 11:00:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745056MA001,2020-06-29 12:36:00+00:00,2020/06/29 11:46:00+00,BD15008745056,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/10/14 08:14:00+00,10000.0,58 Day(s) 22 Hour(s) 24 Minute(s) ,58.0,0.0,GAS / DIESEL DISPENSER INSTALL  ,4383
14074,-80.19318143,25.78959314,14372,619660.0,BD17007913,,,Final,All Inspections are finalized.,,,1755 West 39 Place ,Hialeah,Professional Plumbing Corporation,33012.0,491 Day(s) 12 Hour(s) 1 Minute(s) ,491.0,1500 NE MIAMI PL,2018/07/31 14:55:00+00,131360051010,YES,False,2019/08/23 10:34:00+00,25.78959314,-80.19318143,T6-24B-O,0.0,BD17007913001P001,2018-07-31 14:54:00+00:00,2017/05/30 16:52:00+00,BD17007913001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2020/10/13 11:42:00+00,6000000.0,387 Day(s) 19 Hour(s) 40 Minute(s) ,387.0,619660.0,"ALL TYPES OF AIR CONDITIONER DRAINS|ROUGHING FIXTURE: MISCELLANEOUS SINK|SETTING FIXTURE: MISCELLANEOUS SINK|ROUGHING FIXTURE: BATHROOM SINK|SETTING FIXTURE: BATHROOM SINK|ROUGHING FIXTURE: BATHTUB|SETTING FIXTURE: BATHTUB|ROUGHING FIXTURE: DISHWASHER|SETTING FIXTURE: DISHWASHER|ROUGHING FIXTURE: DISPOSAL|SETTING FIXTURE: DISPOSAL|ROUGHING FIXTURE: DRINKING FOUNTAIN|SETTING FIXTURE: DRINKING FOUNTAIN|ROUGHING FIXTURE: ELECTRIC WATER HEATER|SETTING FIXTURE: ELECTRIC WATER HEATER|ROUGHING FIXTURE: FLOOR DRAIN|SETTING FIXTURE: FLOOR DRAIN|HOSE BIB                      |ROUGHING FIXTURE: ICE MAKER|SETTING FIXTURE: ICE MAKER|ROUGHING FIXTURE: INDIRECT WASTE|SETTING FIXTURE: INDIRECT WASTE|INTERCEPTORS &amp; SEPARATORS     |ROUGHING FIXTURE: KITCHEN SINK|SETTING FIXTURE: KITCHEN SINK|ROUGHING FIXTURE: LAUNDRY TRAY / WASHER|SETTING FIXTURE: LAUNDRY TRAY / WASHER|ROUGHING FIXTURE: LAVATORY|SETTING FIXTURE: LAVATORY|MISCELLANEOUS SIPHON-BREAKERS               |ROOF DRAIN / ROUGH &amp; INLET      |ROUGHING IN FOR ROOF DRAIN    |ROUGHING FIXTURE: SHOWER|SETTING FIXTURE: SHOWER|ROUGHING FIXTURE: TOILET / WATER CLOSET|SETTING FIXTURE: TOILET / WATER CLOSET|ROUGHING FIXTURE: URINAL|SETTING FIXTURE: URINAL|BACKFLOW UP TO 2""""|COMMERCIAL BUILDING CONNECTION OUTSIDE   ",14075
14102,-80.19318143,25.78959314,14400,0.0,BD17007913,,,Final,All Inspections are finalized.,,,1755 West 39 Place ,Hialeah,Professional Plumbing Corporation,33012.0,71 Day(s) 1 Hour(s) 38 Minute(s) ,71.0,1500 NE MIAMI PL,2020/05/21 10:24:00+00,131360051010,YES,False,2020/07/31 15:03:00+00,25.78959314,-80.19318143,T6-24B-O,,BD17007913025MA001,2020-05-21 10:24:00+00:00,2020/05/21 10:10:00+00,BD17007913025,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/08/05 14:05:00+00,5200.0,71 Day(s) 4 Hour(s) 39 Minute(s) ,71.0,0.0,GAS / DIESEL DISPENSER INSTALL  ,14103
27012,-80.18584103,25.80499724,27511,0.0,BD18010875,,,Final,All Inspections are finalized.,,,1755 West 39 Place ,Hialeah,Professional Plumbing Corporation,33012.0,69 Day(s) 5 Hour(s) 39 Minute(s) ,69.0,2955 NE 7 AV,2018/07/13 15:13:00+00,132300150050,YES,False,2018/11/08 11:26:00+00,25.80499724,-80.18584103,T6-36A-L,0.0,BD18010875001P001,2018-07-13 15:12:00+00:00,2018/07/12 08:06:00+00,BD18010875001,Commercial,0.0,2200.0,CO,REMODELING/REPAIRS,2019/03/08 14:16:00+00,20000.0,117 Day(s) 20 Hour(s) 14 Minute(s) ,117.0,2200.0,ALL TYPES OF AIR CONDITIONER DRAINS|ROUGHING FIXTURE: MISCELLANEOUS SINK|SETTING FIXTURE: MISCELLANEOUS SINK|ROUGHING FIXTURE: DRINKING FOUNTAIN|SETTING FIXTURE: DRINKING FOUNTAIN|ROUGHING FIXTURE: ELECTRIC WATER HEATER|SETTING FIXTURE: ELECTRIC WATER HEATER|WATER SERVICE: EXTENSION TO CONNECTION|SANITARY SEWER: INSIDE CONNECTION|ROUGHING FIXTURE: KITCHEN SINK|SETTING FIXTURE: KITCHEN SINK|ROUGHING FIXTURE: LAVATORY|SETTING FIXTURE: LAVATORY|SETTING FIXTURE: SHOWER|ROUGHING FIXTURE: TOILET / WATER CLOSET|SETTING FIXTURE: TOILET / WATER CLOSET,27013
35151,-80.193057781685,25.7646188947521,35815,133758.0,BD18018340,,,Final,All Inspections are finalized.,,,1755 West 39 Place ,Hialeah,Professional Plumbing Corporation,33012.0,463 Day(s) 16 Hour(s) 35 Minute(s) ,463.0,11 SE 10 ST,2018/12/27 07:56:00+00,102070201060,YES,True,2020/03/23 14:27:00+00,25.7646188947521,-80.193057781685,T6-48B-O,0.0,BD18018340001P001,2018-12-19 15:30:00+00:00,2018/11/30 09:36:00+00,BD18018340001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2023/03/09 16:07:00+00,4500000.0,459 Day(s) 22 Hour(s) 57 Minute(s) ,459.0,133758.0,ALL TYPES OF AIR CONDITIONER DRAINS|ROUGHING FIXTURE: MISCELLANEOUS SINK|SETTING FIXTURE: MISCELLANEOUS SINK|ROUGHING FIXTURE: BATHTUB|SETTING FIXTURE: BATHTUB|ROUGHING FIXTURE: DRINKING FOUNTAIN|SETTING FIXTURE: DRINKING FOUNTAIN|ROUGHING FIXTURE: ELECTRIC WATER HEATER|SETTING FIXTURE: ELECTRIC WATER HEATER|ROUGHING FIXTURE: FLOOR DRAIN|SETTING FIXTURE: FLOOR DRAIN|HOSE BIB                      |ROUGHING FIXTURE: ICE MAKER|SETTING FIXTURE: ICE MAKER|ROUGHING FIXTURE: INDIRECT WASTE|SETTING FIXTURE: INDIRECT WASTE|INTERCEPTORS &amp; SEPARATORS     |ROUGHING FIXTURE: KITCHEN SINK|SETTING FIXTURE: KITCHEN SINK|ROUGHING FIXTURE: LAUNDRY TRAY / WASHER|SETTING FIXTURE: LAUNDRY TRAY / WASHER|ROUGHING FIXTURE: LAVATORY|SETTING FIXTURE: LAVATORY|MISCELLANEOUS SIPHON-BREAKERS               |ROOF DRAIN / ROUGH &amp; INLET      |ROUGHING IN FOR ROOF DRAIN    |ROUGHING FIXTURE: SHOWER|SETTING FIXTURE: SHOWER|STORM SEWER |SUMP PUMP|ROUGHING FIXTURE: TOILET / WATER CLOSET|SETTING FIXTURE: TOILET / WATER CLOSET|ROUGHING FIXTURE: URINAL|SETTING FIXTURE: URINAL,35152
35152,-80.193057781685,25.7646188947521,35816,133758.0,BD18018340,,,Final,All Inspections are finalized.,,,1755 West 39 Place ,Hialeah,Professional Plumbing Corporation,33012.0,463 Day(s) 16 Hour(s) 35 Minute(s) ,463.0,11 SE 10 ST,2018/12/27 07:56:00+00,102070201060,YES,True,2020/03/23 14:27:00+00,25.7646188947521,-80.193057781685,T6-48B-O,0.0,BD18018340001PG001,2018-12-19 15:30:00+00:00,2018/11/30 09:36:00+00,BD18018340001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2021/12/23 11:04:00+00,15000.0,459 Day(s) 22 Hour(s) 57 Minute(s) ,459.0,133758.0,APPLIANCE SET: BOILER|ROUGH OUTLET: BOILER,35153
35178,-80.193057781685,25.7646188947521,35842,0.0,BD18018340,,,Final,All Inspections are finalized.,,,1755 West 39 Place ,Hialeah,Professional Plumbing Corporation,33012.0,15 Day(s) 0 Hour(s) 57 Minute(s) ,15.0,11 SE 10 ST,2021/04/29 10:35:00+00,102070201060,YES,True,2021/05/26 10:21:00+00,25.7646188947521,-80.193057781685,T6-48B-O,,BD18018340027MA001,2021-04-29 10:35:00+00:00,2021/04/29 09:21:00+00,BD18018340027,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/11/01 14:56:00+00,15000.0,26 Day(s) 23 Hour(s) 46 Minute(s) ,26.0,0.0,GAS / DIESEL DISPENSER INSTALL  ,35179
35183,-80.193057781685,25.7646188947521,35847,0.0,BD18018340,,,Final,All Inspections are finalized.,,,1755 West 39 Place ,Hialeah,Professional Plumbing Corporation,33012.0,290 Day(s) 1 Hour(s) 52 Minute(s) ,290.0,11 SE 10 ST,2021/05/25 09:50:00+00,102070201060,YES,True,2022/07/26 10:06:00+00,25.7646188947521,-80.193057781685,T6-48B-O,0.0,BD18018340031P001,2021-05-25 09:46:00+00:00,2021/05/20 11:01:00+00,BD18018340031,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2022/09/30 14:28:00+00,6000.0,427 Day(s) 0 Hour(s) 20 Minute(s) ,427.0,0.0,GAS OR ELECTRIC HEATERS       ,35184
37545,-80.19284145,25.77913242,37112,1422969.0,BD18019396,,,Final,All Inspections are finalized.,,,1755 West 39 Place ,Hialeah,Professional Plumbing Corporation,33012.0,,,53 NE 5 ST,,101060301015,YES,False,2020/06/04 15:38:00+00,25.77913242,-80.19284145,T6-80-O,0.0,BD18019396001P001,2018-12-20 14:30:00+00:00,2018/12/17 15:23:00+00,BD18019396001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2021/09/01 10:18:00+00,2000000.0,532 Day(s) 1 Hour(s) 8 Minute(s) ,532.0,1422969.0,"ALL TYPES OF AIR CONDITIONER DRAINS|ROUGHING FIXTURE: MISCELLANEOUS SINK|SETTING FIXTURE: MISCELLANEOUS SINK|ROUGHING FIXTURE: BATHROOM SINK|SETTING FIXTURE: BATHROOM SINK|ROUGHING FIXTURE: BATHTUB|SETTING FIXTURE: BATHTUB|ROUGHING FIXTURE: DISHWASHER|SETTING FIXTURE: DISHWASHER|ROUGHING FIXTURE: DISPOSAL|SETTING FIXTURE: DISPOSAL|ROUGHING FIXTURE: DRINKING FOUNTAIN|SETTING FIXTURE: DRINKING FOUNTAIN|ROUGHING FIXTURE: ELECTRIC WATER HEATER|SETTING FIXTURE: ELECTRIC WATER HEATER|ROUGHING FIXTURE: FLOOR DRAIN|SETTING FIXTURE: FLOOR DRAIN|HOSE BIB                      |ROUGHING FIXTURE: ICE MAKER|SETTING FIXTURE: ICE MAKER|ROUGHING FIXTURE: INDIRECT WASTE|SETTING FIXTURE: INDIRECT WASTE|ROUGHING FIXTURE: KITCHEN SINK|SETTING FIXTURE: KITCHEN SINK|ROUGHING FIXTURE: LAUNDRY TRAY / WASHER|SETTING FIXTURE: LAUNDRY TRAY / WASHER|ROUGHING FIXTURE: LAVATORY|SETTING FIXTURE: LAVATORY|MISCELLANEOUS SIPHON-BREAKERS               |ROOF DRAIN / ROUGH &amp; INLET      |ROUGHING IN FOR ROOF DRAIN    |ROUGHING FIXTURE: SHOWER|SETTING FIXTURE: SHOWER|ROUGHING FIXTURE: TOILET / WATER CLOSET|SETTING FIXTURE: TOILET / WATER CLOSET|ROUGHING FIXTURE: URINAL|SETTING FIXTURE: URINAL|BACKFLOW &gt; 2""""|COMMERCIAL BUILDING CONNECTION OUTSIDE   ",37546
