,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
4841,-80.1883228420319,25.7716730840396,4469,100.0,BD15008744,2019/04/19 10:18:00+00,,Final,All Inspections are finalized.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,16 Day(s) 9 Hour(s) 51 Minute(s) ,16.0,340 SE 3 ST,2019/03/20 07:30:00+00,101140301130,YES,True,2019/04/18 14:15:00+00,25.7716730840396,-80.1883228420319,T6-80-O,17501.0,BD15008744053B001,2019-03-20 07:27:00+00:00,2019/03/15 11:38:00+00,BD15008744053,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/19 10:18:00+00,17501.0,29 Day(s) 6 Hour(s) 48 Minute(s) ,29.0,100.0,CLUB HOUSE/CABANA/POOL CABANA - COMMERCIAL,4842
4849,-80.1883228420319,25.7716730840396,4470,0.0,BD15008744,2019/04/16 09:09:00+00,,Final,All Inspections are finalized.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,4 Day(s) 21 Hour(s) 13 Minute(s) ,4.0,340 SE 3 ST,2019/03/27 14:05:00+00,101140301130,YES,True,2019/04/03 16:21:00+00,25.7716730840396,-80.1883228420319,T6-80-O,,BD15008744054B001,2019-03-27 14:05:00+00:00,2019/03/26 10:52:00+00,BD15008744054,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/16 09:09:00+00,50000.0,7 Day(s) 2 Hour(s) 16 Minute(s) ,7.0,0.0,STEEL/GLASS CLAD CANOPY,4850
35148,-80.193057781685,25.7646188947521,35812,133758.0,BD18018340,2023/03/10 06:27:00+00,,Final,All Inspections are finalized.,CO,2023/03/10 06:27:00,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,393 Day(s) 19 Hour(s) 58 Minute(s) ,393.0,11 SE 10 ST,2018/12/27 07:56:00+00,102070201060,YES,True,2019/10/30 09:16:00+00,25.7646188947521,-80.193057781685,T6-48B-O,45948329.0,BD18018340001B001,2018-12-19 15:30:00+00:00,2018/11/30 09:36:00+00,BD18018340001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2023/03/10 06:27:00+00,45948329.0,314 Day(s) 17 Hour(s) 46 Minute(s) ,314.0,133758.0,26 OR MORE LODGING UNITS|RETAIL OF GOODS:SUPERMARKET/CLOTHING/FURNITURE/BOOK STORE/ART PRODUCTS|BAR / TAVERN (50 OR MORE OCCUPANTS)|JUICE BAR / COFFEE SHOP/BAKERY/DELI/ICE CREAM SHOP/CIGAR BAR|COMMUNITY FACILITY,35149
35170,-80.193057781685,25.7646188947521,35834,0.0,BD18018340,2022/01/24 08:19:00+00,,Final,All Inspections are finalized.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,22 Day(s) 1 Hour(s) 17 Minute(s) ,22.0,11 SE 10 ST,2021/04/21 10:28:00+00,102070201060,YES,True,2021/05/14 12:15:00+00,25.7646188947521,-80.193057781685,T6-48B-O,,BD18018340019B001,2021-04-21 10:27:00+00:00,2021/04/21 08:55:00+00,BD18018340019,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/01/24 08:19:00+00,30000.0,23 Day(s) 1 Hour(s) 48 Minute(s) ,23.0,0.0,SHORING / RE-SHORING,35171
35171,-80.193057781685,25.7646188947521,35835,0.0,BD18018340,2021/10/13 07:21:00+00,,Final,All Inspections are finalized.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,13 Day(s) 2 Hour(s) 42 Minute(s) ,13.0,11 SE 10 ST,2021/04/21 10:24:00+00,102070201060,YES,True,2021/05/14 12:07:00+00,25.7646188947521,-80.193057781685,T6-48B-O,,BD18018340020B001,2021-04-21 10:24:00+00:00,2021/04/21 09:04:00+00,BD18018340020,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/10/13 07:21:00+00,130000.0,23 Day(s) 1 Hour(s) 43 Minute(s) ,23.0,0.0,POST TENSION,35172
35172,-80.193057781685,25.7646188947521,35836,0.0,BD18018340,,,Final,All Inspections are finalized.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,10 Day(s) 5 Hour(s) 41 Minute(s) ,10.0,11 SE 10 ST,2021/04/27 12:02:00+00,102070201060,YES,True,2021/05/14 09:47:00+00,25.7646188947521,-80.193057781685,T6-48B-O,,BD18018340021B001,2021-04-27 12:02:00+00:00,2021/04/26 21:33:00+00,BD18018340021,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/10/15 11:06:00+00,18000.0,16 Day(s) 21 Hour(s) 45 Minute(s) ,16.0,0.0,REGULAR EXTERIOR:DOORS,35173
35191,-80.193057781685,25.7646188947521,35855,0.0,BD18018340,2021/10/13 07:12:00+00,,Final,All Inspections are finalized.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,16 Day(s) 13 Hour(s) 14 Minute(s) ,16.0,11 SE 10 ST,2021/08/03 07:30:00+00,102070201060,YES,True,2021/09/21 15:46:00+00,25.7646188947521,-80.193057781685,T6-48B-O,,BD18018340039B001,2021-08-03 07:30:00+00:00,2021/08/02 23:23:00+00,BD18018340039,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/10/13 07:12:00+00,54693.0,49 Day(s) 8 Hour(s) 16 Minute(s) ,49.0,0.0,STRUCTURAL SUPPORT FOR EQUIPMENT,35192
47530,-80.190756038838,25.7814008136078,47432,140584.0,BD19008843,2023/05/26 09:35:00+00,,Final,All Inspections are finalized.,CO,2023/05/26 09:35:00,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,,,700 NE 2 AV,,131370360040,YES,True,2019/12/31 10:07:00+00,25.7814008136078,-80.190756038838,T6-60A-O,55000000.0,BD19008843001B001,2019-05-18 08:16:00+00:00,2019/05/08 10:26:00+00,BD19008843001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2023/05/26 09:35:00+00,55000000.0,227 Day(s) 1 Hour(s) 51 Minute(s) ,227.0,140584.0,26 OR MORE LODGING UNITS|BAR / TAVERN (50 OR MORE OCCUPANTS)|RESTAURANT (50 OR MORE OCCUPANTS),47531
47783,-80.190756038838,25.7814008136078,47470,0.0,BD19008843,2023/01/04 09:23:00+00,,Final,All Inspections are finalized.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,,,700 NE 2 AV,,131370360040,YES,True,2022/09/16 10:04:00+00,25.7814008136078,-80.190756038838,T6-60A-O,,BD19008843050B001,2022-08-11 09:09:00+00:00,2022/08/01 11:46:00+00,BD19008843050,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/01/04 09:23:00+00,183000.0,36 Day(s) 0 Hour(s) 55 Minute(s) ,36.0,0.0,POST TENSION,47784
47790,-80.190756038838,25.7814008136078,47471,0.0,BD19008843,2022/12/22 15:46:00+00,,Final,All Inspections are finalized.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,,,700 NE 2 AV,,131370360040,YES,True,2022/12/14 07:52:00+00,25.7814008136078,-80.190756038838,T6-60A-O,,BD19008843053B001,2022-11-10 11:51:00+00:00,2022/09/18 11:39:00+00,BD19008843053,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/12/22 15:46:00+00,40000.0,33 Day(s) 20 Hour(s) 1 Minute(s) ,33.0,0.0,SHORING / RE-SHORING,47791
49489,-80.18905226,25.77185273,49042,0.0,BD19010282,2020/08/24 14:41:00+00,,Final,All Inspections are finalized.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,,,299 SE 3 ST,,142060690001,YES,False,2019/06/21 15:14:00+00,25.77185273,-80.18905226,T6-80-O,,BD19010282001B001,2019-06-08 12:04:00+00:00,2019/05/30 10:46:00+00,BD19010282001,Commercial,100000.0,0.0,CC,REMODELING/REPAIRS,2020/08/24 14:41:00+00,100000.0,13 Day(s) 3 Hour(s) 10 Minute(s) ,13.0,0.0,MINOR REPAIRS-COMMERCIAL|EIFS / CLADDING,49490
50853,-80.19305778,25.76461889,50383,0.0,BD19011585,2022/01/25 07:23:00+00,,Final,All Inspections are finalized.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,0 Day(s) 0 Hour(s) 36 Minute(s) ,0.0,11 SE 10 ST,2019/06/18 15:50:00+00,102070201060,YES,False,2019/06/19 10:02:00+00,25.76461889,-80.19305778,T6-48B-O,15000.0,BD19011585001B001,2019-06-18 15:50:00+00:00,2019/06/18 13:25:00+00,BD19011585001,Commercial,,0.0,  ,NEW CONSTRUCTION,2022/01/25 07:23:00+00,15000.0,0 Day(s) 18 Hour(s) 12 Minute(s) ,0.0,0.0,EXCAVATION/PILES/SITE AND SOIL IMPROVEMENT (BUILDING OFFICIAL ONLY),50854
64190,-80.19305778,25.76461889,64185,0.0,BD19026226,2021/09/17 07:20:00+00,,Final,All Inspections are finalized.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,,,11 SE 10 ST,,102070201060,YES,False,2020/02/28 15:11:00+00,25.76461889,-80.19305778,T6-48B-O,66000.0,BD19026226001B001,2020-01-28 14:27:00+00:00,2019/12/27 18:20:00+00,BD19026226001,Commercial,,0.0,  ,NEW CONSTRUCTION,2021/09/17 07:20:00+00,66000.0,31 Day(s) 0 Hour(s) 44 Minute(s) ,31.0,0.0,PEDESTRIAN WALKWAY/SCAFFOLDING/DEBRIS PROTECTION SYSTEM,64191
84649,-80.20049509,25.77979191,84250,26105.0,BD20025527,,,Active,Permit is Active. Ready for Inspections.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,,,343 NW 6 ST,,101050401060,NO,False,2021/11/18 10:17:00+00,25.77979191,-80.20049509,T6-8-L,7000000.0,BD20025527001B001,2020-12-28 16:14:00+00:00,2020/12/11 15:42:00+00,BD20025527001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2022/12/15 15:58:00+00,7000000.0,324 Day(s) 18 Hour(s) 3 Minute(s) ,324.0,26105.0,PROFESSIONAL OFFICE / BANK / FINANCIAL INSTITUTION,84650
84672,-80.20049509,25.77979191,84254,26105.0,BD20025527,,,Active,Permit is Active. Ready for Inspections.,,,426 CLEMATIS STREET ,WEST PALM BEACH,SUFFOLK CONSTRUCTION COMPANY  INC,33401.0,,,343 NW 6 ST,,101050401060,NO,False,2022/11/10 08:53:00+00,25.77979191,-80.20049509,T6-8-L,,BD20025527001PW001,2020-12-28 16:14:00+00:00,2020/12/11 15:42:00+00,BD20025527001,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/12/15 16:16:00+00,,681 Day(s) 16 Hour(s) 39 Minute(s) ,681.0,26105.0,BUILDING LINE AND GRADE SURVEY|PAVING OR RESURFACING,84673
