,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
3085,-80.1920762055636,25.7823671540011,3810,0.0,BD15007674,2019/07/16 09:17:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR STE#200 ,MIAMI,TISHMAN CORPORATION  INC,33126.0,7 Day(s) 18 Hour(s) 55 Minute(s) ,7.0,851 NE 1 AV,2019/04/23 15:56:00+00,131370390001,YES,True,2019/05/16 13:08:00+00,25.7823671540011,-80.1920762055636,T6-60A-O,,BD15007674101B001,2019-04-23 15:56:00+00:00,2019/04/22 11:00:00+00,BD15007674101,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/07/16 09:17:00+00,200000.0,22 Day(s) 21 Hour(s) 12 Minute(s) ,22.0,0.0,JOISTS/STRUCTURAL STEEL,3086
3182,-80.1920762055636,25.7823671540011,3828,0.0,BD15007674,2021/01/27 11:28:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR STE#200 ,MIAMI,TISHMAN CORPORATION  INC,33126.0,20 Day(s) 16 Hour(s) 22 Minute(s) ,20.0,851 NE 1 AV,2020/03/04 16:41:00+00,131370390001,YES,True,2020/04/06 12:49:00+00,25.7823671540011,-80.1920762055636,T6-60A-O,,BD15007674119B001,2020-03-04 16:41:00+00:00,2020/03/03 10:08:00+00,BD15007674119,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/01/27 11:28:00+00,112180.0,32 Day(s) 20 Hour(s) 8 Minute(s) ,32.0,0.0,ALUMINIUM CLAD CANOPY,3183
3617,-80.1920762055636,25.7823671540011,3744,0.0,BD15007674,2019/04/29 09:32:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR STE#200 ,MIAMI,TISHMAN CORPORATION  INC,33126.0,22 Day(s) 0 Hour(s) 35 Minute(s) ,22.0,851 NE 1 AV,2018/11/07 12:15:00+00,131370390001,YES,True,2018/11/30 12:39:00+00,25.7823671540011,-80.1920762055636,T6-60A-O,,BD15007674039B001,2018-11-07 12:14:00+00:00,2018/11/02 14:14:00+00,BD15007674039,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/29 09:32:00+00,10000.0,23 Day(s) 0 Hour(s) 25 Minute(s) ,23.0,0.0,STRUCTURAL SUPPORT FOR EQUIPMENT,3618
3962,-80.1920762055636,25.7823671540011,3787,0.0,BD15007674,,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR STE#200 ,MIAMI,TISHMAN CORPORATION  INC,33126.0,6 Day(s) 1 Hour(s) 2 Minute(s) ,6.0,851 NE 1 AV,2019/02/06 09:54:00+00,131370390001,YES,True,2019/02/25 17:18:00+00,25.7823671540011,-80.1920762055636,T6-60A-O,,BD15007674072B001,2019-02-06 09:54:00+00:00,2019/02/04 14:05:00+00,BD15007674072,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/06/25 09:01:00+00,15000.0,19 Day(s) 7 Hour(s) 24 Minute(s) ,19.0,0.0,REGULAR EXTERIOR:DOORS,3963
4670,-80.1923459646772,25.7807282426832,4250,0.0,BD15008487,,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR STE#200 ,MIAMI,TISHMAN CORPORATION  INC,33126.0,13 Day(s) 17 Hour(s) 43 Minute(s) ,13.0,698 NE 1 AV,2018/11/13 15:39:00+00,131370370020,YES,True,2018/12/10 08:08:00+00,25.7807282426832,-80.1923459646772,T6-60A-O,,BD15008487055B001,2018-11-13 15:39:00+00:00,2018/11/13 11:39:00+00,BD15008487055,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/15 09:20:00+00,100.0,26 Day(s) 16 Hour(s) 29 Minute(s) ,26.0,0.0,REGULAR EXTERIOR:DOORS,4671
4685,-80.1923459646772,25.7807282426832,4253,0.0,BD15008487,2019/01/24 08:57:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR STE#200 ,MIAMI,TISHMAN CORPORATION  INC,33126.0,17 Day(s) 11 Hour(s) 58 Minute(s) ,17.0,698 NE 1 AV,2018/11/26 09:29:00+00,131370370020,YES,True,2018/12/17 14:27:00+00,25.7807282426832,-80.1923459646772,T6-60A-O,,BD15008487058B001,2018-11-26 09:29:00+00:00,2018/11/20 10:47:00+00,BD15008487058,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/01/24 08:57:00+00,300000.0,21 Day(s) 4 Hour(s) 58 Minute(s) ,21.0,0.0,STAIRS - CONCRETE,4686
4697,-80.1923459646772,25.7807282426832,4255,0.0,BD15008487,2019/05/31 10:07:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR STE#200 ,MIAMI,TISHMAN CORPORATION  INC,33126.0,11 Day(s) 16 Hour(s) 50 Minute(s) ,11.0,698 NE 1 AV,2018/11/26 09:30:00+00,131370370020,YES,True,2019/02/04 09:49:00+00,25.7807282426832,-80.1923459646772,T6-60A-O,,BD15008487060B001,2018-11-26 09:30:00+00:00,2018/11/20 10:57:00+00,BD15008487060,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/31 10:07:00+00,42150.0,70 Day(s) 0 Hour(s) 19 Minute(s) ,70.0,0.0,JOISTS/STRUCTURAL STEEL,4698
9654,-80.19081764,25.78281531,9046,0.0,BD16011277,,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR STE#200 ,MIAMI,TISHMAN CORPORATION  INC,33126.0,11 Day(s) 1 Hour(s) 21 Minute(s) ,11.0,888 NE 2 AV,2019/04/23 12:15:00+00,131370360030,YES,True,2019/06/03 14:28:00+00,25.78281531,-80.19081764,T6-60A-O,,BD16011277046B001,2019-04-23 12:15:00+00:00,2019/04/22 11:10:00+00,BD16011277046,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/06/26 09:05:00+00,35000.0,41 Day(s) 2 Hour(s) 13 Minute(s) ,41.0,0.0,REGULAR EXTERIOR:DOORS,9655
9661,-80.19081764,25.78281531,9047,0.0,BD16011277,2020/06/28 23:09:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR STE#200 ,MIAMI,TISHMAN CORPORATION  INC,33126.0,11 Day(s) 17 Hour(s) 20 Minute(s) ,11.0,888 NE 2 AV,2019/05/02 17:11:00+00,131370360030,YES,True,2019/05/30 11:35:00+00,25.78281531,-80.19081764,T6-60A-O,,BD16011277047B001,2019-05-02 17:10:00+00:00,2019/05/01 13:56:00+00,BD16011277047,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/06/28 23:09:00+00,2000.0,27 Day(s) 18 Hour(s) 25 Minute(s) ,27.0,0.0,EIFS/CLADDING,9662
34075,-80.24684682,25.73756822,34268,0.0,BD18017142,2021/02/23 16:14:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR STE#200 ,MIAMI,TISHMAN CORPORATION  INC,33126.0,73 Day(s) 15 Hour(s) 48 Minute(s) ,73.0,2883 SW 32 CT,2018/11/06 14:25:00+00,141160170130,YES,False,2020/05/26 13:12:00+00,25.73756822,-80.24684682,T3-O,,BD18017142001B001,2018-11-06 14:24:00+00:00,2018/11/02 14:06:00+00,BD18017142001,Residential,1000.0,0.0,  ,REMODELING/REPAIRS,2021/02/23 16:14:00+00,1000.0,566 Day(s) 22 Hour(s) 48 Minute(s) ,566.0,0.0,SHED,34076
45971,-80.1912062134952,25.7809093619756,45287,1006909.0,BD19006944,2022/05/04 13:14:00+00,,Final,All Inspections are finalized.,CO,2022/05/05 11:36:00,5959 BLUE LAGOON DR STE#200 ,MIAMI,TISHMAN CORPORATION  INC,33126.0,,,650 NE 2 AV,,131370360070,YES,True,2020/05/18 16:38:00+00,25.7809093619756,-80.1912062134952,T6-60A-O,103969426.0,BD19006944001B001,2019-09-17 09:37:00+00:00,2019/04/15 15:31:00+00,BD19006944001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2022/05/04 16:32:00+00,103969426.0,244 Day(s) 7 Hour(s) 1 Minute(s) ,244.0,1006909.0,RETAIL OF GOODS:SUPERMARKET/CLOTHING/FURNITURE/BOOK STORE/ART PRODUCTS|MULTI-FAMILY (RENTAL)|PUBLIC PARKING,45972
