CompanyName,TotalCost,CompanyName,RemSQFT
JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,738863801.0,74,27110.0
Melo Contractors Corp.,427529134.0,40,19139.0
COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,307758109.0,29,2198.0
MELO EDGEWATER CORP,297452750.0,4,57.0
FORTUNE URBAN CONSTRUCTION LLC,270466476.0,100,450508.0
BEAUCHAMP CONSTRUCTION CO.  INC. ,248142755.0,124,99585.0
CIVIC CONSTRUCTION COMPANY INC,237612503.0,75,6938.0
KAST CONSTRUCTION V  LLC,184714901.0,6,0.0
STILES MCHUGH LLC,166682826.0,2,0.0
JAXI BUILDERS INC,139951775.0,47,0.0
POWER DESIGN INC,127498309.1,540,90046.0
KAST CONSTRUCTION COMPANY LLC,119798525.0,41,225.0
KAUFMAN LYNN CONSTRUCTION  INC. ,114143366.0,48,0.0
BALFOUR BEATTY CONSTRUCTION LLC,113597075.0,19,338.0
SUFFOLK CONSTRUCTION COMPANY  INC,108766652.0,23,0.0
FIRST FLORIDA CONSTRUCTORS LLC,108375102.0,26,1120.0
TISHMAN CORPORATION  INC,104686856.0,11,0.0
JC & A Electrical Contractors Inc,102996575.2,271,89060.0
ESTATE GENERAL CONTRACTORS LLC,101566000.0,47,2386.0
ANF GROUP INC,101251354.0,26,40070.0
CMC CONSTRUCTION COMPANY,97160169.0,5,2177.0
ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,85005628.0,17,1.0
CRAFT CONSTRUCTION COMPANY LLC,78637745.0,8,0.0
Poole & Kent Co of Florida,74967112.0,23,4000.0
MCRT SOUTH FLORIDA CONSTRUCTION LLC,72920250.0,23,0.0
Professional Plumbing Corporation,66414305.47,52,35802.0
CITY CONSTRUCTION GROUP INC,64948605.0,113,598201.0
ORTEGA/Building Block JV,63529052.0,29,0.0
Ortega Construction Company ,62003459.0,29,102993.0
GM&P CONSULTING AND GLAZING CONTRACTORS  INC,58889824.0,139,0.0
Integra Build LLC ,55871285.0,19,0.0
Bluewater Builders Inc.,52576978.12,7,42329.0
PCL CONSTRUCTION  INC,47984022.0,21,0.0
RCC Associates Inc,47428090.0,49,241116.0
WINMAR CONSTRUCTION INC,46595116.0,41,162131.0
A & P AIR CONDITIONING CORPORATION,44742916.0,59,113035.0
READY WINDOW SALES & SERVICE CORP,44672439.0,116,0.0
LARRABEE AIR CONDITIONING INC dba KAR & LARRABEE MECHANICAL,42478845.0,39,89650.0
OLYMPIA PLUMBING CORP,40475457.0,31,17348.0
FORTUNE CONSTRUCTION LLC,40394041.0,20,86384.0
Altman Glenewinkle Construction LLC,39979012.0,16,0.0
LENNAR MULTIFAMILY BUILDERS LLC,38598000.0,26,0.0
ORIGIN CONSTRUCTION LLC,38388038.61,31,299402.0
PLAZA CONSTRUCTION GROUP FLORIDA  LLC,37774692.0,27,35875.0
Link Construction Group Inc,37272625.0,28,51480.0
Hitt Contracting Inc.,34448960.0,29,285369.0
PRO MAX RESTORATION & PAINT CORP,33886305.51,41,59541.0
First Florida Wynwood  LLC,33643241.0,22,0.0
Moss & Associates LLC,33461667.0,48,37613.0
SKYCON GROUP LLC,33182663.0,83,426939.0
CAILIS MECHANICAL CORP.,32529594.0,40,218249.0
BDI CONSTRUCTION COMPANY,30982793.0,54,32261.0
DPR Construction  A General Partnership,30960079.0,11,142975.0
