,neighborhood,borough,Quarter/Year,property_group,trd_doc_classification,SUM of doc_amount,MEDIAN of doc_amount,AVERAGE of doc_amount,SUM of bbl_count,avg_asking_rent,cleaned_sales_volume,cleaned_avg_price,cleaned_median_price,ppsqft
1,Annadale,Staten Island,25/Q1,Condo,Residential,"$810,000",,,1,,"$810,000",,,
2,Annadale,Staten Island,25/Q1,Multi-Family Dwelling,Residential,"$20,011,152","$890,000","$909,598",22,,"$20,011,152","$909,598","$890,000",
3,Annadale,Staten Island,25/Q1,Single-Family Home,Residential,"$4,798,000","$765,000","$799,667",6,,"$4,798,000","$799,667","$765,000",
4,Annadale,Staten Island,26/Q1,Multi-Family Dwelling,Residential,"$11,360,187","$767,500","$811,442",14,,"$11,360,187","$811,442","$767,500",
5,Annadale,Staten Island,26/Q1,Single-Family Home,Residential,"$3,083,888",,,4,,"$3,083,888",,,
6,Annadale,Staten Island,25/Q2,Multi-Family Dwelling,Residential,"$19,668,076","$915,000","$983,404",20,,"$19,668,076","$983,404","$915,000",
7,Annadale,Staten Island,25/Q2,Single-Family Home,Residential,"$2,795,000",,,4,,"$2,795,000",,,
8,Annadale,Staten Island,25/Q3,Multi-Family Dwelling,Residential,"$30,203,945","$967,500","$1,006,798",30,,"$30,203,945","$1,006,798","$967,500",
9,Annadale,Staten Island,25/Q3,Single-Family Home,Residential,"$4,707,000","$752,500","$784,500",6,,"$4,707,000","$784,500","$752,500",
10,Annadale,Staten Island,24/Q4,Multi-Family Dwelling,Residential,"$11,900,542","$975,000","$1,081,867",11,,"$11,900,542","$1,081,867","$975,000",
11,Annadale,Staten Island,24/Q4,Single-Family Home,Residential,"$2,180,000",,,3,,"$2,180,000",,,
12,Annadale,Staten Island,25/Q4,Multi-Family Dwelling,Residential,"$22,011,798","$914,980","$917,158",24,,"$22,011,798","$917,158","$914,980",
13,Annadale,Staten Island,25/Q4,Single-Family Home,Residential,"$6,628,192","$887,500","$828,524",8,,"$6,628,192","$828,524","$887,500",
14,Arden Heights,Staten Island,25/Q1,Multi-Family Dwelling,Residential,"$2,724,000","$505,000","$544,800",5,,"$2,724,000","$544,800","$505,000",
15,Arden Heights,Staten Island,25/Q1,Single-Family Home,Residential,"$3,594,000","$547,000","$599,000",6,,"$3,594,000","$599,000","$547,000",
16,Arden Heights,Staten Island,26/Q1,Multi-Family Dwelling,Residential,"$4,477,415","$505,000","$497,491",9,,"$4,477,415","$497,491","$505,000",
17,Arden Heights,Staten Island,26/Q1,Single-Family Home,Residential,"$1,579,000",,,3,,"$1,579,000",,,
18,Arden Heights,Staten Island,25/Q2,Multi-Family Dwelling,Residential,"$5,331,449","$547,500","$592,383",9,,"$5,331,449","$592,383","$547,500",
19,Arden Heights,Staten Island,25/Q2,Single-Family Home,Residential,"$2,000,000",,,4,,"$2,000,000",,,
20,Arden Heights,Staten Island,25/Q3,Multi-Family Dwelling,Residential,"$10,016,800","$578,750","$626,050",16,,"$10,016,800","$626,050","$578,750",
21,Arden Heights,Staten Island,25/Q3,Single-Family Home,Residential,"$3,987,088","$502,500","$498,386",8,,"$3,987,088","$498,386","$502,500",
22,Arden Heights,Staten Island,24/Q4,Multi-Family Dwelling,Residential,"$1,738,000",,,3,,"$1,738,000",,,
23,Arden Heights,Staten Island,24/Q4,Single-Family Home,Residential,"$1,655,000",,,3,,"$1,655,000",,,
24,Arden Heights,Staten Island,25/Q4,Multi-Family Dwelling,Residential,"$10,209,188","$515,000","$600,540",17,,"$10,209,188","$600,540","$515,000",
25,Arden Heights,Staten Island,25/Q4,Single-Family Home,Residential,"$3,683,000","$587,500","$613,833",6,,"$3,683,000","$613,833","$587,500",
26,Arlington,Staten Island,25/Q1,Condo,Residential,"$801,000",,,2,,"$801,000",,,
27,Arlington,Staten Island,25/Q1,Multi-Family Dwelling,Residential,"$1,525,000",,,3,,"$1,525,000",,,
28,Arlington,Staten Island,25/Q1,Single-Family Home,Residential,"$500,000",,,1,,"$500,000",,,
29,Arlington,Staten Island,26/Q1,Multi-Family Dwelling,Residential,"$775,000",,,2,,"$775,000",,,
30,Arlington,Staten Island,26/Q1,Single-Family Home,Residential,"$440,000",,,1,,"$440,000",,,
31,Arlington,Staten Island,25/Q2,Condo,Residential,"$320,000",,,1,,"$320,000",,,
32,Arlington,Staten Island,25/Q2,Multi-Family Dwelling,Residential,"$2,076,999",,,4,,"$2,076,999",,,
33,Arlington,Staten Island,25/Q2,Single-Family Home,Residential,"$360,000",,,1,,"$360,000",,,
34,Arlington,Staten Island,25/Q3,Condo,Residential,"$1,148,000",,,3,,"$1,148,000",,,
35,Arlington,Staten Island,25/Q3,Multi-Family Dwelling,Residential,"$2,034,893",,,4,,"$2,034,893",,,
36,Arlington,Staten Island,25/Q4,Multi-Family Dwelling,Residential,"$2,075,403",,,4,,"$2,075,403",,,
37,Arrochar,Staten Island,25/Q1,Condo,Residential,"$2,293,000",,,4,,"$2,293,000",,,
38,Arrochar,Staten Island,25/Q1,Multi-Family Dwelling,Residential,"$5,409,000","$920,000","$1,081,800",5,,"$5,409,000","$1,081,800","$920,000",
39,Arrochar,Staten Island,25/Q1,Single-Family Home,Residential,"$635,000",,,1,,"$635,000",,,
40,Arrochar,Staten Island,26/Q1,Condo,Residential,"$799,000",,,1,,"$799,000",,,
41,Arrochar,Staten Island,26/Q1,Multi-Family Dwelling,Residential,"$1,280,000",,,1,,"$1,280,000",,,
42,Arrochar,Staten Island,26/Q1,Single-Family Home,Residential,"$1,140,000",,,1,,"$1,140,000",,,
43,Arrochar,Staten Island,24/Q2,Condo,Residential,"$670,000",,,1,,"$670,000",,,
44,Arrochar,Staten Island,25/Q2,Condo,Residential,"$730,000",,,1,,"$730,000",,,
45,Arrochar,Staten Island,25/Q2,Multi-Family Dwelling,Residential,"$1,830,000",,,2,,"$1,830,000",,,
46,Arrochar,Staten Island,25/Q2,Single-Family Home,Residential,"$930,000",,,1,,"$930,000",,,
47,Arrochar,Staten Island,25/Q3,Condo,Residential,"$1,940,000",,,3,,"$1,940,000",,,
48,Arrochar,Staten Island,25/Q3,Multi-Family Dwelling,Residential,"$2,848,000",,,3,,"$2,848,000",,,
49,Arrochar,Staten Island,25/Q3,Single-Family Home,Residential,"$1,383,000",,,2,,"$1,383,000",,,
50,Arrochar,Staten Island,24/Q4,Condo,Residential,"$1,344,900",,,2,,"$1,344,900",,,
51,Arrochar,Staten Island,24/Q4,Multi-Family Dwelling,Residential,"$1,745,000",,,2,,"$1,745,000",,,
52,Arrochar,Staten Island,25/Q4,Condo,Residential,"$2,293,000",,,3,,"$2,293,000",,,
53,Arrochar,Staten Island,25/Q4,Multi-Family Dwelling,Residential,"$1,288,000",,,2,,"$1,288,000",,,
54,Arrochar,Staten Island,25/Q4,Single-Family Home,Residential,"$720,000",,,1,,"$720,000",,,
55,Arverne,Queens,25/Q1,Multi-Family Dwelling,Residential,"$9,141,800","$767,500","$761,817",12,,"$9,141,800","$761,817","$767,500",
56,Arverne,Queens,25/Q1,Single-Family Home,Residential,"$649,000",,,1,,"$649,000",,,
