,neighborhood,borough,Quarter/Year,property_group,trd_doc_classification,SUM of doc_amount,MEDIAN of doc_amount,AVERAGE of doc_amount,SUM of bbl_count,year
6,Annadale,Staten Island,Q1 2025,Land,Commercial,"$1,228,000","$614,000","$614,000",2,2025
11,Annadale,Staten Island,Q2 2025,Land,Commercial,"$320,000","$320,000","$320,000",1,2025
12,Annadale,Staten Island,Q2 2025,Multi-Family Dwelling,Commercial,"$1,275,500","$1,275,500","$1,275,500",1,2025
15,Annadale,Staten Island,Q3 2025,Land,Commercial,"$430,000","$430,000","$430,000",1,2025
18,Annadale,Staten Island,Q4 2024,Mixed-Use,Commercial,"$273,000","$273,000","$273,000",1,2024
21,Annadale,Staten Island,Q4 2025,Land,Commercial,"$840,000","$840,000","$840,000",1,2025
23,Annadale,Staten Island,Q4 2025,Retail,Commercial,"$470,000","$470,000","$470,000",1,2025
40,Arlington,Staten Island,Q1 2026,Industrial,Commercial,"$300,000","$300,000","$300,000",1,2026
44,Arlington,Staten Island,Q2 2025,Multi-Family Dwelling,Commercial,"$1,175,000","$1,175,000","$1,175,000",1,2025
58,Arrochar,Staten Island,Q2 2025,Land,Commercial,"$500,000","$500,000","$500,000",1,2025
67,Arrochar,Staten Island,Q4 2025,Land,Commercial,"$500,000","$500,000","$500,000",1,2025
74,Arverne,Queens,Q2 2025,Land,Commercial,"$1,400,000","$700,000","$700,000",2,2025
80,Arverne,Queens,Q4 2025,Land,Commercial,"$825,000","$825,000","$825,000",1,2025
85,Astoria,Queens,Q1 2025,Mixed-Use,Commercial,"$5,455,000","$1,362,500","$1,363,750",4,2025
86,Astoria,Queens,Q1 2025,Multi-Family Dwelling,Commercial,"$29,420,933","$1,700,000","$2,263,149",13,2025
90,Astoria,Queens,Q1 2026,Condo,Commercial,"$1,009,000","$1,009,000","$1,009,000",1,2026
92,Astoria,Queens,Q1 2026,Industrial,Commercial,"$10,900,000","$10,900,000","$10,900,000",1,2026
93,Astoria,Queens,Q1 2026,Mixed-Use,Commercial,"$10,110,000","$1,810,000","$2,022,000",5,2026
94,Astoria,Queens,Q1 2026,Multi-Family Dwelling,Commercial,"$6,438,000","$1,606,000","$1,609,500",4,2026
100,Astoria,Queens,Q2 2025,Mixed-Use,Commercial,"$12,800,000","$2,250,000","$4,266,667",3,2025
101,Astoria,Queens,Q2 2025,Multi-Family Dwelling,Commercial,"$25,100,000","$1,550,000","$1,930,769",13,2025
105,Astoria,Queens,Q3 2025,Condo,Commercial,"$800,000","$800,000","$800,000",1,2025
107,Astoria,Queens,Q3 2025,Mixed-Use,Commercial,"$4,936,000","$1,536,000","$1,645,333",3,2025
108,Astoria,Queens,Q3 2025,Multi-Family Dwelling,Commercial,"$10,387,000","$1,600,000","$1,483,857",7,2025
112,Astoria,Queens,Q4 2024,Multi-Family Dwelling,Commercial,"$6,325,000","$2,320,000","$2,108,333",3,2024
116,Astoria,Queens,Q4 2025,Condo,Commercial,"$355,000","$355,000","$355,000",1,2025
118,Astoria,Queens,Q4 2025,Mixed-Use,Commercial,"$4,620,000","$1,520,000","$1,540,000",3,2025
119,Astoria,Queens,Q4 2025,Multi-Family Dwelling,Commercial,"$47,036,000","$1,890,000","$3,919,667",12,2025
125,Auburndale,Queens,Q1 2025,Single-Family Home,Commercial,"$1,255,000","$1,255,000","$1,255,000",1,2025
129,Auburndale,Queens,Q1 2026,Multi-Family Dwelling,Commercial,"$1,560,000","$1,560,000","$1,560,000",1,2026
133,Auburndale,Queens,Q2 2025,Mixed-Use,Commercial,"$1,550,000","$1,550,000","$1,550,000",1,2025
138,Auburndale,Queens,Q3 2025,Office,Commercial,"$5,700,000","$5,700,000","$5,700,000",1,2025
148,Bath Beach,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$800,000","$800,000","$800,000",1,2025
153,Bath Beach,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$5,652,000","$1,900,000","$1,884,000",3,2026
154,Bath Beach,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$2,000,000","$2,000,000","$2,000,000",1,2026
157,Bath Beach,Brooklyn,Q2 2025,Co-op,Commercial,"$465,000","$465,000","$465,000",1,2025
160,Bath Beach,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$990,000","$990,000","$990,000",1,2025
161,Bath Beach,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$4,350,000","$1,600,000","$1,450,000",3,2025
167,Bath Beach,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$3,235,000","$1,100,000","$1,078,333",3,2025
175,Bath Beach,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$3,225,000","$1,612,500","$1,612,500",2,2025
176,Bath Beach,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$1,550,000","$1,550,000","$1,550,000",1,2025
180,Battery Park City,Manhattan,Q1 2025,Co-op,Commercial,"$10,054,000","$2,280,000","$2,010,800",5,2025
182,Battery Park City,Manhattan,Q1 2025,Condo,Commercial,"$480,000","$480,000","$480,000",1,2025
187,Battery Park City,Manhattan,Q2 2025,Condo,Commercial,"$640,000","$640,000","$640,000",1,2025
189,Battery Park City,Manhattan,Q3 2025,Co-op,Commercial,"$736,250","$736,250","$736,250",1,2025
196,Bay Ridge,Brooklyn,Q1 2025,Co-op,Commercial,"$19,038,921","$4,555,730","$6,346,307",3,2025
199,Bay Ridge,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$13,839,375","$1,715,000","$1,729,922",8,2025
200,Bay Ridge,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$2,300,000","$1,150,000","$1,150,000",2,2025
205,Bay Ridge,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$13,790,000","$1,615,000","$1,723,750",8,2026
206,Bay Ridge,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$605,000","$605,000","$605,000",1,2026
211,Bay Ridge,Brooklyn,Q2 2025,Co-op,Commercial,"$2,450,000","$1,225,000","$1,225,000",2,2025
214,Bay Ridge,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$12,390,000","$1,490,000","$1,548,750",8,2025
215,Bay Ridge,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$1,450,000","$725,000","$725,000",2,2025
218,Bay Ridge,Brooklyn,Q3 2025,Co-op,Commercial,"$17,325,000","$4,087,395","$4,331,250",4,2025
221,Bay Ridge,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$10,618,648","$1,605,000","$1,516,950",7,2025
222,Bay Ridge,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$3,300,000","$1,650,000","$1,650,000",2,2025
227,Bay Ridge,Brooklyn,Q4 2024,Mixed-Use,Commercial,"$3,458,000","$1,729,000","$1,729,000",2,2024
230,Bay Ridge,Brooklyn,Q4 2025,Co-op,Commercial,"$560,000","$560,000","$560,000",1,2025
233,Bay Ridge,Brooklyn,Q4 2025,Land,Commercial,"$1,850,000","$1,850,000","$1,850,000",1,2025
234,Bay Ridge,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$9,335,000","$1,357,500","$1,555,833",6,2025
235,Bay Ridge,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$10,985,000","$1,325,000","$2,746,250",4,2025
239,Bay Terrace,Queens,Q1 2025,Co-op,Commercial,"$300,000","$300,000","$300,000",1,2025
247,Bay Terrace,Queens,Q1 2026,Office,Commercial,"$995,000","$995,000","$995,000",1,2026
261,Bay Terrace,Queens,Q4 2024,Multi-Family Dwelling,Commercial,"$1,195,000","$1,195,000","$1,195,000",1,2024
264,Bay Terrace,Queens,Q4 2025,Co-op,Commercial,"$465,500","$465,500","$465,500",1,2025
267,Bay Terrace,Queens,Q4 2025,Mixed-Use,Commercial,"$1,710,000","$1,710,000","$1,710,000",1,2025
292,Baychester,Bronx,Q1 2025,Mixed-Use,Commercial,"$740,000","$740,000","$740,000",1,2025
296,Baychester,Bronx,Q1 2026,Mixed-Use,Commercial,"$351,000","$351,000","$351,000",1,2026
304,Baychester,Bronx,Q4 2025,Mixed-Use,Commercial,"$600,000","$600,000","$600,000",1,2025
308,Bayside,Queens,Q1 2025,Multi-Family Dwelling,Commercial,"$2,150,000","$2,150,000","$2,150,000",1,2025
310,Bayside,Queens,Q1 2025,Single-Family Home,Commercial,"$4,350,000","$4,350,000","$4,350,000",1,2025
315,Bayside,Queens,Q1 2026,Single-Family Home,Commercial,"$1,060,000","$1,060,000","$1,060,000",1,2026
324,Bayside,Queens,Q3 2025,Mixed-Use,Commercial,"$1,570,000","$1,570,000","$1,570,000",1,2025
325,Bayside,Queens,Q3 2025,Multi-Family Dwelling,Commercial,"$1,399,000","$1,399,000","$1,399,000",1,2025
328,Bayside,Queens,Q4 2024,Mixed-Use,Commercial,"$1,495,000","$1,495,000","$1,495,000",1,2024
333,Bayside,Queens,Q4 2025,Mixed-Use,Commercial,"$2,300,000","$2,300,000","$2,300,000",1,2025
335,Bayside,Queens,Q4 2025,Retail,Commercial,"$3,700,000","$3,700,000","$3,700,000",1,2025
341,Bayswater,Queens,Q2 2023,Land,Commercial,"$444,554","$444,554","$444,554",1,2023
349,Bedford Park,Bronx,Q1 2025,Co-op,Commercial,"$13,559,858","$13,559,858","$13,559,858",1,2025
351,Bedford Park,Bronx,Q1 2025,Multi-Family Dwelling,Commercial,"$4,700,000","$4,700,000","$4,700,000",1,2025
354,Bedford Park,Bronx,Q2 2024,Multi-Family Dwelling,Commercial,"$3,690,580","$3,690,580","$3,690,580",1,2024
355,Bedford Park,Bronx,Q2 2025,Multi-Family Dwelling,Commercial,"$69,808,040","$4,025,060","$4,986,289",14,2025
357,Bedford Park,Bronx,Q3 2025,Co-op,Commercial,"$1,569,389","$1,569,389","$1,569,389",1,2025
359,Bedford Park,Bronx,Q3 2025,Multi-Family Dwelling,Commercial,"$3,200,000","$3,200,000","$3,200,000",1,2025
366,Bedford-Stuyvesant,Brooklyn,Q1 2025,Condo,Commercial,"$1,190,600","$595,300","$595,300",2,2025
368,Bedford-Stuyvesant,Brooklyn,Q1 2025,Land,Commercial,"$9,255,000","$4,627,500","$4,627,500",2,2025
369,Bedford-Stuyvesant,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$10,523,685","$1,300,000","$1,503,384",7,2025
370,Bedford-Stuyvesant,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$11,506,548","$1,750,000","$1,917,758",6,2025
373,Bedford-Stuyvesant,Brooklyn,Q1 2026,Condo,Commercial,"$3,320,496","$1,660,248","$1,660,248",2,2026
375,Bedford-Stuyvesant,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$9,446,000","$1,800,000","$1,889,200",5,2026
376,Bedford-Stuyvesant,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$8,705,000","$2,200,000","$2,901,667",3,2026
379,Bedford-Stuyvesant,Brooklyn,Q2 2023,Multi-Family Dwelling,Commercial,"$6,000,000","$3,000,000","$3,000,000",2,2023
382,Bedford-Stuyvesant,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$1,650,000","$1,650,000","$1,650,000",1,2025
383,Bedford-Stuyvesant,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$30,561,821","$2,350,000","$2,182,987",14,2025
388,Bedford-Stuyvesant,Brooklyn,Q3 2025,Industrial,Commercial,"$4,000,000","$4,000,000","$4,000,000",1,2025
389,Bedford-Stuyvesant,Brooklyn,Q3 2025,Land,Commercial,"$1,050,000","$1,050,000","$1,050,000",1,2025
390,Bedford-Stuyvesant,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$11,220,000","$1,837,500","$1,870,000",6,2025
391,Bedford-Stuyvesant,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$19,463,935","$1,925,000","$1,946,393",10,2025
398,Bedford-Stuyvesant,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$5,600,000","$2,800,000","$2,800,000",2,2025
399,Bedford-Stuyvesant,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$13,615,000","$2,450,000","$2,723,000",5,2025
423,Belle Harbor,Queens,Q1 2025,Land,Commercial,"$2,000,000","$2,000,000","$2,000,000",1,2025
431,Belle Harbor,Queens,Q2 2025,Multi-Family Dwelling,Commercial,"$999,000","$999,000","$999,000",1,2025
454,Bellerose,Queens,Q3 2025,Industrial,Commercial,"$2,470,000","$1,235,000","$1,235,000",2,2025
455,Bellerose,Queens,Q3 2025,Multi-Family Dwelling,Commercial,"$2,416,000","$800,000","$805,333",3,2025
461,Bellerose,Queens,Q4 2025,Multi-Family Dwelling,Commercial,"$945,000","$945,000","$945,000",1,2025
464,Belmont,Bronx,Q1 2025,Mixed-Use,Commercial,"$1,950,000","$975,000","$975,000",2,2025
465,Belmont,Bronx,Q1 2025,Multi-Family Dwelling,Commercial,"$1,130,000","$1,130,000","$1,130,000",1,2025
467,Belmont,Bronx,Q1 2026,Mixed-Use,Commercial,"$999,000","$999,000","$999,000",1,2026
469,Belmont,Bronx,Q2 2025,Multi-Family Dwelling,Commercial,"$4,800,000","$1,225,000","$1,600,000",3,2025
471,Belmont,Bronx,Q3 2025,Industrial,Commercial,"$1,750,000","$1,750,000","$1,750,000",1,2025
472,Belmont,Bronx,Q3 2025,Multi-Family Dwelling,Commercial,"$1,050,000","$1,050,000","$1,050,000",1,2025
475,Belmont,Bronx,Q4 2025,Mixed-Use,Commercial,"$1,200,000","$1,200,000","$1,200,000",1,2025
476,Belmont,Bronx,Q4 2025,Multi-Family Dwelling,Commercial,"$1,050,000","$1,050,000","$1,050,000",1,2025
