,borough,neighborhood,trd_doc_classification,property_group,year_quarter,sales_volume,avg_price,median_price,number_of_deals,total_sqft,ppsqft,avg_asking_rent,cleaned_sales_volume,cleaned_avg_price,cleaned_median_price
0,Manhattan,Times Square North,Residential,Condo,20/Q3,"$605,053,679","$22,409,396","$1,816,425",27,"70,993","$8,523",,"$605,053,679","$22,409,396","$1,816,425"
1,Manhattan,Times Square North,Residential,Condo,20/Q2,"$257,088,202","$16,068,013","$2,005,750",16,"36,257","$7,091",,"$257,088,202","$16,068,013","$2,005,750"
2,Manhattan,Greenwich Village,Residential,Single-Family Home,20/Q3,"$19,500,000","$19,500,000","$19,500,000",1,"3,200","$6,094",3370.0,"$19,500,000","$19,500,000","$19,500,000"
3,Manhattan,Times Square North,Residential,Condo,22/Q1,"$465,210,843","$10,818,857","$1,830,000",43,"77,547","$5,999",,"$465,210,843","$10,818,857","$1,830,000"
4,Manhattan,Times Square North,Residential,Condo,25/Q1,"$189,657,000","$8,620,773","$1,265,000",22,"32,574","$5,822",,"$189,657,000","$8,620,773","$1,265,000"
5,Manhattan,West Village,Residential,Multi-Family Dwelling,25/Q3,"$8,000,000","$8,000,000","$8,000,000",1,"1,398","$5,722",,"$8,000,000","$8,000,000","$8,000,000"
6,Manhattan,Times Square North,Residential,Condo,20/Q4,"$133,133,380","$9,509,527","$2,053,697",14,"23,726","$5,611",,"$133,133,380","$9,509,527","$2,053,697"
7,Manhattan,Greenwich Village,Residential,Single-Family Home,24/Q1,"$86,500,000","$43,250,000","$43,250,000",2,"15,672","$5,519",4758.333333333333,"$86,500,000","$43,250,000","$43,250,000"
8,Manhattan,Times Square North,Residential,Condo,21/Q2,"$417,856,788","$8,357,136","$1,382,500",50,"77,037","$5,424",,"$417,856,788","$8,357,136","$1,382,500"
9,Manhattan,Times Square North,Residential,Condo,24/Q2,"$226,788,506","$9,071,540","$1,700,000",25,"43,162","$5,254",,"$226,788,506","$9,071,540","$1,700,000"
10,Manhattan,Times Square North,Residential,Condo,21/Q4,"$296,615,698","$8,723,991","$1,610,000",34,"58,529","$5,068",,"$296,615,698","$8,723,991","$1,610,000"
11,Manhattan,Times Square North,Residential,Condo,23/Q4,"$284,553,775","$8,369,229","$1,465,000",34,"56,535","$5,033",,"$284,553,775","$8,369,229","$1,465,000"
12,Manhattan,Times Square North,Residential,Condo,22/Q4,"$286,804,840","$10,243,030","$3,487,500",28,"57,044","$5,028",,"$286,804,840","$10,243,030","$3,487,500"
13,Manhattan,Lenox Hill,Residential,Condo,24/Q4,"$274,329,671","$3,863,798","$1,900,000",71,"28,875","$5,014",,"$274,329,671","$3,863,798","$1,900,000"
14,Manhattan,Tribeca,Residential,Single-Family Home,22/Q3,"$20,000,000","$20,000,000","$20,000,000",1,"4,083","$4,898",9316.0,"$20,000,000","$20,000,000","$20,000,000"
15,Manhattan,Times Square North,Residential,Condo,20/Q1,"$166,641,957","$6,943,415","$1,155,000",24,"34,192","$4,874",,"$166,641,957","$6,943,415","$1,155,000"
