Address,Owner/Developer,Total Construction Floor Area,Proposed Dwelling Units,TRD Link,Acris link,Proposed No of Stories,Proposed Height,Bin,Initial Cost,Filing Date,Council District,Census Tract,Zip,Building Type,Job Filing Number,Filing Status,Block,LOT,Commmunity - Board,NTA,Work on Floor,Apt./Condo No(s),Applicant Professional Title,Applicant License #,Applicant First Name,Applicant Last Name,Owner's Business Name,Owner's Street Name,City,State,Filing Representative First Name,Filing Representative Last Name,Filing Representative Business Name,Filing Representative Street Name,Filing Representative City,Filing Representative Zip,Sprinkler (Work Type),Plumbing (Work Type),Review Building Code,Little E,Unmapped/CCO Street,In Compliance with NYCECC,Exempt from NYCECC,SpecialInspectionRequirement,Special Inspection Agency Number,ProgressInspectionRequirement,Built 1 information value,Built 2 information value,Built 2 A information value,Built 2 B information value,Standpipe,Antenna,Curb Cut,Sign,Fence,Scaffold,Shed,Latitude,Longitude,BIN,Current Status Date,Permit Issue Date,Boiler Equipment (Work Type),Earth Work (Work Type),Foundation (Work Type),General Construction (Work Type),Mechanical Systems (Work Type),Place of Assembly (Work Type),Protection Mechanical Methods (Work Type),Sidewalk Shed (Work Type),Structural (Work Type),Support of Excavation (Work Type),Temporary Place of Assembly (Work Type),House No,Street Name,Borough,Job Type
"374 FOURTH AVENUE
aka 380 FOURTH AVENUE (DOB)",Quinlan Development Group,"210,936",197,https://therealdeal.com/2021/10/20/quinlan-plans-197-unit-project-for-gowanus/,,17,175,3021051,"$1,000",10/19/2021 02:14:50 PM,39,119,10018,Other,B00593338-S5,Objections,980,77,306,Park Slope-Gowanus,"Cellar, Floor Number(s) 001 through 017, Roof",,PE,095119,EDWARD,ETTINGER,ETTINGER ENGINEERING ASSOCIATES,"505 8TH AVE, 24TH FL",NEW YORK,NY,SUNITA,BHATIA,WILLIAM VITACCO ASSOCIATES,299 BROADWAY,NEW YORK,10007,False,False,2014,No,No,True,False,Mechanical Systems,"Electrical motors and elevators, Exterior lighting power, Final, HVAC-R and service water heating equipment, HVAC-R and service water heating system controls, HVAC-R and service water piping design and insulation, Interior lighting power, Lighting controls, Lighting in dwelling units, Maintenance information, Metering, Shutoff dampers",,,,,,False,False,False,False,False,False,False,40.672941,-73.986579,3021051,10/29/2021 01:33:00 PM,,False,False,False,False,True,False,False,False,False,False,False,374,FOURTH AVENUE,BROOKLYN,New Building
"540 DEGRAW STREET
aka 545 SACKETT STREET","Vorea Group, Domain Companies","312,858",268,https://therealdeal.com/2021/11/08/firms-file-plans-for-hundreds-of-homes-ahead-of-gowanus-rezoning/,,11,146,3006985,"$1,000",10/28/2021 02:15:35 PM,33,119,10271,Other,B00600959-I1,Objections,426,1,306,Park Slope-Gowanus,,,RA,019933,DAVID B.,MIDDLETON,HANDEL ARCHITECTS,"120 BROADWAY, 6TH FL",NEW YORK,NY,ISABEL,NOBOA,JAM CONSULTANTS INC.,104 WEST 29TH STREET,NEW YORK,10001,False,False,2014,No,No,True,False,"Exterior Insulation and Finish Systems (EIFS), Fire-Resistant Penetrations and Joints, Flood Zone Compliance (attach FEMA elevation/dry floodproofing certificate where applicable), Mastic and Intumescent Fire-resistant Coatings, Seismic Isolation Systems, Sprayed fire-resistant materials, Wall Panels, Curtain Walls, and Veneers","Air barrier -- testing , Air barrier -- visual inspection, Energy Code Compliance Inspections, Fenestration air leakage, Fenestration and door U-factor and product ratings, Fenestration areas, Fire-Resistance Rated Construction, Insulation placement and R values, Lowest Floor Elevation, Preliminary, Protection of exposed foundation insulation, Vestibules",,,,,,False,False,False,False,False,False,False,40.680192,-73.986090,3006985,11/12/2021 09:53:34 PM,,False,False,False,True,False,False,False,False,False,False,False,540,DEGRAW STREET,BROOKLYN,New Building
288 4 AVENUE,Crown Acquisitions,"59,683",66,,,14,146,3007713,"$1,000",11/15/2021 06:19:23 PM,39,119,10001,Other,B00628878-I1,Pending CPE/ACPE Assignment,456,34,306,Park Slope-Gowanus,,,RA,034686,FARIBA,MAKOOI,FISCHER MAKOOI ARCHITECTS PLLC,242 WEST 30 STREET,NEW YORK,NY,LEVI,REZNICEK,"WILLIAM VITACCO ASSOCIATES, LTD",299 BROADWAY,NEW YORK,10007,False,False,2014,No,No,False,False,Fire-Resistant Penetrations and Joints,"Air barrier continuity plan testing, Energy Code Compliance Inspections, Fenestration air leakage, Fenestration and door U-factor and product ratings, Fenestration areas, Fire-Resistance Rated Construction, Insulation placement and R values",,,,,,False,False,False,False,False,False,False,40.675477,-73.984458,3007713,11/15/2021 11:19:23 PM,,False,False,False,True,False,False,False,False,False,False,False,288,4 AVENUE,BROOKLYN,New Building
"404 CARROLL STREET
aka 430 CARROLL STREET","Vorea Group, Domain Companies","385,231",360,https://therealdeal.com/2021/11/08/firms-file-plans-for-hundreds-of-homes-ahead-of-gowanus-rezoning/,,21,224,3330268,"$1,000",10/29/2021 02:51:39 PM,39,119,111201,Other,B00614338-I1,Plan Examiner Review,453,1,306,Park Slope-Gowanus,,,RA,019718,JOHN,SCHUYLER,FXCOLLABORATIVE ARCHITECTS LLP,1 WILLOUGHBY SQUARE,BROOKLYN,NY,ISABEL,NOBOA,JAM CONSULTANTS INC.,104 WEST 29TH STREET,NEW YORK,10001,False,False,2014,No,No,True,False,"Exterior Insulation and Finish Systems (EIFS), Fire-Resistant Penetrations and Joints, Luminous Egress Path Markings","Air barrier -- testing , Air barrier -- visual inspection, Energy Code Compliance Inspections, Exterior lighting power, Fenestration air leakage, Fenestration areas, Fire-Resistance Rated Construction, Insulation placement and R values, Interior lighting power, Lighting controls, Lighting in dwelling units, Vestibules",,,,,,False,False,False,False,False,False,False,40.678076,-73.988899,3330268,11/05/2021 07:58:49 PM,,False,False,False,True,False,False,False,False,False,False,False,404,CARROLL STREET,BROOKLYN,New Building
"577 UNION STREET
aka 585 UNION STREET",Tavros Capital Partners,"201,853",214,,,9,95,3007199,"$1,000",11/16/2021 11:22:54 AM,39,119,10013,Other,B00621076-I1,Pending CPE/ACPE Assignment,433,28,306,Park Slope-Gowanus,,,RA,028860,CHRISTOPHER,FOGARTY,FOGARTY FINGER LLC,69 WALKER ST,NEW YORK,NY,JACOB,KOWAL,WILLIAM VITACCO ASSOCIATES LTD,299 BROADWAY 5TH FL,NEW YORK,10007,False,False,2014,No,No,True,False,"Alternative Materials  - OTCR Buildings Bulletin Number, Fire-Resistant Penetrations and Joints, Masonry, Wall Panels, Curtain Walls, and Veneers","Air barrier -- visual inspection, Fenestration air leakage, Fenestration and door U-factor and product ratings, Fenestration areas, Fire-Resistance Rated Construction, Insulation placement and R values, Vestibules",,,,,,False,False,False,False,False,False,False,40.678683,-73.986278,3007199,11/16/2021 04:22:54 PM,,False,False,False,True,False,False,False,False,False,False,False,577,UNION STREET,BROOKLYN,New Building
251 DOUGLASS STREET,Tavros Capital Partners,"223,886",261,,,13,145,3006610,"$1,000",11/16/2021 11:18:49 AM,33,127,10013,Other,B00621061-I1,Pending CPE/ACPE Assignment,412,50,306,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,RA,028860,CHRISTOPHER,FOGARTY,FOGARTY FINGER LLC,69 WALKER ST,NEW YORK,NY,JACOB,KOWAL,WILLIAM VITACCO ASSOCIATES LTD,299 BROADWAY 5TH FL,NEW YORK,10007,False,False,2014,No,No,True,False,"Fire-Resistant Penetrations and Joints, Masonry, Wall Panels, Curtain Walls, and Veneers","Air barrier -- visual inspection, Fenestration air leakage, Fenestration and door U-factor and product ratings, Fenestration areas, Fire-Resistance Rated Construction, Insulation placement and R values, Vestibules",,,,,,False,False,False,False,False,False,False,40.680708,-73.985308,3006610,11/16/2021 04:18:49 PM,,False,False,False,True,False,False,False,False,False,False,False,251,DOUGLASS STREET,BROOKLYN,New Building
498 SACKETT STREET,"PMG, Carlyle Group","229,929",173,https://therealdeal.com/new-york/2023/06/09/pmg-carlyle-secure-335m-construction-loan-for-gowanus-towers/,,21,225,3007183,"$1,000",11/04/2021 05:42:49 PM,39,75,10018,Other,B00616358-I1,Plan Examiner Review,431,12,306,Carroll Gardens-Columbia Street-Red Hook,,,RA,014019,JAMES,DAVIDSON,SLCE ARCHITECTS,1359 BROADWAY,NYC,NY,SUNITA,BHATIA,WILLIAM VITACCO ASSOCIATES,299 BROADWAY,NEW YORK,10007,False,False,2014,No,No,True,False,"Fire-Resistant Penetrations and Joints, Flood Zone Compliance (attach FEMA elevation/dry floodproofing certificate where applicable)","Air barrier -- visual inspection, Air barrier continuity plan testing, Energy Code Compliance Inspections, Fenestration air leakage, Fenestration and door U-factor and product ratings, Fenestration areas, Fire-Resistance Rated Construction, Insulation placement and R values, Lowest Floor Elevation, Protection of exposed foundation insulation, Vestibules",,,,,,False,False,False,False,False,False,False,40.680437,-73.988780,3007183,11/15/2021 03:42:58 PM,,False,False,False,True,False,False,False,False,False,False,False,498,SACKETT STREET,BROOKLYN,New Building
"267 BOND STREET
aka 498 SACKET STREET","PMG, Carlyle Group","364,003",344,,,21,225,3336111,"$1,000",11/04/2021 05:57:17 PM,33,75,10018,Other,B00612352-I1,Objections,424,1,306,Carroll Gardens-Columbia Street-Red Hook,,,RA,014019,JAMES,DAVIDSON,SLCE ARCHITECTS,1359 BROADWAY,NYC,NY,SUNITA,BHATIA,WILLIAM VITACCO ASSOCIATES,299 BROADWAY,NEW YORK,10007,False,False,2014,No,No,True,False,"Alternative Materials  - OTCR Buildings Bulletin Number, Fire-Resistant Penetrations and Joints, Flood Zone Compliance (attach FEMA elevation/dry floodproofing certificate where applicable)","Air barrier -- visual inspection, Air barrier continuity plan testing, Energy Code Compliance Inspections, Fenestration air leakage, Fenestration and door U-factor and product ratings, Fenestration areas, Fire-Resistance Rated Construction, Insulation placement and R values, Lowest Floor Elevation, Protection of exposed foundation insulation, Vestibules",,,,,,False,False,False,False,False,False,False,40.681118,-73.988755,3336111,11/16/2021 09:13:54 PM,,False,False,False,True,False,False,False,False,False,False,False,267,BOND STREET,BROOKLYN,New Building
129 3 STREET,"PMG, Orange Management","89,203",84,,,14,147,3007917,"$1,000",11/15/2021 04:51:55 PM,39,77,10011,Other,B00621533-I1,Pending CPE/ACPE Assignment,462,6,306,Carroll Gardens-Columbia Street-Red Hook,,,RA,033384,EUGENE,COLBERG,COLBERG ARCHITECTURE,"76 9TH AVE, #30196",NEW YORK,NY,ROMAN,TSIPENYUK,"WILLIAM VITACCO ASSOCIATES, LTD",299 BROADWAY,NEW YORK,10007,False,False,2014,No,No,True,False,Fire-Resistant Penetrations and Joints,"Air barrier -- visual inspection, Air barrier continuity plan testing, Energy Code Compliance Inspections, Fenestration air leakage, Fenestration and door U-factor and product ratings, Fenestration areas, Fire-Resistance Rated Construction, Insulation placement and R values, Lowest Floor Elevation",,,,,,False,False,False,False,False,False,False,40.676754,-73.991456,3007917,11/15/2021 09:51:55 PM,,False,False,False,True,False,False,False,False,False,False,False,129,3 STREET,BROOKLYN,New Building
477 SMITH STREET,Yoel Schwimmer,"421,918",496,,,22,,3428519,"$37,000,000",11/16/2021 09:30:22 AM,39,77,10013,Other,B00625252-I1,Pending CPE/ACPE Assignment,471,200,306,Carroll Gardens-Columbia Street-Red Hook,,,RA,036207,ERAN,CHEN,"ODA-ARCHITECTURE, P.C.","99 HUDSON ST, 2ND FL",NEW YORK,NY,KAROLINA,CASTRO,METROPOLIS GROUP INC,22 CORTLANDT STREET,NEW YORK,10007,False,False,2014,No,No,True,False,"Fire-Resistant Penetrations and Joints, Luminous Egress Path Markings, Sprayed fire-resistant materials, Wall Panels, Curtain Walls, and Veneers","Air barrier -- testing , Air barrier -- visual inspection, Energy Code Compliance Inspections, Fenestration air leakage, Fenestration and door U-factor and product ratings, Fenestration areas, Fire-Resistance Rated Construction, Insulation placement and R values, Protection of exposed foundation insulation, Vestibules",,,,,,False,False,False,False,False,False,False,40.675546,-73.997368,,11/16/2021 02:30:22 PM,,False,False,False,True,False,False,False,False,False,False,False,477,SMITH STREET,BROOKLYN,New Building
