Address,Owner/Developer,Total Construction Floor Area,Proposed Dwelling Units,TRD Link
"374 FOURTH AVENUE
aka 380 FOURTH AVENUE ",Quinlan Development Group,"210,936",197,https://therealdeal.com/2021/10/20/quinlan-plans-197-unit-project-for-gowanus/
"540 DEGRAW STREET
aka 545 SACKETT STREET","Vorea Group, Domain Companies","312,858",268,https://therealdeal.com/2021/11/08/firms-file-plans-for-hundreds-of-homes-ahead-of-gowanus-rezoning/
288 4 AVENUE,Crown Acquisitions,"59,683",66,
"404 CARROLL STREET
aka 430 CARROLL STREET","Vorea Group, Domain Companies","385,231",360,https://therealdeal.com/2021/11/08/firms-file-plans-for-hundreds-of-homes-ahead-of-gowanus-rezoning/
"577 UNION STREET
aka 585 UNION STREET",Tavros Capital Partners,"201,853",214,
251 DOUGLASS STREET,Tavros Capital Partners,"223,886",261,
498 SACKETT STREET,"PMG, Carlyle Group","229,929",173,https://therealdeal.com/new-york/2023/06/09/pmg-carlyle-secure-335m-construction-loan-for-gowanus-towers/
"267 BOND STREET
aka 498 SACKET STREET","PMG, Carlyle Group","364,003",344,
"300 NEVINS STREET
aka 498 UNION STREET","Tavros Capital Partners, Charney Companies","310,861",654,https://therealdeal.com/new-york/2022/01/03/tavros-charney-pick-up-gowanus-dev-site-for-100m/
"232 THIRD AVENUE
aka 585 UNION STREET
aka 232 - 250 3RD AVENUE
aka 586 - 600 SACKETT STREET
aka 581 - 599 UNION STREET","Tavros Capital Partners, Avery Hall Investments","210,000",226,https://therealdeal.com/new-york/2021/12/14/three-gowanus-projects-lead-spate-of-new-development-filings/
653 UNION STREET,Avery Hall Investments,"161,490",193,
164 FOURTH AVENUE,Heron Fourth Ave LLC,"166,633",140,
"125 THIRD STREET
aka 130 2ND STREET",Orange Management,"93,297",130,https://therealdeal.com/new-york/2023/05/08/rotem-rosen-loses-his-gambit-in-gowanus/
204 FOURTH AVENUE,Avery Hall Investments,"200,000",193,https://therealdeal.com/new-york/2019/11/19/avery-hall-pays-30m-for-gowanus-site/
155 THIRD STREET,Monadnock Development,"315,756",301,https://therealdeal.com/new-york/2021/12/14/three-gowanus-projects-lead-spate-of-new-development-filings/
175 THIRD STREET,RFR Holdings,"647,353",450,https://therealdeal.com/new-york/2022/03/03/aby-rosens-rfr-plans-375-unit-gowanus-building/
"192 DOUGLASS STREET
aka 259 BOND STREET",Midwood Investments & Development,"319,664",270,
563 SACKETT STREET,Domain,"355,318",338,https://therealdeal.com/new-york/2023/01/19/these-were-the-10-biggest-projects-announced-in-2022/
224 3rd AVENUE,Slate Property Group,"60,163",64,
335 BOND STREET,Eduard Slinin,"84,131",70,https://www.dailymail.co.uk/news/article-10026653/Super-rich-residents-sue-developers-NYC-skyscraper-Billionaires-Row-250-MILLION.html
285 DOUGLASS STREET,Marc Jay Freud,"79,232",79,https://www.nytimes.com/2004/05/30/fashion/weddings/valerie-russo-marc-freud.html
213 THIRD AVENUE,Dolly Williams,"82,942",80,http://www.dollywilliams.com/
33 4th STREET,George Hoffman,"75,302",82,
"459 SMITH STREET
aka 477 SMITH STREET","Lantower, Yoel Schwimmer","69,951",899,https://therealdeal.com/new-york/2020/12/31/all-year-in-default-on-66m-gowanus-preferred-equity-loan/
"463 SMITH STREET
aka 459 SMITH STREET","Lantower, Yoel Schwimmer","315,910 (421,918 total)",,
"435 PRESIDENT STREET
aka 313 BOND STREET
aka 395 CARROLL STREET",Rabsky Group; Sky Equities,"457,854",604,https://therealdeal.com/new-york/2019/02/27/rabsky-buying-gowanus-parcel-from-yoel-goldman-for-95m-sources/
"499 PRESIDENT STREET
aka 514 UNION STREET
aka 469 PRESIDENT STREET",Brodsky Organization,"342,697",350,https://therealdeal.com/new-york/2023/05/25/brodsky-org-pays-76m-for-popular-shuffleboard-and-project-sites/
556 BALTIC STREET,Jacob Schwimmer,"92,100",92,
Corner of Smith and 5th Streets (Gowanus Green),New York City/Hudson Companies,"998,000",950,https://therealdeal.com/2020/11/20/massive-gowanus-development-will-be-100-affordable/
117 & 211 Hoyt Street (Gowanus Houses),New York City ,"930,780","1,137",https://therealdeal.com/2021/11/10/gowanus-rezoning-agreement-paves-way-for-8k-new-homes/
272 Wyckoff Street (Wyckoff Gardens),New York City,"509,151",529,https://therealdeal.com/2021/11/10/gowanus-rezoning-agreement-paves-way-for-8k-new-homes/
