SOLD DATE,Number of Sales,Median Sale Price
2018-10-31,3,2430000.0
2018-11-30,8,3517500.0
2018-12-31,9,3120000.0
2019-01-31,4,3450000.0
2019-02-28,2,2500000.0
2019-03-31,8,3890000.0
2019-04-30,6,3220000.0
2019-05-31,12,4500000.0
2019-06-30,9,2750000.0
2019-07-31,6,2475000.0
2019-08-31,9,4875000.0
2019-09-30,7,2950000.0
2019-10-31,4,4247500.0
2019-11-30,9,2650000.0
2019-12-31,8,2375000.0
2020-01-31,14,4535000.0
2020-02-29,8,4330250.0
2020-03-31,12,4125000.0
2020-04-30,7,2825000.0
2020-05-31,6,5711944.0
2020-06-30,2,2275000.0
2020-07-31,12,3250000.0
2020-08-31,15,3150000.0
2020-09-30,16,3659000.0
2020-10-31,14,6172500.0
2020-11-30,7,3650000.0
2020-12-31,12,5400000.0
2021-01-31,9,2550000.0
2021-02-28,7,3365000.0
2021-03-31,11,3160000.0
2021-04-30,20,4987500.0
2021-05-31,13,3150000.0
2021-06-30,24,5112500.0
2021-07-31,14,6235000.0
2021-08-31,11,4100000.0
2021-09-30,20,4791500.0
2021-10-31,16,5360000.0
2021-11-30,17,4550000.0
2021-12-31,8,5312500.0
2022-01-31,8,7925000.0
2022-02-28,7,6350000.0
2022-03-31,8,4025000.0
2022-04-30,8,5825000.0
2022-05-31,9,4900000.0
2022-06-30,7,4900000.0
2022-07-31,4,3800000.0
2022-08-31,3,4250000.0
2022-09-30,6,12750000.0
2022-10-31,7,8600000.0
2022-11-30,4,5180000.0
2022-12-31,1,3175000.0
2023-01-31,4,6546500.0
2023-02-28,6,4265000.0
2023-03-31,12,4479000.0
2023-04-30,9,3868000.0
2023-05-31,6,4235000.0
2023-06-30,5,9600000.0
2023-07-31,9,6550000.0
2023-08-31,9,5800000.0
2023-09-30,8,9800000.0
2023-10-31,3,8525000.0
