SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-17-2022,Single Family Residential,17 Versailles,Newport Coast,CA,92657,2600000,4,3.0,N26 - Newport Coast,2373,4977,1996,,1096,376,Sold,,,https://www.redfin.com/CA/Newport-Coast/17-Versailles-92657/home/4736061,CRMLS,OC22025214,N,Y,33.6132196,-117.8362256
PAST SALE,April-18-2019,Single Family Residential,32 Lyon,Newport Coast,CA,92657,2340000,4,3.0,N26 - Newport Coast,2727,5720,1995,,858,386,Sold,,,https://www.redfin.com/CA/Newport-Coast/32-Lyon-92657/home/4737033,CRMLS,OC19056374,N,Y,33.60631,-117.829752
PAST SALE,June-13-2022,Single Family Residential,19 Observatory,Newport Coast,CA,92657,4900000,5,4.5,N26 - Newport Coast,4160,8536,2004,,1178,485,Sold,,,https://www.redfin.com/CA/Newport-Coast/19-Observatory-92657/home/5928791,CRMLS,OC22132709,N,Y,33.6011923,-117.8067194
PAST SALE,August-7-2023,Single Family Residential,7 Longboat,Newport Coast,CA,92657,5004500,4,4.5,N26 - Newport Coast,3772,11700,1995,,1327,935,Sold,,,https://www.redfin.com/CA/Newport-Beach/7-Longboat-92657/home/4749058,CRMLS,OC23146719,N,Y,33.6008666,-117.8310638
PAST SALE,October-19-2020,Single Family Residential,90 Archipelago Dr,Newport Coast,CA,92657,4000000,4,4.5,CR - Crystal Cove,4000,11305,2005,,1000,700,Sold,,,https://www.redfin.com/CA/Newport-Coast/90-Archipelago-Dr-92657/home/5930323,CRMLS,OC20221343,N,Y,33.5708351,-117.8271668
PAST SALE,,Single Family Residential,10 Timor Sea,Newport Coast,CA,92657,8200000,4,4.5,,5480,21027,2000,,1496,,,,,https://www.redfin.com/CA/Newport-Coast/10-Timor-Sea-92657/home/5767878,,,N,Y,33.578828,-117.8361569
PAST SALE,February-18-2021,Single Family Residential,7 Vincennes,Newport Coast,CA,92657,3365000,4,3.5,N26 - Newport Coast,3655,7198,2001,,921,430,Sold,,,https://www.redfin.com/CA/Newport-Beach/7-Vincennes-92657/home/5766100,CRMLS,OC21024566,N,Y,33.6209744,-117.8400491
PAST SALE,December-15-2020,Single Family Residential,10 Waves End,Newport Coast,CA,92657,14750000,5,5.5,CR - Crystal Cove,8300,22930,2020,,1777,1285,Sold,,,https://www.redfin.com/CA/Newport-Beach/10-Waves-End-92657/home/7202956,CRMLS,OC20210485,N,Y,33.5791392,-117.8257622
PAST SALE,February-14-2022,Single Family Residential,28 Tidal Surf,Newport Coast,CA,92657,4455000,3,3.5,N26 - Newport Coast,2964,4955,1996,,1503,674,Sold,,,https://www.redfin.com/CA/Newport-Beach/28-Tidal-Surf-92657/home/4749296,CRMLS,OC22013869,N,Y,33.5925874,-117.833959
PAST SALE,April-21-2021,Single Family Residential,6 Menton,Newport Coast,CA,92657,2011000,3,2.5,N26 - Newport Coast,2611,3840,1994,,770,380,Sold,,,https://www.redfin.com/CA/Newport-Beach/6-Menton-92657/home/4736797,CRMLS,NP21061637,N,Y,33.6127606,-117.8348742
PAST SALE,,Condo/Co-op,17 Fecamp,Newport Coast,CA,92657,1292000,4,2.5,,1943,,1995,,665,,,,,https://www.redfin.com/CA/Newport-Coast/17-Fecamp-92657/home/5529535,,,N,Y,33.610261,-117.8367076
PAST SALE,June-24-2022,Single Family Residential,4 Jarden,Newport Coast,CA,92657,4020000,6,4.5,N26 - Newport Coast,3882,7508,1999,,1036,455,Sold,,,https://www.redfin.com/CA/Newport-Coast/4-Jarden-92657/home/4737679,CRMLS,NP22139977,N,Y,33.6203922,-117.8374142
PAST SALE,March-6-2019,Single Family Residential,2 Peninsula,Newport Coast,CA,92657,4300000,4,5.0,N26 - Newport Coast,5046,14400,1995,,852,,Sold,,,https://www.redfin.com/CA/Newport-Beach/2-Peninsula-92657/home/4749065,CRMLS,P0-819000321,N,Y,33.5994268,-117.831532
PAST SALE,February-14-2020,Single Family Residential,33 Lyon,Newport Coast,CA,92657,1480000,3,2.5,N26 - Newport Coast,2264,6050,1996,,654,386,Sold,,,https://www.redfin.com/CA/Newport-Coast/33-Lyon-92657/home/4737010,CRMLS,OC20033225,N,Y,33.606577,-117.829342
PAST SALE,,Single Family Residential,35 Vista Luci,Newport Beach,CA,92657,6500000,5,5.5,,4805,11090,2000,,1353,,,,,https://www.redfin.com/CA/Newport-Beach/35-Vista-Luci-92657/home/5767506,,,N,Y,33.5970568,-117.8364048
PAST SALE,January-28-2020,Single Family Residential,37 Del Mar,Newport Coast,CA,92657,25100000,6,9.5,CR - Crystal Cove,15000,31264,2009,,1673,1015,Sold,,,https://www.redfin.com/CA/Newport-Coast/37-Del-Mar-92657/home/5957659,CRMLS,OC20019924,N,Y,33.5768391,-117.831754
PAST SALE,June-7-2021,Single Family Residential,20 Wharfside Dr,Newport Coast,CA,92657,5400000,3,3.5,CR - Crystal Cove,3162,10562,2001,,1708,725,Sold,,,https://www.redfin.com/CA/Newport-Coast/20-Wharfside-Dr-92657/home/5767720,CRMLS,OC21124211,N,Y,33.5727565,-117.8365004
PAST SALE,,Condo/Co-op,150 Lessay,Newport Coast,CA,92657,1240000,3,2.5,,1459,,1993,,850,,,,,https://www.redfin.com/CA/Newport-Coast/150-Lessay-92657/home/5529677,,,N,Y,33.6086926,-117.8367084
PAST SALE,,Single Family Residential,8 Amador,Newport Coast,CA,92657,3475000,4,3.0,,2506,5896,1999,,1387,,,,,https://www.redfin.com/CA/Newport-Coast/8-Amador-92657/home/4749623,,,N,Y,33.6058456,-117.8242052
PAST SALE,September-15-2021,Single Family Residential,1 Greens Blf,Newport Coast,CA,92657,12650000,6,6.0,CR - Crystal Cove,6303,23784,2000,,2007,760,Sold,,,https://www.redfin.com/CA/Newport-Coast/1-Greens-Blf-92657/home/5767905,CRMLS,OC21170185,N,Y,33.5778786,-117.8373246
PAST SALE,,Single Family Residential,32 Baffin Bay,Newport Coast,CA,92657,4800000,5,6.0,,4600,9875,2021,,1043,,,,,https://www.redfin.com/CA/Newport-Coast/32-Baffin-Bay-92657/home/5811524,,,N,Y,33.5729086,-117.8371185
PAST SALE,,Single Family Residential,38 Coral Reef,Newport Coast,CA,92657,2575000,3,3.5,,2964,6156,1997,,869,,,,,https://www.redfin.com/CA/Newport-Coast/38-Coral-Reef-92657/home/4749358,,,N,Y,33.5937975,-117.832631
PAST SALE,October-12-2021,Single Family Residential,3 Sundial,Newport Coast,CA,92657,3455000,4,3.5,N26 - Newport Coast,3631,6439,2005,,952,485,Sold,,,https://www.redfin.com/CA/Newport-Coast/3-Sundial-92657/home/5928645,CRMLS,OC21224208,N,Y,33.5991638,-117.8053082
