SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-20-2023,Condo/Co-op,250 Tresana Blvd #86,Jupiter,FL,33478,1200000,3,2.5,Jupiter Country Club,3042,43560,2018,,394,1177,Sold,,,https://www.redfin.com/FL/Jupiter/250-Tresana-Blvd-33478/unit-86/home/136791063,Beaches MLS,RX-10859283,N,Y,26.9274571,-80.1550255
PAST SALE,March-20-2023,Condo/Co-op,3755 Via Poinciana #513,Lake Worth,FL,33467,152000,2,2.0,"Poinciana Place Condo 1,2,8 And 9",1090,43560,1974,,139,573,Sold,,,https://www.redfin.com/FL/Lake-Worth/3755-Via-Poinciana-33467/unit-513/home/42168980,Beaches MLS,RX-10867629,N,Y,26.6212507,-80.1544401
PAST SALE,May-2-2023,Condo/Co-op,50 SW 3rd Ave #2040,Boca Raton,FL,33432,255000,2,2.0,Boca Center Plaza,918,,1975,,278,490,Sold,,,https://www.redfin.com/FL/Boca-Raton/50-SW-3rd-Ave-33432/unit-2040/home/42332251,Beaches MLS,RX-10872235,N,Y,26.3491819,-80.0912869
PAST SALE,March-16-2023,Condo/Co-op,33 Colonial Club Dr #105,Boynton Beach,FL,33435,250000,2,2.0,Colonial Club Condo Sec 1,1200,,1974,,208,634,Sold,,,https://www.redfin.com/FL/Boynton-Beach/33-Colonial-Club-Dr-33435/unit-105/home/42350247,Beaches MLS,RX-10851680,N,Y,26.5002895,-80.0594951
PAST SALE,May-12-2023,Condo/Co-op,1024 NW 13th St Unit 129b,Boca Raton,FL,33486,235000,2,2.0,Boca Linda Condo,978,,1973,,240,356,Sold,,,https://www.redfin.com/FL/Boca-Raton/1024-NW-13th-St-33486/unit-129B/home/42309573,Beaches MLS,RX-10865261,N,Y,26.360527,-80.1069355
PAST SALE,March-31-2023,Condo/Co-op,14484 Canalview Dr Unit C,Delray Beach,FL,33484,160000,1,2.0,High Point OF Delray West Condo Sec 1&2,1068,43560,1981,,150,320,Sold,,,https://www.redfin.com/FL/Delray-Beach/14484-Canalview-Dr-33484/unit-C/home/42214690,Beaches MLS,RX-10861599,N,Y,26.4611062,-80.1285085
PAST SALE,April-26-2023,Condo/Co-op,7 Via De Casas Sur #101,Boynton Beach,FL,33426,289000,2,2.0,South Lake Condo,996,43560,1986,,290,660,Sold,,,https://www.redfin.com/FL/Boynton-Beach/7-Via-de-Casas-Sur-33426/unit-101/home/42337049,Beaches MLS,RX-10856630,N,Y,26.553748,-80.0884654
PAST SALE,March-27-2023,Condo/Co-op,806 E Windward Way #506,Lantana,FL,33462,438000,2,2.0,Moorings AT Lantana Condo 3,1265,38104,2005,,346,910,Sold,,,https://www.redfin.com/FL/Lantana/806-E-Windward-Way-33462/unit-506/home/42597062,Beaches MLS,RX-10833909,N,Y,26.5911307,-80.0499085
PAST SALE,April-25-2023,Condo/Co-op,700 Uno Lago Dr #204,Juno Beach,FL,33408,390000,2,2.0,Uno Lago 7 Condo / Ocean Trace,1180,365,1985,,331,752,Sold,,,https://www.redfin.com/FL/Juno-Beach/700-Uno-Lago-Dr-33408/unit-204/home/42396586,Beaches MLS,RX-10838559,N,Y,26.8580204,-80.0608311
PAST SALE,March-21-2023,Condo/Co-op,2572 Emory Dr Unit G,West Palm Beach,FL,33415,112000,1,1.5,Cresthaven Villas Condo 31,661,43560,1983,,169,278,Sold,,,https://www.redfin.com/FL/West-Palm-Beach/2572-Emory-Dr-E-33415/unit-G/home/42180469,Beaches MLS,RX-10868454,N,Y,26.640332,-80.13005
PAST SALE,April-27-2023,Condo/Co-op,250 NE 20th St #5230,Boca Raton,FL,33431,255000,2,2.0,Tierra Del Sol Condo,1080,,1972,,236,460,Sold,,,https://www.redfin.com/FL/Boca-Raton/250-NE-20th-St-33431/unit-5230/home/42320461,Beaches MLS,RX-10890038,N,Y,26.366108,-80.082903
PAST SALE,April-20-2023,Condo/Co-op,100 Intracoastal Pl #408,Jupiter,FL,33469,645000,2,2.0,BROADVIEW CONDO,1287,,1976,,501,833,Sold,,,https://www.redfin.com/FL/Tequesta/100-Intracoastal-Pl-33469/unit-408/home/42273743,MARMLS,A11381637,N,Y,26.968768,-80.085348
PAST SALE,May-1-2023,Condo/Co-op,20 Seville A Dr,Delray Beach,FL,33446,165000,2,2.0,Kings Point Seville Condos,883,,1973,,187,618,Sold,,,https://www.redfin.com/FL/Delray-Beach/20-Seville-a-33446/home/42632651,Beaches MLS,RX-10886401,N,Y,26.452865,-80.150871
PAST SALE,,Condo/Co-op,390 Chatham S,West Palm Beach,FL,33417,138000,1,1.5,,738,,1973,,187,,,,,https://www.redfin.com/FL/West-Palm-Beach/390-Chatham-S-33417/home/42146722,,,N,Y,26.717252,-80.1278178
PAST SALE,,Condo/Co-op,7370 S Oriole Blvd #701,Delray Beach,FL,33446,265000,3,2.0,,1500,,1989,,177,,,,,https://www.redfin.com/FL/Delray-Beach/7370-S-Oriole-Blvd-33446/unit-701/home/42220065,,,N,Y,26.456845,-80.160464
PAST SALE,,Condo/Co-op,431 Brackenwood Ln N,Palm Beach Gardens,FL,33418,450000,2,2.0,,1366,,1985,,329,,,,,https://www.redfin.com/FL/Palm-Beach-Gardens/431-Brackenwood-Ln-N-33418/home/42446605,,,N,Y,26.8302115,-80.1461013
PAST SALE,June-1-2023,Condo/Co-op,16551 Traders Xing #143,Jupiter,FL,33477,699000,2,2.0,Traders Crossing AT Jonathans Landing,1478,,1988,,473,945,Sold,,,https://www.redfin.com/FL/Jupiter/16551-Traders-Xing-S-33477/unit-143/home/42274281,Beaches MLS,RX-10893957,N,Y,26.9195509,-80.0917722
PAST SALE,,Condo/Co-op,1500 N Congress Ave Unit B33,West Palm Beach,FL,33401,189000,1,1.0,,625,,1980,,302,,,,,https://www.redfin.com/FL/West-Palm-Beach/1500-N-Congress-Ave-33401/unit-B33/home/42516716,,,N,Y,26.7273451,-80.08899
PAST SALE,,Condo/Co-op,1653 Bridgewood Dr,Boca Raton,FL,33434,90000,2,2.0,,1050,,1974,,86,,,,,https://www.redfin.com/FL/Boca-Raton/1653-Bridgewood-Dr-33434/home/42250979,,,N,Y,26.3727374,-80.1657544
PAST SALE,May-5-2023,Condo/Co-op,1915 Lavers Cir Unit E409,Delray Beach,FL,33444,420000,2,2.0,Lakeside Condo,1160,90,1984,,362,200,Sold,,,https://www.redfin.com/FL/Delray-Beach/1915-Lavers-Cir-33444/unit-E409/home/42581287,Beaches MLS,RX-10887330,N,Y,26.4373114,-80.0828694
PAST SALE,March-30-2023,Condo/Co-op,7270 Ashford Pl #408,Delray Beach,FL,33446,215000,2,2.0,Huntington Lakes,1220,43560,1989,,176,743,Sold,,,https://www.redfin.com/FL/Delray-Beach/7270-Ashford-Pl-33446/unit-408/home/42221627,Beaches MLS,RX-10877757,N,Y,26.460953,-80.1592117
PAST SALE,May-12-2023,Condo/Co-op,236 Canterbury K,West Palm Beach,FL,33417,90000,1,1.5,Century Village,646,,1973,,139,480,Sold,,,https://www.redfin.com/FL/West-Palm-Beach/236-Canterbury-K-33417/home/42141737,Beaches MLS,RX-10889297,N,Y,26.720227,-80.132277
PAST SALE,,Condo/Co-op,314 Inlet Way #302,Palm Beach Shores,FL,33404,1200000,2,2.0,,1474,,2006,,814,,,,,https://www.redfin.com/FL/Palm-Beach-Shores/314-Inlet-Way-33404/unit-302/home/42611811,,,N,Y,26.774278,-80.0376721
PAST SALE,,Condo/Co-op,10127 44th Ter S #371,Boynton Beach,FL,33436,230000,2,2.0,,1238,,1975,,186,,,,,https://www.redfin.com/FL/Boynton-Beach/10127-44th-Ter-S-33436/unit-371/home/42201582,,,N,Y,26.5262258,-80.1138508
PAST SALE,,Condo/Co-op,389 Monaco I,Delray Beach,FL,33446,249900,2,2.0,,907,,1977,,276,,,,,https://www.redfin.com/FL/Delray-Beach/389-Monaco-I-33446/home/42223512,,,N,Y,26.4422851,-80.1526844
PAST SALE,April-5-2023,Condo/Co-op,5400 Cedar Lake Dr #201,Boynton Beach,FL,33437,159900,2,2.0,Banyan Springs,1260,43560,1982,,127,690,Sold,,,https://www.redfin.com/FL/Boynton-Beach/5400-Cedar-Lake-Dr-33437/unit-201/home/42200704,Beaches MLS,RX-10865637,N,Y,26.5239336,-80.1294696
PAST SALE,,Condo/Co-op,568 Mansfield N,Boca Raton,FL,33434,95000,1,1.0,,601,,1980,,158,,,,,https://www.redfin.com/FL/Boca-Raton/568-Mansfield-N-33434/home/42638383,,,N,Y,26.393597,-80.175797
PAST SALE,,Condo/Co-op,3359 Perimeter Dr #1212,Greenacres,FL,33467,192450,2,2.0,,1133,,1985,,170,,,,,https://www.redfin.com/FL/Greenacres/3359-Perimeter-Dr-33467/unit-1212/home/42390366,,,N,Y,26.6282661,-80.1473915
PAST SALE,,Condo/Co-op,3912 S Ocean Blvd #411,Highland Beach,FL,33487,502500,1,1.5,,987,,1976,,509,,,,,https://www.redfin.com/FL/Highland-Beach/3912-S-Ocean-Blvd-33487/unit-411/home/42392542,,,N,Y,26.4053247,-80.0675557
PAST SALE,,Condo/Co-op,6525 S Oriole Blvd #1070,Delray Beach,FL,33446,215000,2,2.0,,1005,,1980,,214,,,,,https://www.redfin.com/FL/Delray-Beach/6525-S-Oriole-Blvd-33446/unit-1070/home/42219822,,,N,Y,26.4556199,-80.1559849
PAST SALE,May-12-2023,Condo/Co-op,150 Berkshire G,West Palm Beach,FL,33417,80000,1,1.0,Century Village,615,,1972,,130,480,Sold,,,https://www.redfin.com/FL/West-Palm-Beach/150-Berkshire-G-33417/home/42154355,Beaches MLS,RX-10889458,N,Y,26.7142794,-80.1324798
PAST SALE,,Condo/Co-op,6332 Pointe Pleasant Cir,Delray Beach,FL,33484,295000,2,2.0,,1345,,1993,,219,,,,,https://www.redfin.com/FL/Delray-Beach/6332-Pointe-Pleasant-Cir-33484/home/42220537,,,N,Y,26.4650487,-80.144779
PAST SALE,April-21-2023,Condo/Co-op,1063 Golden Lakes Blvd #316,West Palm Beach,FL,33411,200000,3,2.0,Belvedere Isles Condomini,1054,,2005,,190,360,Sold,,,https://www.redfin.com/FL/West-Palm-Beach/1063-Golden-Lakes-Blvd-33411/unit-316/home/42600456,Beaches MLS,F10372083,N,Y,26.6930033,-80.1676203
PAST SALE,,Condo/Co-op,100 Worth Ave #607,Palm Beach,FL,33480,3965000,2,2.0,,1539,,1970,,2576,,,,,https://www.redfin.com/FL/Palm-Beach/100-Worth-Ave-33480/unit-607/home/42435281,,,N,Y,26.7003852,-80.0337993
PAST SALE,March-27-2023,Condo/Co-op,1601 S Flagler Dr Unit 204o,West Palm Beach,FL,33401,335000,1,1.0,Viking Arms Condo,673,,1980,,498,495,Sold,,,https://www.redfin.com/FL/West-Palm-Beach/1601-S-Flagler-Dr-33401/unit-204O/home/42520068,Beaches MLS,RX-10873342,N,Y,26.6992853,-80.0513591
PAST SALE,,Condo/Co-op,1500 N Congress Ave Unit A214,West Palm Beach,FL,33401,132000,1,1.0,,495,,1980,,267,,,,,https://www.redfin.com/FL/West-Palm-Beach/1500-N-Congress-Ave-33401/unit-A214/home/42520750,,,N,Y,26.7273451,-80.08899
PAST SALE,May-11-2023,Condo/Co-op,21791 Arriba Real Unit H,Boca Raton,FL,33433,355000,2,2.0,Glades OF Boca Lago Condo,1216,,1979,,292,611,Sold,,,https://www.redfin.com/FL/Boca-Raton/21791-Arriba-Real-33433/unit-H/home/42253297,Beaches MLS,RX-10882496,N,Y,26.3514588,-80.1850872
PAST SALE,,Condo/Co-op,139 Sunrise Ave #2040,Palm Beach,FL,33480,1676000,2,2.0,,990,,1980,,1693,,,,,https://www.redfin.com/FL/Palm-Beach/139-Sunrise-Ave-33480/unit-2040/home/42434087,,,N,Y,26.7203609,-80.0364202
PAST SALE,,Condo/Co-op,6200 NW 2nd Ave #1110,Boca Raton,FL,33487,360000,2,2.5,,1750,,1977,,206,,,,,https://www.redfin.com/FL/Boca-Raton/6200-NW-2nd-Ave-33487/unit-1110/home/42311164,,,N,Y,26.4052963,-80.0817347
PAST SALE,,Condo/Co-op,515 Saxony K,Delray Beach,FL,33446,125000,1,1.5,,760,,1974,,164,,,,,https://www.redfin.com/FL/Delray-Beach/515-Saxony-K-33446/home/42224093,,,N,Y,26.4400972,-80.151788
PAST SALE,,Condo/Co-op,2851 S Ocean Blvd #0041,Boca Raton,FL,33432,330000,1,1.0,,985,,1980,,335,,,,,https://www.redfin.com/FL/Boca-Raton/2851-S-Ocean-Blvd-33432/unit-0041/home/42329683,,,N,Y,26.323315,-80.0761481
PAST SALE,,Condo/Co-op,743 Nantucket Cir,Lake Worth,FL,33467,230000,2,2.0,,941,,1983,,244,,,,,https://www.redfin.com/FL/Lake-Worth/743-Nantucket-Cir-33467/home/42630200,,,N,Y,26.6247361,-80.1600753
PAST SALE,,Condo/Co-op,5601 NW 2nd Ave #1250,Boca Raton,FL,33487,212000,2,2.0,,1000,,1968,,212,,,,,https://www.redfin.com/FL/Boca-Raton/5601-NW-2nd-Ave-33487/unit-1250/home/42313251,,,N,Y,26.3996323,-80.084266
PAST SALE,,Condo/Co-op,2016 S Federal Hwy #307,Boynton Beach,FL,33435,172000,2,2.0,,963,,1973,,179,,,,,https://www.redfin.com/FL/Boynton-Beach/2016-S-Federal-Hwy-33435/unit-307/home/42641963,,,N,Y,26.510099,-80.058048
PAST SALE,,Condo/Co-op,350 S Ocean Blvd #0122,Boca Raton,FL,33432,2550000,3,3.0,,2296,,1977,,1111,,,,,https://www.redfin.com/FL/Boca-Raton/350-S-Ocean-Blvd-33432/unit-0122/home/42329645,,,N,Y,26.3472728,-80.0702119
PAST SALE,,Condo/Co-op,216 Down East Ln,Lake Worth,FL,33467,70210,1,1.0,,790,,1983,,89,,,,,https://www.redfin.com/FL/Lake-Worth/216-Down-East-Ln-33467/home/42086950,,,N,Y,26.6240107,-80.1622003
PAST SALE,,Condo/Co-op,4475 N Ocean Blvd Unit 31E,Delray Beach,FL,33483,1050000,2,2.0,,1300,,1973,,808,,,,,https://www.redfin.com/FL/Delray-Beach/4475-N-Ocean-Blvd-33483/unit-31E/home/42359871,,,N,Y,26.5038011,-80.0530526
PAST SALE,,Condo/Co-op,4475 N Ocean Blvd #309,Delray Beach,FL,33483,1397500,2,2.5,,2125,,1979,,658,,,,,https://www.redfin.com/FL/Delray-Beach/4475-N-Ocean-Blvd-33483/unit-309/home/42360579,,,N,Y,26.5038011,-80.0530526
PAST SALE,May-12-2023,Condo/Co-op,22 Colonial Club Dr #305,Boynton Beach,FL,33435,168000,2,2.0,Colonial Club Condo Sec 2,1200,,1974,,140,634,Sold,,,https://www.redfin.com/FL/Boynton-Beach/22-Colonial-Club-Dr-33435/unit-305/home/42355871,Beaches MLS,RX-10873198,N,Y,26.5034373,-80.0588294
PAST SALE,May-15-2023,Condo/Co-op,1403 Captains Way,Jupiter,FL,33477,1818000,2,2.0,Admirals Cove,1952,180,1987,,931,2128,Sold,,,https://www.redfin.com/FL/Jupiter/1403-Captains-Way-33477/home/42411997,Beaches MLS,RX-10881076,N,Y,26.90938,-80.086781
PAST SALE,June-1-2023,Condo/Co-op,16695 Traders Xing N #120,Jupiter,FL,33477,825000,3,2.0,Traders Crossing AT Jonathans Landing,1796,,1988,,459,1090,Sold,,,https://www.redfin.com/FL/Jupiter/16695-Traders-Xing-N-33477/unit-120/home/42273785,Beaches MLS,RX-10893974,N,Y,26.9236419,-80.091685
PAST SALE,,Condo/Co-op,230 NE 26th Ave #2150,Boynton Beach,FL,33435,126000,1,1.5,,758,,1978,,166,,,,,https://www.redfin.com/FL/Boynton-Beach/230-NE-26th-Ave-33435/unit-2150/home/42637924,,,N,Y,26.553688,-80.0649184
PAST SALE,,Condo/Co-op,2011 Lincoln a,Boca Raton,FL,33434,113750,1,1.5,,752,,1981,,151,,,,,https://www.redfin.com/FL/Boca-Raton/2011-Lincoln-a-33434/home/42246865,,,N,Y,26.38935,-80.172997
PAST SALE,,Condo/Co-op,114 Wellington C,West Palm Beach,FL,33417,210000,2,2.0,,1100,,1971,,191,,,,,https://www.redfin.com/FL/West-Palm-Beach/114-Wellington-C-33417/home/42148434,,,N,Y,26.7104774,-80.1309493
PAST SALE,,Condo/Co-op,4545 N Ocean Blvd Unit 19D,Boca Raton,FL,33431,1350000,2,2.5,,1892,,1974,,714,,,,,https://www.redfin.com/FL/Boca-Raton/4545-N-Ocean-Blvd-33431/unit-19D/home/42316721,,,N,Y,26.3905047,-80.0675329
PAST SALE,,Condo/Co-op,293 Fanshaw G,Boca Raton,FL,33434,125000,1,1.5,,715,,1980,,175,,,,,https://www.redfin.com/FL/Boca-Raton/293-Fanshaw-G-33434/home/42244482,,,N,Y,26.3845989,-80.1747395
PAST SALE,,Condo/Co-op,2545 S Ocean Blvd #4040,Palm Beach,FL,33480,100000,1,1.0,,638,,1970,,157,,,,,https://www.redfin.com/FL/Palm-Beach/2545-S-Ocean-Blvd-33480/unit-4040/home/42437973,,,N,Y,26.6277254,-80.0381261
PAST SALE,,Condo/Co-op,600 Village Green Ct #308,Palm Springs,FL,33461,137800,2,1.5,,825,,1977,,167,,,,,https://www.redfin.com/FL/Palm-Springs/600-Village-Green-Ct-33461/unit-308/home/42479642,,,N,Y,26.6424657,-80.1056483
PAST SALE,,Condo/Co-op,3 Garden St Unit 106K,Tequesta,FL,33469,257000,2,2.0,,910,,1970,,282,,,,,https://www.redfin.com/FL/Tequesta/3-Garden-St-33469/unit-106K/home/42472011,,,N,Y,26.9608989,-80.0974732
PAST SALE,,Condo/Co-op,2400 NE 1st Ln #4070,Boynton Beach,FL,33435,135000,1,1.5,,758,,1978,,178,,,,,https://www.redfin.com/FL/Boynton-Beach/2400-NE-1st-Ln-33435/unit-4070/home/42636627,,,N,Y,26.5516204,-80.0661087
