SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-8-2023,Condo/Co-op,616 Clearwater Park Rd #1113,West Palm Beach,FL,33401,335000,2,2.0,Montecito Palm Beach Condo,1180,,2003,,284,993,Sold,,,https://www.redfin.com/FL/West-Palm-Beach/616-Clearwater-Park-Rd-33401/unit-1113/home/42601907,Beaches MLS,RX-10911554,N,Y,26.7085123,-80.0628662
PAST SALE,August-7-2023,Condo/Co-op,336 Golfview Rd #505,North Palm Beach,FL,33408,390000,2,2.0,Gemini Condo,1143,,1975,,341,967,Sold,,,https://www.redfin.com/FL/North-Palm-Beach/336-Golfview-Rd-33408/unit-505/home/42472859,Beaches MLS,RX-10899518,N,Y,26.8341091,-80.0617434
PAST SALE,August-23-2023,Condo/Co-op,21726 Arriba Real Unit C,Boca Raton,FL,33433,348900,2,2.0,Glades OF Boca Lago Condo,1216,,1979,,287,611,Sold,,,https://www.redfin.com/FL/Boca-Raton/21726-Arriba-Real-33433/unit-C/home/42253792,Beaches MLS,RX-10896286,N,Y,26.3503602,-80.1820576
PAST SALE,,Condo/Co-op,122 Legendary Cir,Palm Beach Gardens,FL,33418,700000,3,2.0,,1912,,1989,,366,,,,,https://www.redfin.com/FL/Palm-Beach-Gardens/122-Legendary-Cir-33418/home/42445886,,,N,Y,26.829084,-80.150676
PAST SALE,July-12-2023,Condo/Co-op,3040 Lake Shore Dr #302,Riviera Beach,FL,33404,385000,2,2.0,Lake Harbor Cove Condo,1440,,1978,,267,1108,Sold,,,https://www.redfin.com/FL/Riviera-Beach/3040-Lake-Shore-Dr-33404/unit-302/home/42462107,Beaches MLS,RX-10892897,N,Y,26.787431,-80.051028
PAST SALE,July-27-2023,Condo/Co-op,16 Via De Casas Sur #204,Boynton Beach,FL,33426,245000,2,2.0,South Lake Condo at Dos Lagos,1054,,1989,,232,661,Sold,,,https://www.redfin.com/FL/Boynton-Beach/16-Via-de-Casas-Sur-33426/unit-204/home/42343612,Beaches MLS,RX-10895726,N,Y,26.5504175,-80.0893284
PAST SALE,August-1-2023,Condo/Co-op,1205 Crystal Way Unit D,Delray Beach,FL,33444,230000,1,1.0,Bahia AT Delray Condo,560,,1989,,411,318,Sold,,,https://www.redfin.com/FL/Delray-Beach/1205-Crystal-Way-33444/unit-D/home/42606739,Beaches MLS,RX-10894437,N,Y,26.4305169,-80.0861863
PAST SALE,September-28-2023,Condo/Co-op,2909 S Ocean Blvd Unit 5D3,Highland Beach,FL,33487,1775000,3,3.0,Wiltshire House,1972,,1974,,900,3167,Sold,,,https://www.redfin.com/FL/Highland-Beach/2909-S-Ocean-Blvd-33487/unit-5D3/home/42387455,Beaches MLS,F10402351,N,Y,26.422678,-80.0633425
PAST SALE,August-30-2023,Condo/Co-op,3740 S Ocean Blvd #1808,Highland Beach,FL,33487,4000000,3,3.5,Toscana South,2842,,2004,,1407,2376,Sold,,,https://www.redfin.com/FL/Highland-Beach/3740-S-Ocean-Blvd-33487/unit-1808/home/42581538,Beaches MLS,RX-10915807,N,Y,26.4075528,-80.0656722
PAST SALE,July-14-2023,Condo/Co-op,34 Colonial Club Dr #100,Boynton Beach,FL,33435,200000,2,2.0,Colonial Club Condo Sec 1,1200,365,1974,,167,796,Sold,,,https://www.redfin.com/FL/Boynton-Beach/34-Colonial-Club-Dr-33435/unit-100/home/42348245,Beaches MLS,RX-10902435,N,Y,26.5008248,-80.0599754
