,DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Address_full,total_violations,active_violations,ecb_violations,acrive_ecb_violations
0,2028476-DCA,Business,05/28/2020,QUIK PARK 801 GARAGE LLC,0,801,AMSTERDAM AVE,0,NEW YORK,NY,10025,212-222-3289,Manhattan,1.0,801 AMSTERDAM AVE,0.0,0.0,0.0,0.0
1,0965331-DCA,Business,07/06/2018,SP PLUS CORPORATION,0,20990,23RD AVE,0,BAYSIDE,NY,11360,2126954568,Queens,4.0,20990 23RD AVE,0.0,0.0,0.0,0.0
2,2029261-DCA,Business,03/31/2023,QB 71ST AVENUE PARKING LLC,ALL COUNTS PARKING,10820,71ST AVE,0,FOREST HILLS,NY,11375,7187865555,Queens,4.0,10820 71ST AVE,0.0,0.0,0.0,0.0
3,2095757-DCA,Business,03/31/2021,3718 HENRY HUDSON PARKING LLC,NAGLE PARKING,3718,HENRY HUDSON PKWY,0,BRONX,NY,10463,3473204333,Bronx,2.0,3718 HENRY HUDSON PKWY,0.0,0.0,0.0,0.0
4,1446388-DCA,Business,03/31/2017,"BOGOPA LIC, INC.",FOOD BAZAAR,4202,NORTHERN BLVD,0,LONG IS CITY,NY,11101,718-346-6500,Queens,4.0,4202 NORTHERN BLVD,0.0,0.0,0.0,0.0
5,2083257-DCA,Business,03/31/2021,"ONE PARKING 703, INC.",0,21010,23RD AVE,0,BAYSIDE,NY,11360,5618337222,Queens,4.0,21010 23RD AVE,0.0,0.0,0.0,0.0
6,1306493-DCA,Business,03/31/2021,69 ENTERPRISE PARKING LLC,0,219,E 69TH ST,0,NEW YORK,NY,10021,2126270012,Manhattan,1.0,219 E 69TH ST,0.0,0.0,0.0,0.0
7,2083256-DCA,Business,03/31/2021,"ONE PARKING 703, INC.",0,209-90,23RD AVE,0,Bayside,NY,11360,5618337222,Queens,4.0,209-90 23RD AVE,0.0,0.0,0.0,0.0
8,2096588-DCA,Business,01/10/2022,PARKING SYSTEMS PLUS INC,0,4025,82ND ST,0,ELMHURST,NY,11373,8009441424,Queens,4.0,4025 82ND ST,0.0,0.0,0.0,0.0
9,2067122-DCA,Business,08/01/2020,"BATTERY 17 PARKING, LLC",0,17,BATTERY PL,0,NEW YORK,NY,10004,646-773-4400,Manhattan,1.0,17 BATTERY PL,71.0,1.0,1.0,0.0
10,2103419-DCA,Business,04/25/2022,LAZ PARKING NEW YORK/NEW JERSEY LLC,0,25,COLUMBIA HEIGHTS,0,BROOKLYN,NY,11201,7184042575,Brooklyn,3.0,25 COLUMBIA HEIGHTS,0.0,0.0,13.0,0.0
11,2105250-DCA,Business,07/17/2022,EVERYTHING PARKING INC,Park Inc,2201,NOSTRAND AVE,0,BROOKLYN,NY,11210,7043771755,Brooklyn,3.0,2201 NOSTRAND AVE,0.0,0.0,0.0,0.0
12,1217500-DCA,Business,12/22/2019,220 RIVERSIDE PARKING LLC,0,220,RIVERSIDE BLVD,0,NEW YORK,NY,10069,2126869800,Manhattan,1.0,220 RIVERSIDE BLVD,0.0,0.0,0.0,0.0
13,2101983-DCA,Business,04/27/2022,786 PARKING 1 CORP,0,747,CONCOURSE VLG W,0,BRONX,NY,10451,7186180276,Bronx,2.0,747 CONCOURSE VLG W,0.0,0.0,0.0,0.0
14,2081072-DCA,Business,03/31/2021,880 FIFTH PARKING LLC,0,880,5TH AVE,0,NEW YORK,NY,10021,0,Manhattan,1.0,880 5TH AVE,0.0,0.0,0.0,0.0
15,1204520-DCA,Business,03/31/2021,MANHATTAN PARKING EAST 34TH STREET CORP.,0,333,E 34TH ST,0,NEW YORK,NY,10016,2126862508,Manhattan,1.0,333 E 34TH ST,0.0,0.0,0.0,0.0
16,1455450-DCA,Business,09/24/2014,"LAZ PARKING NEW YORK/NEW JERSEY, LLC","LAZ PARKING NY/NJ, LLC",8914,PARSONS BLVD,0,JAMAICA,NY,11432,8605227641,Queens,4.0,8914 PARSONS BLVD,0.0,0.0,0.0,0.0
17,2097174-DCA,Business,04/24/2022,1 EZ PARK CORP,0,6298,WOODHAVEN BLVD,0,MIDDLE VILLAGE,NY,11379,9298017013,Queens,4.0,6298 WOODHAVEN BLVD,0.0,0.0,0.0,0.0
18,2068797-DCA,Business,11/23/2020,MODA CAR PARK LLC,0,8914,PARSONS BLVD,0,JAMAICA,NY,11432,212-996-6363 EXT.214,Queens,4.0,8914 PARSONS BLVD,0.0,0.0,0.0,0.0
19,1232463-DCA,Business,03/31/2021,LAFAYETTE PLACE PARKING LLC,0,445,LAFAYETTE ST,0,NEW YORK,NY,10003,2127771659,Manhattan,1.0,445 LAFAYETTE ST,0.0,0.0,0.0,0.0
20,2068603-DCA,Business,0,2211 3RD AVE PARKING LLC,0,2211,3RD AVE,0,NEW YORK,NY,10035,347-589-4139,Manhattan,1.0,2211 3RD AVE,0.0,0.0,0.0,0.0
21,2089165-DCA,Business,03/31/2025,ZANDER GARAGE LLC,0,301,ELIZABETH ST,0,NEW YORK,NY,10012,646-964-4323,Manhattan,1.0,301 ELIZABETH ST,0.0,0.0,0.0,0.0
22,2110270-DCA,Business,03/31/2025,3050 MP PARKING INC,0,3050,CORLEAR AVE,0,BRONX,NY,10463,7185817841,Bronx,2.0,3050 CORLEAR AVE,0.0,0.0,0.0,0.0
23,2003723-DCA,Business,03/31/2023,BK PARKING GROUP INC.,0,4566,BROADWAY,0,NEW YORK,NY,10040,917-327-7488,Manhattan,1.0,4566 BROADWAY,0.0,0.0,0.0,0.0
24,2103992-DCA,Business,03/06/2022,CORAL CAR PARK LLC,0,525,WEST 122ND ST,0,NEW YORK,NY,10027,212-996-6363,Manhattan,1.0,525 WEST 122ND ST,0.0,0.0,0.0,0.0
25,1382731-DCA,Business,03/31/2025,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",0,56-80,GREENWICH ST,0,NEW YORK,NY,10006,8605227641,Manhattan,1.0,56-80 GREENWICH ST,0.0,0.0,0.0,0.0
26,2105671-DCA,Business,07/28/2022,Propark America New York LLC,Propark Mobility,155,Richmond Terrace,0,Staten Island,NY,10301,9144786300,Staten Island,5.0,155 Richmond Terrace,0.0,0.0,0.0,0.0
27,1209498-DCA,Business,03/31/2023,CHAMPION PARKING 36 LLC,0,30,PARK AVE,0,NEW YORK,NY,10016,2123085959,Manhattan,1.0,30 PARK AVE,0.0,0.0,0.0,0.0
28,2079187-DCA,Business,03/31/2021,BROOKLYN PARKING LLC,0,741,61ST ST,0,BROOKLYN,NY,11220,2123085959,Brooklyn,3.0,741 61ST ST,0.0,0.0,0.0,0.0
29,2078630-DCA,Business,03/31/2021,"IMPERIAL PARKING (U.S.), LLC",IMPARK,330,E 75TH ST,0,NEW YORK,NY,10021,212-937-8660,Manhattan,1.0,330 E 75TH ST,0.0,0.0,0.0,0.0
30,2057853-DCA,Business,03/31/2025,255 SCHERMERHORN STREET PARKING CORP.,0,33,BOND ST,0,BROOKLYN,NY,11201,2127367171,Brooklyn,3.0,33 BOND ST,0.0,0.0,0.0,0.0
31,1151777-DCA,Business,03/31/2025,"BROOK PARKING GARAGE, INC.",0,418,E 167TH ST,0,BRONX,NY,10456,7185888328,Bronx,2.0,418 E 167TH ST,0.0,0.0,0.0,0.0
32,0368822-DCA,Business,03/31/2021,OMNI PARKING LLC,0,143,W 68TH ST,0,NEW YORK,NY,10023,2126869800,Manhattan,1.0,143 W 68TH ST,0.0,0.0,0.0,0.0
33,0367613-DCA,Business,03/31/2025,THE BERGER'S PARKING CORPORATION,196 GARAGE,196,E 75TH ST,0,NEW YORK,NY,10021,2125358291,Manhattan,1.0,196 E 75TH ST,0.0,0.0,0.0,0.0
34,2054279-DCA,Business,06/13/2017,"87-10 NORTHERN BLVD PARKING, LLC",0,3306,88TH ST,0,JACKSON HEIGHTS,NY,11372,7184246555,Queens,4.0,3306 88TH ST,0.0,0.0,0.0,0.0
35,1022575-DCA,Business,03/31/2023,"101 CAR PARK, LLC",0,101,W 23RD ST,0,NEW YORK,NY,10011,2122216111,Manhattan,1.0,101 W 23RD ST,0.0,0.0,0.0,0.0
36,2038250-DCA,Business,03/31/2021,"87-10 NORTHERN BLVD PARKING, LLC",0,3306,88TH ST,0,JACKSON HEIGHTS,NY,11372,7184246555,Queens,4.0,3306 88TH ST,0.0,0.0,0.0,0.0
37,2089751-DCA,Business,03/31/2023,J P PARKING II CORP,0,4501,BROADWAY,0,NEW YORK,NY,10040,2018000358,Manhattan,1.0,4501 BROADWAY,10.0,6.0,1.0,1.0
