,Unnamed: 0,DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Address_full,total_violations,active_violations,ecb_violations,acrive_ecb_violations,geo_address,geocoded,lat,lon
0,0,2028476-DCA,Business,05/28/2020,QUIK PARK 801 GARAGE LLC,0,801,AMSTERDAM AVE,0,NEW YORK,NY,10025,212-222-3289,Manhattan,1.0,801 AMSTERDAM AVE,0.0,0.0,0.0,0.0,801 AMSTERDAM AVE NY 10025,"(40.7959946, -73.9686316)",40.7959946,-73.9686316
1,1,0965331-DCA,Business,07/06/2018,SP PLUS CORPORATION,0,20990,23RD AVE,0,BAYSIDE,NY,11360,2126954568,Queens,4.0,20990 23RD AVE,0.0,0.0,0.0,0.0,20990 23RD AVE NY 11360,"(40.77841069999999, -73.78104789999999)",40.77841069999999,-73.78104789999999
2,2,2029261-DCA,Business,03/31/2023,QB 71ST AVENUE PARKING LLC,ALL COUNTS PARKING,10820,71ST AVE,0,FOREST HILLS,NY,11375,7187865555,Queens,4.0,10820 71ST AVE,0.0,0.0,0.0,0.0,10820 71ST AVE NY 11375,"(40.7216444, -73.84287119999999)",40.7216444,-73.84287119999999
3,3,2095757-DCA,Business,03/31/2021,3718 HENRY HUDSON PARKING LLC,NAGLE PARKING,3718,HENRY HUDSON PKWY,0,BRONX,NY,10463,3473204333,Bronx,2.0,3718 HENRY HUDSON PKWY,0.0,0.0,0.0,0.0,3718 HENRY HUDSON PKWY NY 10463,"(40.8882613, -73.9100234)",40.8882613,-73.9100234
4,4,1446388-DCA,Business,03/31/2017,"BOGOPA LIC, INC.",FOOD BAZAAR,4202,NORTHERN BLVD,0,LONG IS CITY,NY,11101,718-346-6500,Queens,4.0,4202 NORTHERN BLVD,0.0,0.0,0.0,0.0,4202 NORTHERN BLVD NY 11101,"(40.7521249, -73.921528)",40.7521249,-73.921528
5,5,2083257-DCA,Business,03/31/2021,"ONE PARKING 703, INC.",0,21010,23RD AVE,0,BAYSIDE,NY,11360,5618337222,Queens,4.0,21010 23RD AVE,0.0,0.0,0.0,0.0,21010 23RD AVE NY 11360,"(40.7809776, -73.7786418)",40.7809776,-73.7786418
6,6,1306493-DCA,Business,03/31/2021,69 ENTERPRISE PARKING LLC,0,219,E 69TH ST,0,NEW YORK,NY,10021,2126270012,Manhattan,1.0,219 E 69TH ST,0.0,0.0,0.0,0.0,219 E 69TH ST NY 10021,"(40.7674236, -73.9607108)",40.7674236,-73.9607108
7,7,2083256-DCA,Business,03/31/2021,"ONE PARKING 703, INC.",0,209-90,23RD AVE,0,Bayside,NY,11360,5618337222,Queens,4.0,209-90 23RD AVE,0.0,0.0,0.0,0.0,209-90 23RD AVE NY 11360,"(40.77841069999999, -73.78104789999999)",40.77841069999999,-73.78104789999999
8,8,2096588-DCA,Business,01/10/2022,PARKING SYSTEMS PLUS INC,0,4025,82ND ST,0,ELMHURST,NY,11373,8009441424,Queens,4.0,4025 82ND ST,0.0,0.0,0.0,0.0,4025 82ND ST NY 11373,"(40.7467761, -73.883651)",40.7467761,-73.883651
9,9,2067122-DCA,Business,08/01/2020,"BATTERY 17 PARKING, LLC",0,17,BATTERY PL,0,NEW YORK,NY,10004,646-773-4400,Manhattan,1.0,17 BATTERY PL,71.0,1.0,1.0,0.0,17 BATTERY PL NY 10004,"(40.70559799999999, -74.01581929999999)",40.70559799999999,-74.01581929999999
