Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Shape,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,Fix It Zones as of 2018-02-07,Neighborhoods
M230001,1000 Block Of Vicente  Street,San Francisco,CA,94116,1/3/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,"(37.73920663172813, -122.47810913777269)",POINT (-122.47811 37.73921),40,10,7,35,35,8,3,1,29491,,,1,,,40
M230002,1000 Block Of Vicente  Street,San Francisco,CA,94116,1/3/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,"(37.73920663172813, -122.47810913777269)",POINT (-122.47811 37.73921),40,10,7,35,35,8,3,1,29491,,,1,,,40
M230003,2900 Block Of California  Street,San Francisco,CA,94115,1/4/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,Pacific Heights,"(37.787751394138134, -122.44293139596056)",POINT (-122.44293 37.78775),102,8,6,30,27,6,1,13,29490,,,1,,,103
M230004,500 Block Of Octavia  Street,San Francisco,CA,94102,1/4/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Hayes Valley,"(37.77688951562886, -122.42466690896983)",POINT (-122.42467 37.77689),22,4,11,9,10,9,11,7,28852,,,1,,,22
M230005,0 Block Of Dolores  Street,San Francisco,CA,94103,1/5/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,Castro/Upper Market,"(37.76844458110164, -122.42683587861963)",POINT (-122.426834 37.768444),37,3,5,5,3,4,5,8,28862,9,,1,,,37
M230006,0 Block Of Juanita  Way,San Francisco,CA,94127,1/6/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,West of Twin Peaks,"(37.743639807823214, -122.45305987457378)",POINT (-122.45306 37.74364),72,9,8,41,40,7,4,9,59,,,1,,,72
M230007,1000 Block Of South Van Ness  Avenue,San Francisco,CA,94110,1/6/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,Mission,"(37.75636746090073, -122.41664311776752)",POINT (-122.41664 37.756367),53,3,2,20,19,4,7,2,28859,,,2,,,53
M230008,700 Block Of Ellis  Street,San Francisco,CA,94109,1/6/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78413242943735, -122.41853546025469)",POINT (-122.41853 37.784134),20,5,10,36,36,9,9,7,28858,,1,2,1,,20
M230009,400 Block Of Eddy  Street,San Francisco,CA,94102,1/9/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,,POINT (-122.41508 37.783627),,,,,,,,,,,,,,,20
M230010,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230012,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230014,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230015,0 Block Of Jones  Street,San Francisco,CA,94102,3/8/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78160461376042, -122.41212240559267)",POINT (-122.412125 37.781605),20,5,10,36,36,10,9,7,28852,6,1,2,1,18,20
M230016,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230018,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230041,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230042,0 Block Of Jones  Street,San Francisco,CA,94102,3/8/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78160461376042, -122.41212240559267)",POINT (-122.412125 37.781605),20,5,10,36,36,10,9,7,28852,6,1,2,1,18,20
M230043,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230044,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230045,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230046,0 Block Of Jones  Street,San Francisco,CA,94102,3/8/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78160461376042, -122.41212240559267)",POINT (-122.412125 37.781605),20,5,10,36,36,10,9,7,28852,6,1,2,1,18,20
M230047,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
