Landlord/Developer,Date filed ,Address/Location ,Unpaid Debt,Lender,Status,More information (for person use),Link ,Caption for map,Map coordinates,,,Exact dates
"Aby Rosen, RFR Realty","Jan. 30, 2024","318-334 Lincoln Road, Miami Beach ","Per the complaint, the total loan issued in 2019 was $17M but the amount owed as of the filing of the foreclosure was $15.1M, plus interest. ",Wilmington Trust ,,"This is a one-story retail building. This was filed in Miami-Dade Circuit Court. As of February, the property is half empty. Wilmington also claimed Rosen and Michael Fuchs personally guaranteed the loan, meaning they are on the hook for $5.3M after their alleged debt default. ",https://therealdeal.com/miami/2024/02/07/aby-rosens-lincoln-road-building-facing-foreclosure/,"Surely, Lincoln Road –– Miami Beach's famous pedestrian promenade –– should be safe from debt woes due to being home to high-end retailers and restaurants. Except not quite. New York developer Aby Rosen's RFR Realty was hit with a $15.1 million foreclosure over the nearly 23,000-square-foot retail building on Lincoln Road. ","25.790397795552973, -80.13127204257658",,,"Jan. 30, 2024"
R&B Realty,March 2024,"Gateway at Wynwood at 2916 North Miami Avenue in Miami. And also a small retail building across the street at 2830 North Miami Avenue, also owned by R&B Realty. 
",,"Wilmington Trust NA, as trustee for Boise-based A10 Capital.","In May, a judge sided with the lender and ordered a $111.9M final judgment and an online foreclosure auction on July 2. According to the foreclosure lawsuit, A10 Capital in February 2023 provided two loans for a combined $113M, one for $109.7M and the other for $3.3M. The smaller debt for $3.3M is for the small retail building at 2830 North Miami Avenue.

","Suit was filed in Miami-Dade Circuit Court. R&B Realty first defaulted by not paying what's due in December. The landlord kept defaulting on subsequent monthly payments, and owed, as of the filing of the suit, $98.7M on the Gateway at Wynwood note and $3M on the small retail building not. In response to the filing, R&B denied the default allegations. ",https://therealdeal.com/miami/2024/03/22/rb-realtys-gateway-at-wynwood-hit-with-foreclosure-lawsuit/.       https://therealdeal.com/miami/2024/06/04/foreclosure-sale-set-for-rb-realtys-gateway-at-wynwood/,"This is the biggest judicial foreclosure suit filed over the past year in South Florida. New York-based R&B Realty completed the Gateway at Wynwood in 2021 with high hopes that the office building would be a magnet for tech and other companies migrating to Miami's Wynwood. Though it scored some leases, the lender claims R&B defaulted on an over $100 million mortgage. In May, a judge issued a final judgment of foreclosure, saying R&B is on the hook for $111.9 million. The public sale is scheduled for July 2. ","25.804514704712382, -80.19551988719157",,,3/19/2024
"Gomez Development Group, led by Marlon Gomez",March 2024,This is a 1.6-acre development site planned for a seven-story medical office building at 21291 Northeast 28th Avenue in Aventura. ,,"Rok Lending, led by the Rok family ",,"In a response to TRD shortly after the foreclosure was filed, Marlon Gomez said his firm has found a private lender to refinance. Gomez Development took out a $15M loan from Rok Lending. At some point, Rok Lending assigned its rights in the mortgage to Banesco, though Rok Lending retained the right to foreclose on the mortgage if it needed to. The complaint says Gomez Development failed to make monthly payments from July 2023 to January this year. At the time the complaint was filed in March, Rok Lending alleged Gomez Development owed $16.6M, including late fees and default interest. In its May court response, Gomz Development said that the amounts allegedly owed are inaccurate, including the default interest, the Octobert late fee and the exit fee. The amount owed, if any, is less andGomez Development calls for accounting to determine what is owed. Gomez Development also wrote that Rok Lending ""knows that any action taken in regard to a foreclosure will prevent the refinancing, obtaining a construction loan and/or otherwise prevent the sale of the property and increase damages."" Rok Lending ""acquiesced in forbearing its remedies and otherwise modifying the terms of the loan. Further, by pursuing these remedies, Plaintiff is chilling any marketing efforts by Property Owner to sell the Property and make the Plaintiff whole."" Also, at some point after the alleged default, Rok Lending accepted partial payments. Gomez Development says the note was accelerated. Rok Lending does not specify the timeframe when default interest started to accrue and also the two sides had been in discussions for a modification. The amount owed is miscalculated. Another entity, Aventura Medical Center LLC, led by Carlos Miguel Cadet, that says it was partnering with Gomez Development but Gomez took out the Rok Lending loan with Cadet's consent now wants to sue both Rok Lending and Gomez Development.",https://therealdeal.com/miami/2024/03/20/rok-family-files-foreclosure-suit-against-gomez-development/,"Gomez Development Group allegedly stopped making monthly payments on a $15 million loan tied to this Aventura medical office development site and is on the hook for $16.6 million by now, the lender claimed in court. For its part, Gomez Development has countered that the allegedly owed amounts are inaccurate. The firm says it has lined up a private lender to refinance the debt. ","25.972494160022283, -80.1455096856669",,,"March 13, 2024"
"Coral Way Miami Holdings and V&R Medical Group, both of which tie to Rolando Chirino",April 2024,1395 SW 22nd Street in Miami (office building),$2.8M,Safe Harbor Equity,pending,none,https://www2.vizzda.com/MapView#!/event/832155,This two-story office building on Miami's Coral Way is subject to a $2.8 million foreclosure suit. ,"25.75121111429731, -80.21819739114478",,,"April 16, 2024"
"CGI Merchant Group, led by Raoul Thomas","These are both UCC, or Uniform Commercial Code foreclosures with impending auctions (as of now) in the summer. Likely filed this year. ","Two properties, both Gabriel-branded hotels: One is a seven-story, 132-key Gabriel South Beach at 620, 626, 640 and 650 Ocean Drive in Miami Beach. The other is the Gabriel hotel and commercial common areas such as the spa, as well as restaurant and retail space at the  Marquis luxury condo tower at 1100 Biscayne Boulevard in downtown Miami. ",Not entirely clear,"Deutsche Bank provided a $71.1 million loan for the Gabriel South Beach hotel in 2021, shortly after CGI bought the property. Madison Realty Capital is the lender for the Gabriel hotel at the Marquis condo and the debt was for $7.6 million (I tink this is the outstanding amount). ",,,https://therealdeal.com/miami/2024/05/28/cgi-merchants-miami-dade-gabriel-hotels-head-to-ucc-auctions/,CGI Merchant Group is faced with the possibility of UCC foreclosure auctions of both of its Gabriel-branded hotels in Miami-Dade County: one at the Marquis Residences condo tower in downtown Miami and the other a standalone hotel in South Beach. CGI Merchant says it is in talks with the lenders and does not plan to give up the buildings. ,"25.78511690525148, -80.18998985445502",,,2024
"CGI Merchant Group, led by Raoul Thomas","These are both UCC, or Uniform Commercial Code foreclosures with impending auctions (as of now) in the summer. Likely filed this year. ","Two properties, both Gabriel-branded hotels: One is a seven-story, 132-key Gabriel South Beach at 620, 626, 640 and 650 Ocean Drive in Miami Beach. The other is the Gabriel hotel and commercial common areas such as the spa, as well as restaurant and retail space at the  Marquis luxury condo tower at 1100 Biscayne Boulevard in downtown Miami. ",Not entirely clear,"Deutsche Bank provided a $71.1 million loan for the Gabriel South Beach hotel in 2021, shortly after CGI bought the property. Madison Realty Capital is the lender for the Gabriel hotel at the Marquis condo and the debt was for $7.6 million (I tink this is the outstanding amount). ",,,https://therealdeal.com/miami/2024/05/28/cgi-merchants-miami-dade-gabriel-hotels-head-to-ucc-auctions/,CGI Merchant Group is faced with the possibility of UCC foreclosure auctions of both of its Gabriel-branded hotels in Miami-Dade County: one at the Marquis Residences condo tower in downtown Miami and the other a standalone hotel in South Beach. CGI Merchant says it is in talks with the lenders and does not plan to give up the buildings. ,"25.77652826757985, -80.13181501493186",,,2024
"Orengo Investments LLC, led by Maykel Segui",April 2024,1219-1241 Sharazad Boulevard in Opa-locka,"Almost $4 million, while the original loan was for $3.7 million ",Avatar Financial Group,Pending,,https://www2.vizzda.com/MapView#!/event/832428,"A five-building, 25-unit apartment complex in Opa-locka has allegedly defaulted on a $3.7 million loan, with the foreclosure suit alleging the borrower owes nearly $4 million, inclusive of interest and fees. ","25.905694228864128, -80.24687905704056",,,"April 26, 2024"
"Miami-based H Group Capital, led by Asaf Horesh",,"401 Northeast Second Street in Fort Lauderdale (The borrower wanted to build the 33-storyt, 200-key Selo condo-hotel) I don't think the loan was for construction ",$5.8 million ,Safe Harbor Equity,pending ,none,https://www.bizjournals.com/southflorida/news/2024/01/12/h-group-capital-site-targeted-in-6m-foreclosure.html,"Miami-based H Group Capital, led by Asaf Horesh, had wanted to develop a 33-story, 200-key Selo condo-hotel on this site. In April, the lender filed a foreclosre suit over a $5.8 million balance on the loan for the 0.6-acre site in Fort Lauderdale. Horesh told The Real Deal he and the lender have reached an agreement under which Horesh will keep the site. The lender's attorney says the borrower was allowed more time to pay. Both declined to provide more details. ","26.12458381163461, -80.1395639434776",,,"Jan. 9, 2024"
Entity tied to Wells Real Estate Investment,February 2024,Bank of America Financial Center at 3661 West Oakland Park Boulevard in Lauderdale Lakes. ,$7.2M ,Best Meridian Insurance Company ,,,https://therealdeal.com/miami/2024/02/23/best-meridian-seeks-to-foreclose-on-south-florida-buildings/,"The three-story Bank of America Financial Center in Lauderdale Lakes is subject to a foreclosure suit over a $7.2 million balance on the loan. Despite ongoing hype over South Florida's office market health due to an influx of tenants and rent increases in the past four years, experts say office real estate is the most at-risk asset class amid elevated interest rates, remote work and lenders' skittishness to refinance office loans.  ","26.16588863579914, -80.19878433189228",,,"Feb. 13, 2024"
Entities tracing to Soimiro Fernandez,May 2024,1750 Jefferson Avenue in Miami Beach (This consists of a 57-unit multifamily portfolio across five apartment buildings and two houses),$2M,Pimlico Capital,pending ,none,https://www2.vizzda.com/MapView#!/event/832799,"South Beach apartment buildings should have been safe from alleged debt woes. Leasing for years has been fueled by demand from the neigborhood's hospitality workforce and South Florida as a whole experienced a multifamily boom in the past four years. Yet, a 57-unit apartment portfolio across Miami-Dade, including in South Beach, is the subject of a $2 million foreclosure suit.","25.793126552887006, -80.13820793390244",,,"May 10, 2024"
