Amount,Project,Developers_borrowers,Lenders,Property type,Date loan closed,Address ,County ,story_link
"$269,000,000.00",Nautilus 220,"Forest Development, Royal Palm",Fortress Investment Group,Condo,7/1/2022,220 Lake Shore Drive in Lake Park,Palm Beach,https://therealdeal.com/miami/2022/07/01/forest-development-royal-palm-nab-269m-condo-construction-loan/
"$242,000,000.00",Aman Miami Beach,"Len Blavatnik, Vlad Doronin",Bank OZK,"Condo, hotel",1/10/2023,3425 Collins Avenue in Miami Beach,Miami-Dade,https://therealdeal.com/miami/2023/01/10/vlad-doronin-len-blavatnik-score-242m-construction-loan-for-aman-miami-beach/
"$240,000,000.00",Selene Oceanfront Residences,Kolter Urban,Wells Fargo,Condo,12/22/2022,3000 Alhambra Street in Fort Lauderdale,Broward,https://therealdeal.com/miami/2022/12/22/kolter-nabs-240m-construction-loan-for-fort-lauderdale-condo-towers/
"$224,000,000.00",Nema Miami ,Crescent Heights,Blackstone,"Multifamily, retail",4/1/2022,2900 Biscayne Boulevard in Miami,Miami-Dade,https://therealdeal.com/miami/2022/04/01/russell-galbuts-crescent-heights-scores-224m-loan-for-whole-foods-anchored-edgewater-project/
"$215,000,000.00",Wynwood Plaza,"L&L Holding Company, Oak Row Equities, et al",Bank OZK,"Office, multifamily, retail",1/20/2023,95 Northwest 29th Street in Miami,Miami-Dade,https://therealdeal.com/miami/2023/01/20/wynwood-plaza-project-scores-215m-construction-loan/
"$195,000,000.00",Namdar Towers,Namdar Group,Scale Lending,Multifamily,8/25/2022,222 Northeast First Avenue in Miami,Miami-Dade,https://therealdeal.com/miami/2022/08/25/namdar-nabs-195m-loan-for-downtown-miami-apartment-towers/
"$164,000,000.00",444 Brickell Tower II,Related Group,Truist Bank,Multifamily,1/4/2023,77 Southeast Fifth Street in Miami ,Miami-Dade,https://therealdeal.com/miami/2023/01/04/related-scores-164m-construction-loan-for-brickell-apartment-tower/
"$154,000,000.00","Bridge Point Commerce Center, phase two",Bridge Industrial,Canadian Imperial Bank of Commerce,Industrial,4/29/2022,4310 Northwest 215 Street in Miami Gardens,Miami-Dade,https://therealdeal.com/miami/2022/04/29/bridge-industrial-nabs-154m-construction-loan-for-miami-gardens-project/
"$149,000,000.00",E11even Hotel & Residences,"PMG, E11even Partners ",Starwood Property Trust,Condo,2/3/2022,"1025 North Miami Avenue, 20 and 30 Northeast 11th Street",Miami-Dade,https://therealdeal.com/miami/2022/02/03/pmg-e11even-partners-score-149m-construction-loan-for-downtown-miami-condo-development/
"$148,000,000.00",Metro Parc,"MG Developer, Baron Property Group",Post Road Group,Multifamily ,9/23/2022,955 East 25th Street and 980 East 26th Street in Hialeah,Miami-Dade,https://therealdeal.com/miami/2022/09/23/mg-developer-partner-score-148m-loan-for-hialeah-apartments/
