type,price_per_month,address,Listing agent ,On Market,,,links used:
For Rent - House,"$350,000","190 Palm Ave, Miami Beach, FL 33139",Maria Tartaglia with Tartaglia International Realty LLC,confirmed,(doesn't seem real),,https://www.realtor.com/apartments/Miami-Dade-County_FL/luxury
For Rent - House,"$350,000","5718 North Bay Road, Miami Beach, FL 33140",David Hunt Solomon with BHHS EWM Realty,294 days/confirmed,"listed for $500K/month, 4/22/22",,https://www.realtor.com/apartments/Palm-Beach-County_FL/luxury
For Rent - House,"$350,000","3905 Gem Twist Ct, Wellington, FL 33414","Laurie Elliot, Illustrated Properties",confirmed,,,
For Rent - House,"$325,000","27 Star Island Drive, Miami Beach, FL 33139",Alyssa Jansheski with The Inside Network,confirmed ,listed for $77M,,https://www.realtor.com/apartments/Broward-County_FL/luxury
For Rent - House,"$300,000","28 West Dilido Drive, Miami Beach, FL 33139",Dina Goldentayer with Douglas Elliman,confirmed ,,,
For Rent - House,"$250,000","529 Bontona Avenue, Fort Lauderdale, FL 33301",Julie Jones Douglas Elliman,confirmed,,,
For Rent - House,"$250,000","158 Palm Avenue, Miami Beach, FL 33139",Lourdes Alatriste with Douglas Elliman,confirmed,also listed for $39.9M ,,
For Rent - House,"$250,000","30 Palm Avenue, Miami Beach, FL 33139",Jill Eber with NRT-Florida,,also listed for $43M,,
For Rent - House,"$250,000","440 South Mashta Drive, Key Biscayne, FL 33149",Gustavo Gambino with Gambino Real Estate Corp.,,(doesn't seem real),,
For Rent - House,"$225,000","317 Ocean Boulevard, Golden Beach, FL 33160",Diane Lieberman with ONE SOTHEBYS INTL. REALTY,confirmed,,,
For Rent - House,"$225,000","2444 B RdLoxahatchee Groves, FL 33470",David Welles Equestrian Sotheby's International Realty,rental listing gone?,also listed for $7.8M,,
For Rent - House,"$216,666","414 Riviera IsleFort Lauderdale, FL 33301",Jason Harris with Jason Harris Real Estate LLC,,,,
For Rent - House,"$212,333","2306 Bay DrPompano Beach, FL 33062",,,,,
For Rent - House,"$200,000","15 E San Marino DrMiami, FL 33139",Eva Garzon Gonzalez with Grand Lion Real Estate Group Llc,,,,
For Rent - House,"$200,000","420 W San Marino DrMiami Beach, FL 33139",Julian Johnston with The Corcoran Group,,,,
For Rent - House,"$175,000","300 W Rivo Alto DrMiami Beach, FL 33139",Dora Puig with Luxe Living Realty - Broker,,,,
For Rent - House,"$165,000","143 E Inlet DrPalm Beach, FL 33480",,,,,
For Rent - House,"$159,000","5201 Pine Tree DrMiami Beach, FL 33140",Christina Stuck with Real Estate Sales Force - Broker,,,,
For Rent - House,"$150,000","216 Palm AveMiami Beach, FL 33139","Alejandro Agudelo with Julies Realty, LLC",,,,
For Rent - House,"$135,000","16 Palm AveMiami Beach, FL 33139","Luis Bosch with Venetian International, Llc.",,,,
For Rent - House,"$128,000","9320 Gallardo StCoral Gables, FL 33156",,,,,
For Rent - Condo,"$125,000","2901 E Collins Ave Unit 1602Miami Beach, FL 33140",,,,,
For Rent - House,"$120,000","170 S IslandGolden Beach, FL 33160",,,,,
For Rent - House,"$110,000","1125 Belle Meade Island DrMiami, FL 33138",,,,,
For Rent - Condo,"$110,000","1000 Biscayne Blvd Ph 52Miami, FL 33132",,,,,
For Rent - Condo,"$100,000","Miami Beach, FL 33139",,,,,
For Rent - House,"$100,000","1137 N Biscayne Point RdMiami Beach, FL 33141",,,,,
For Rent - House,"$100,000","4745 Pine Tree DrMiami Beach, FL 33140",,,,,
For Rent - House,"$90,000","1201 NE 83rd StMiami, FL 33138",,,,,
For Rent - House,"$90,000","2700 N Bay RdMiami Beach, FL 33140",,,,,
For Rent - House,"$90,000","14 W San Marino DrMiami Beach, FL 33139",,,,,
For Rent - Condo,"$80,000","101 20th St Unit 1808Miami Beach, FL 33139",,,,,
For Rent - Condo,"$78,000","9001 Collins Ave Unit S806Surfside, FL 33154",,,,,
For Rent - Condo,"$75,000","1776 Bay DrMiami Beach, FL 33141",,,,,
For Rent - House,"$75,000","1580 S Treasure DrNorth Bay Village, FL 33141",,,,,
For Rent - House,"$75,000","2801 Flamingo DrMiami Beach, FL 33140",,,,,
For Rent - House,"$75,000","Miami, FL 33129",,,,,
