,Project Type,Project Name,Association Name,City,Zip,County,ID,Address,__lat,__lon,__geocode_status
16,CONDOMINIUM,SUMMIT TOWERS CONDO ASSN INC,SUMMIT TOWERS CONDO ASSN INC,HOLLYWOOD,33019-2121,BROWARD,234877,"SUMMIT TOWERS CONDO ASSN INC, HOLLYWOOD, FL 33019-2121",26.0056934,-80.11776139999999,OK
17,CONDOMINIUM,BEVERLY HILLS #2,"BEVERLY HILLS CONDOMINIUM NUMBER TWO, INC.",HOLLYWOOD,33021-7752,BROWARD,235864,"BEVERLY HILLS CONDOMINIUM NUMBER TWO, INC., HOLLYWOOD, FL 33021-7752",26.0007791,-80.1968347,OK
18,CONDOMINIUM,BEVERLY HILLS #10,BEVERLY HILLS #10,HOLLYWOOD,33021-7752,BROWARD,234465,"BEVERLY HILLS #10, HOLLYWOOD, FL 33021-7752",26.0444496,-80.1883938,OK
22,COOPERATIVE,"EVER APRIL APTS., INC.","EVER APRIL APARTMENTS, INC.",POMPANO BEACH,33062-5652,BROWARD,262564,"EVER APRIL APARTMENTS, INC., POMPANO BEACH, FL 33062-5652",26.2314405,-80.0895602,OK
23,CONDOMINIUM,PLAZA AT OCEANSIDE,PLAZA AT OCEANSIDE CONDOMINIUM ASSOCIATION,POMPANO BEACH,33062-5713,BROWARD,235205,"PLAZA AT OCEANSIDE CONDOMINIUM ASSOCIATION, POMPANO BEACH, FL 33062-5713",26.2325308,-80.0915794,OK
25,CONDOMINIUM,"ROCAILLE CONDOMINIUM APARTMENTS ASSOCIATION, INC.","ROCAILLE CONDOMINIUM APARTMENTS ASSOCIATION, INC.",LAUDERDALE-BY-THE-SEA,33062-8004,BROWARD,289396,"ROCAILLE CONDOMINIUM APARTMENTS ASSOCIATION, INC., LAUDERDALE-BY-THE-SEA, FL 33062-8004",26.192028,-80.0964326,OK
26,CONDOMINIUM,NATIVE SUN SIRS,NATIVE SUN CONDOMINIUM ASSN.,LAUDERDALE-BY-THE-SEA,33062-8098,BROWARD,226923,"NATIVE SUN CONDOMINIUM ASSN., LAUDERDALE-BY-THE-SEA, FL 33062-8098",26.192028,-80.0964326,OK
27,CONDOMINIUM,BAYVIEW AT FISHER ISLAND CONDOMINIUM NO THREE ASSOCIATION INC,BAYVIEW AT FISHER ISLAND CONDOMINIUM NO. THREE ASSOCIATION INC,MIAMI BEACH,33109-0247,MIAMI-DADE,240669,"BAYVIEW AT FISHER ISLAND CONDOMINIUM NO. THREE ASSOCIATION INC, MIAMI BEACH, FL 33109-0247",25.7618495,-80.1449518,OK
28,CONDOMINIUM,"THE METROPOLITAN CONDOMINIUM ASSOCIATION, INC","THE METROPOLITAN CONDOMINIUM ASSOCIATION, INC",MIAMI,33129-2479,MIAMI-DADE,222750,"THE METROPOLITAN CONDOMINIUM ASSOCIATION, INC, MIAMI, FL 33129-2479",25.8471331,-80.17883189999999,OK
29,CONDOMINIUM,SIRS,ST. LOUIS CONDOMINIUM ASSOCIATION,MIAMI,33131-2655,MIAMI-DADE,215683,"ST. LOUIS CONDOMINIUM ASSOCIATION, MIAMI, FL 33131-2655",25.7653013,-80.1840996,OK
