,Project Type,Project Name,Association Name,City,Zip,County,ID
16,CONDOMINIUM,SUMMIT TOWERS CONDO ASSN INC,SUMMIT TOWERS CONDO ASSN INC,HOLLYWOOD,33019-2121,BROWARD,234877
17,CONDOMINIUM,BEVERLY HILLS #2,"BEVERLY HILLS CONDOMINIUM NUMBER TWO, INC.",HOLLYWOOD,33021-7752,BROWARD,235864
18,CONDOMINIUM,BEVERLY HILLS #10,BEVERLY HILLS #10,HOLLYWOOD,33021-7752,BROWARD,234465
22,COOPERATIVE,"EVER APRIL APTS., INC.","EVER APRIL APARTMENTS, INC.",POMPANO BEACH,33062-5652,BROWARD,262564
23,CONDOMINIUM,PLAZA AT OCEANSIDE,PLAZA AT OCEANSIDE CONDOMINIUM ASSOCIATION,POMPANO BEACH,33062-5713,BROWARD,235205
25,CONDOMINIUM,"ROCAILLE CONDOMINIUM APARTMENTS ASSOCIATION, INC.","ROCAILLE CONDOMINIUM APARTMENTS ASSOCIATION, INC.",LAUDERDALE-BY-THE-SEA,33062-8004,BROWARD,289396
26,CONDOMINIUM,NATIVE SUN SIRS,NATIVE SUN CONDOMINIUM ASSN.,LAUDERDALE-BY-THE-SEA,33062-8098,BROWARD,226923
27,CONDOMINIUM,BAYVIEW AT FISHER ISLAND CONDOMINIUM NO THREE ASSOCIATION INC,BAYVIEW AT FISHER ISLAND CONDOMINIUM NO. THREE ASSOCIATION INC,MIAMI BEACH,33109-0247,MIAMI-DADE,240669
28,CONDOMINIUM,"THE METROPOLITAN CONDOMINIUM ASSOCIATION, INC","THE METROPOLITAN CONDOMINIUM ASSOCIATION, INC",MIAMI,33129-2479,MIAMI-DADE,222750
29,CONDOMINIUM,SIRS,ST. LOUIS CONDOMINIUM ASSOCIATION,MIAMI,33131-2655,MIAMI-DADE,215683
30,CONDOMINIUM,"THREE TEQUESTA POINT CONDOMINIUM ASSOCIATION, INC.","THREE TEQUESTA POINT CONDOMINIUM ASSOCIATION, INC.",MIAMI,33131-3700,MIAMI-DADE,272382
31,CONDOMINIUM,BAY PARK TOWERS CONDOMINIUM ASSOCIATION INC,BAY PARK TOWERS CONDOMINIUM ASSOCIATION INC,MIAMI,33137-4053,MIAMI-DADE,215380
32,CONDOMINIUM,CARRIAGE HOUSE CONDOMINIUM ASSOCIATION,CARRIAGE HOUSE CONDO ASSN,MIAMI BEACH,33140-2518,MIAMI-DADE,246087
33,CONDOMINIUM,"SEVENTY-SIX TWENTY-SIX BYRON CONDO, A CONDO",7626 BYRON CONDOMINIUM ASSOCIATION,MIAMI BEACH,33141-2334,MIAMI-DADE,292582
34,CONDOMINIUM,AKOYA CONDOMINIUM ASSOCIATION INC.,AKOYA CONDOMINIUM ASSOCIATION INC.,MIAMI BEACH,33141-9620,MIAMI-DADE,238214
35,CONDOMINIUM,AKOYA CONDOMINIUM ASSOCIATION INC.,AKOYA CONDOMINIUM ASSOCIATION INC.,MIAMI BEACH,33141-9620,MIAMI-DADE,240126
36,CONDOMINIUM,MANATEE CONDOMINIUM INC.,MANATEE CONDOMINIUM INC.,SURFSIDE,33154-3006,MIAMI-DADE,245765
37,CONDOMINIUM,MARINA TOWER,"MARINA TOWER TURNBERRY ISLE CONDOMINIUM ASSOCIATION, INC.",AVENTURA,33180-2511,MIAMI-DADE,222942
38,COOPERATIVE,SHORE DRIVE APARTMENTS INC,SHORE DRIVE APARTMENTS INC,FORT LAUDERDALE,33308-6754,BROWARD,233219
39,COOPERATIVE,MARLIN TOWERS,"MARLIN TOWERS, INC",FORT LAUDERDALE,33308-7430,BROWARD,222375
40,CONDOMINIUM,SIRS REPORTING,PLANTATION CONDO ASSOCIATION,FORT LAUDERDALE,33324-7812,BROWARD,240182
41,CONDOMINIUM,THE EDGE CONDO ASSOC,EDGE CONDO ONE,WEST PALM BEACH,33401-5087,PALM BEACH,205199
