,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS
0,17162050160000,73994803,153660763,-79665960,-1.076642639348604,5-91,South Chicago,10 S DEARBORN ST
1,17223220030000,64731240,132239803,-67508563,-1.0429054502895356,5-91,South Chicago,350 E CERMAK RD
2,17103160270000,120603171,161302041,-40698870,-0.3374610274550742,5-91,South Chicago,200 E RANDOLPH ST
3,17161210036002,46647748,87184986,-40537238,-0.8690073955981754,5-91,West Chicago,300 S RIVERSIDE PLZ
4,17161040076002,30071690,65508567,-35436877,-1.178413218545416,5-91,West Chicago,120 S RIVERSIDE PLZ
5,17101370130000,35006321,66408613,-31402292,-0.897046336288809,5-91,North Chicago,401 N MICHIGAN AVE
6,17162270270000,48359712,79556484,-31196772,-0.6450983827198971,5-91,South Chicago,320 S FRANKLIN ST
7,17161030150000,59771005,89780496,-30009491,-0.5020743920902786,5-91,West Chicago,500 W MONROE ST
8,17161040056002,39260167,65492968,-26232801,-0.6681785383134005,5-91,West Chicago,10 S RIVERSIDE PLZ
9,17161300010000,60716206,85416811,-24700605,-0.4068206270991306,7-91,West Chicago,433 W VAN BUREN ST
10,17094560190000,32579287,55744314,-23165027,-0.7110354195289788,5-91,South Chicago,200 W MADISON ST
11,17102150790000,37556764,55775891,-18219127,-0.4851090738275534,5-91,North Chicago,454 N COLUMBUS DR
12,17094120140000,42647995,57682693,-15034698,-0.3525300075654201,5-91,South Chicago,333 W WACKER DR
13,17162140020000,40679387,55597010,-14917623,-0.3667120893439224,5-91,South Chicago,200 S WACKER DR
14,17094560010000,19166738,33941759,-14775021,-0.7708677919007396,5-91,South Chicago,1 N FRANKLIN ST
15,17093260040000,115786102,126498120,-10712018,-0.09251557669676114,5-91,West Chicago,400 W LAKE ST
16,17093060360000,86861559,97289285,-10427726,-0.12004995213129899,5-91,West Chicago,444 W LAKE ST
17,17094260320000,74272346,84626019,-10353673,-0.13940145367159928,5-91,South Chicago,35 W WACKER DR
18,17094170030000,31032887,40847393,-9814506,-0.3162614551459553,5-91,South Chicago,222 N LA SALLE ST
19,17103040190000,40149408,49165143,-9015735,-0.22455461858864778,5-91,South Chicago,205 N MICHIGAN AVE
20,17031050160000,11692851,20592374,-8899523,-0.7611080479859018,3-97,North Chicago,1350 E SCHILLER ST
21,17084110010000,40448722,49317996,-8869274,-0.21927204523297417,5-91,West Chicago,1000 W FULTON ST
22,17161080300000,42124645,50243162,-8118517,-0.19272606332943587,5-91,West Chicago,525 W MONROE ST
23,17102120370000,18500001,26093185,-7593184,-0.4104423561923052,3-97,North Chicago,240 E ILLINOIS ST
