,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS,geo_address,geocoded,lat,lon
0,17162050160000,"73,994,803","153,660,763","-79,665,960",-1.08,5-91,South Chicago,10 S DEARBORN ST,"10 S DEARBORN ST Cook County, IL","(41.88112830000001, -87.6297903)",41.88112830000001,-87.6297903
1,17223220030000,"64,731,240","132,239,803","-67,508,563",-1.04,5-91,South Chicago,350 E CERMAK RD,"350 E CERMAK RD Cook County, IL","(41.8531135, -87.6183281)",41.8531135,-87.6183281
2,17103160270000,"120,603,171","161,302,041","-40,698,870",-0.34,5-91,South Chicago,200 E RANDOLPH ST,"200 E RANDOLPH ST Cook County, IL","(41.884798, -87.62124589999999)",41.884798,-87.62124589999999
3,17161210036002,"46,647,748","87,184,986","-40,537,238",-0.87,5-91,West Chicago,300 S RIVERSIDE PLZ,"300 S RIVERSIDE PLZ Cook County, IL","(41.8775797, -87.6385711)",41.8775797,-87.6385711
4,17161040076002,"30,071,690","65,508,567","-35,436,877",-1.18,5-91,West Chicago,120 S RIVERSIDE PLZ,"120 S RIVERSIDE PLZ Cook County, IL","(41.8800329, -87.63907359999999)",41.8800329,-87.63907359999999
5,17101370130000,"35,006,321","66,408,613","-31,402,292",-0.90,5-91,North Chicago,401 N MICHIGAN AVE,"401 N MICHIGAN AVE Cook County, IL","(41.88955600000001, -87.6230294)",41.88955600000001,-87.6230294
6,17162270270000,"48,359,712","79,556,484","-31,196,772",-0.65,5-91,South Chicago,320 S FRANKLIN ST,"320 S FRANKLIN ST Cook County, IL","(41.8774439, -87.6355694)",41.8774439,-87.6355694
7,17161030150000,"59,771,005","89,780,496","-30,009,491",-0.50,5-91,West Chicago,500 W MONROE ST,"500 W MONROE ST Cook County, IL","(41.8808419, -87.64076949999999)",41.8808419,-87.64076949999999
8,17161040056002,"39,260,167","65,492,968","-26,232,801",-0.67,5-91,West Chicago,10 S RIVERSIDE PLZ,"10 S RIVERSIDE PLZ Cook County, IL","(41.8812538, -87.6391108)",41.8812538,-87.6391108
9,17161300010000,"60,716,206","85,416,811","-24,700,605",-0.41,7-91,West Chicago,433 W VAN BUREN ST,"433 W VAN BUREN ST Cook County, IL","(41.8760154, -87.6386469)",41.8760154,-87.6386469
10,17094560190000,"32,579,287","55,744,314","-23,165,027",-0.71,5-91,South Chicago,200 W MADISON ST,"200 W MADISON ST Cook County, IL","(41.8822634, -87.6344471)",41.8822634,-87.6344471
