Company name,Home city,Category ,Address(es) company expanded into ,"Net size of expansion, in square feet","Direct lease, purchase or sublease?",Sublessor (if sublease),Date TRD wrote about expansion,Link to story
Procept BioRobotics,San Jose,"Office, R&D ","150-160 Baytech Drive, San Jose",About 110K sf ,Direct lease ,,01.06.2022,https://therealdeal.com/sanfrancisco/2022/01/06/redwood-city-robotics-company-leases-158k-sf-for-new-san-jose-hq/
Applied Materials ,Santa Clara,Office,"3333 Scott Boulevard, Santa Clara",246K sf,Sublease ,Hewlett Packard Enterprise ,05.02.2022,https://therealdeal.com/sanfrancisco/2022/05/02/bright-spot-for-santa-clara-office-market-as-applied-materials-subleases-246k-sf-from-hpe/
Graphite Bio ,South San Francisco,"Office, life science","233 East Grand Avenue, South San Francisco",66K sf,Direct lease,,01.27.2022,https://therealdeal.com/sanfrancisco/2022/01/27/gene-editing-firm-signs-85k-sf-lease-to-relocate-expand-south-sf-headquarters/
Iconiq Capital ,San Francisco ,Office,"300 Mission Street, San Francisco",About 43K sf,Sublease ,Autodesk ,06.07.2022,https://therealdeal.com/sanfrancisco/2022/06/07/iconiq-capital-moves-hq-across-sfs-financial-district/
Pure Storage ,Mountain View,Office ,"2555 and 2565 Augustine Drive, Santa Clara",About 80K sf,Sublease,Analog Devices,06.06.2022,https://therealdeal.com/sanfrancisco/2022/06/06/pure-storage-takes-330k-sf-in-santa-clara-sublease/
Waymo ,Mountain View,Office,"690 East Middlefield Road, Mountain View",About 170K sf ,Sublease,Synopsys ,04.28.2022,https://therealdeal.com/sanfrancisco/2022/04/28/waymo-grows-mountain-view-hq-on-170k-sf-office-sublease/
Apple ,Sunnyvale ,Office,"625 and 655 North Mathilda Avenue, Sunnyvale",382.5K sf ,Direct,,06.01.2022,https://therealdeal.com/sanfrancisco/2022/06/01/apple-takes-another-sunnyvale-campus/
Amazon,Seattle,Office,"3075 Olcott Street, Santa Clara",160K sf,Direct,,04.19.2022,https://therealdeal.com/sanfrancisco/2022/04/19/amazon-adds-160k-sf-at-santa-clara-office/
InterVenn Biosciences,South San Francisco,"Office, R&D ","499 Forbes Boulevard, South San Francisco",142K sf,Direct,,05.16.2022,https://therealdeal.com/sanfrancisco/2022/05/16/biotech-startup-takes-entire-spec-development-in-south-sf/
Third Wave Automation,Union City,Industrial,"100 Halcyon Drive, San Leandro",About 137K sf,Sublease,Amazon,04.21.2022,https://therealdeal.com/sanfrancisco/2022/04/21/amazon-offloads-137k-sf-industrial-building-in-san-leandro/
Dependable Highway Express,Los Angeles,Industrial,"200 Halcyon Drive, San Leandro ",About 44K sf,Sublease,Amazon ,04.01.2022,https://therealdeal.com/sanfrancisco/2022/04/01/amazon-finds-taker-for-300k-sf-industrial-sublease-in-east-bay/
Amazon,Seattle,Industrial,"6045 Giant Highway, Richmond",203.5K sf,Direct,,02.14.2022,https://therealdeal.com/sanfrancisco/2022/02/14/amazon-leases-204k-sf-in-pinole-point-commerce-center-in-richmond/
Twitter,San Francisco ,Office,"1355 Market Street, San Francisco",About 80K sf,Direct,,01.19.2022,https://therealdeal.com/sanfrancisco/2022/01/19/twitter-expands-sf-headquarters-even-as-remote-work-rises/
PCC Logistics ,San Leandro,Industrial,"1300 Maritime Street, Oakland",460K sf,Direct,,03.25.2022,https://therealdeal.com/sanfrancisco/2022/03/25/pcc-logistics-leases-460k-sf-from-centerpoint-port-of-oakland/
Eikon Therapeutics ,Hayward,"Office, life science","30 Rollins Road, Millbrae ",213K sf,Direct,,06.17.2022 ,https://therealdeal.com/sanfrancisco/2022/06/17/alexandria-leases-285k-sf-at-new-millbrae-campus-to-eikon-therapeutics/
TireHub,"Dunwoody, Georgia",Industrial,"6345 Coliseum Way, Oakland",60K sf,Direct,,06.27.2022,https://therealdeal.com/sanfrancisco/2022/06/27/supply-chain-troubles-assist-prologis-latest-industrial-lease-in-oakland/?utm_source=internal&utm_medium=widget&utm_campaign=feature_posts
Logitech ,"Lausanne, Switzerland","Office, R&D ","3930 North First Street, San Jose ",About 86K sf,Direct,,06.30.2022,https://therealdeal.com/sanfrancisco/2022/06/30/logitech-lease-ends-six-year-drought-at-assembly-campus-in-sj/
Google Cloud,Sunnyvale ,Office,"510 Townsend Street, San Francisco",300K sf,Sublease,Stripe,07.05.2022,https://therealdeal.com/sanfrancisco/2022/07/05/google-cloud-subleases-300k-sf-in-soma-office-building/
