SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-4-2022,Condo/Co-op,1834 W Armitage Ave #1,Chicago,IL,60622,790000,3,2.5,CHI - Logan Square,2400,,2015,,329,198,Sold,,,https://www.redfin.com/IL/Chicago/1834-W-Armitage-Ave-60622/unit-1/home/167583887,MRED,11620195,N,Y,41.9180527,-87.6741277
PAST SALE,,Condo/Co-op,807 Davis St #1712,Evanston,IL,60201,875000,,,,,,,,,,,,,https://www.redfin.com/IL/Evanston/807-Davis-St-60201/unit-1712/home/26802457,,,N,Y,42.0471435,-87.6825271
PAST SALE,November-10-2022,Condo/Co-op,4872 N Paulina St #1,Chicago,IL,60640,840000,3,3.5,Ravenswood,2785,,1891,,302,351,Sold,,,https://www.redfin.com/IL/Chicago/4872-N-Paulina-St-60640/unit-1/home/13402625,MRED,11609621,N,Y,41.971044,-87.671525
PAST SALE,October-17-2022,Condo/Co-op,723 W Diversey Pkwy Unit 1E,Chicago,IL,60614,510000,2,2.0,CHI - Lincoln Park,1700,,2008,,300,156,Sold,,,https://www.redfin.com/IL/Chicago/723-W-Diversey-Pkwy-60614/unit-1E/home/40367887,MRED,11612065,N,Y,41.9324856,-87.6476071
PAST SALE,October-19-2022,Condo/Co-op,841 W Grace St Unit 2S,Chicago,IL,60613,764900,3,2.0,CHI - Lake View,2000,,2014,,382,255,Sold,,,https://www.redfin.com/IL/Chicago/841-W-Grace-St-60613/unit-2S/home/113097425,MRED,11609932,N,Y,41.9508331,-87.651215
PAST SALE,October-24-2022,Condo/Co-op,844 W Waveland Ave #2,Chicago,IL,60613,690000,3,2.0,CHI - Lake View,1500,,2016,,460,140,Sold,,,https://www.redfin.com/IL/Chicago/844-W-Waveland-Ave-60613/unit-2/home/77443112,MRED,11616173,N,Y,41.9493332,-87.6513587
PAST SALE,November-10-2022,Condo/Co-op,3910 N Fremont St Unit G,Chicago,IL,60613,519000,3,2.0,CHI - Lake View,1623,,1993,,320,150,Sold,,,https://www.redfin.com/IL/Chicago/3910-N-Fremont-St-60613/unit-G/home/13383828,MRED,11624151,N,Y,41.953016,-87.6526835
PAST SALE,,Condo/Co-op,2912 W Lyndale St Unit 1W,Chicago,IL,60647,655000,,,,,,,,,,,,,https://www.redfin.com/IL/Chicago/2912-W-Lyndale-St-60647/unit-1W/home/175636148,,,N,Y,41.9225531,-87.7005158
PAST SALE,,Condo/Co-op,1621 N Humboldt Blvd Unit 1E,Chicago,IL,60647,541000,,,,,,,,,,,,,https://www.redfin.com/IL/Chicago/1621-N-Humboldt-Blvd-60647/unit-1E/home/175636551,,,N,Y,41.9110194,-87.7011963
PAST SALE,,Condo/Co-op,1920 N Maud Ave Unit 1920-A,Chicago,IL,60614,655000,,,,2000,,,,328,,,,,https://www.redfin.com/IL/Chicago/1920-N-Maud-Ave-60614/unit-1920-A/home/13352711,,,N,Y,41.9164051,-87.656013
