URL,Tags
https://therealdeal.com/chicago/2022/12/09/urw-aims-for-100m-repositioning-of-skokie-mall/,"meter,malls,retail market,skokie,suburban chicago,unibail-rodamco-westfield"
https://therealdeal.com/chicago/2022/12/09/single-family-lending-patterns-fuel-chicagos-racial-imbalance/,"meter,housing market,mortgage lending,single-family housing,south side"
https://therealdeal.com/chicago/2022/12/09/northwest-side-factory-turned-into-65m-after-rebuild-from-destructive-fire/,"meter,chicago,hermosa,industrial market,northwest side"
https://therealdeal.com/chicago/2022/12/09/herro-looks-set-to-relist-palmolive-building-condo-with-2m-trim/,"meter,gold coast,housing market,luxury real estate,palmolive building,residential real estate"
https://therealdeal.com/chicago/2022/12/09/arlington-heights-condos-deconverted-for-10m/,"meter,arlington heights,condo deconversions,condo market,multifamily market,suburban chicago"
https://therealdeal.com/chicago/2022/12/08/t2-starts-teardown-of-mount-prospect-fire-police-building-for-six-story-project/,"meter,mount prospect,multifamily market,suburban chicago,t2"
https://therealdeal.com/chicago/2022/12/08/glenview-complex-sells-for-discount-in-rare-multifamily-loss/,"meter,fortress investment group,multifamily market,suburban chicago"
https://therealdeal.com/chicago/2022/12/08/crescent-heights-proposes-west-loops-tallest-tower/,"meter,crescent heights,fulton market,multifamily market,west loop"
https://therealdeal.com/chicago/2022/12/07/pilsen-considering-plans-for-vacant-6-acre-lot/,"meter,affordable housing,lower west side,pilsen"
https://therealdeal.com/chicago/2022/12/07/gold-coast-listing-chops-another-1m-from-price-after-years-on-the-market/,"meter,astor street,gold coast,housing market,luxury real estate"
https://therealdeal.com/chicago/2022/12/07/ex-bear-plans-calls-audible-with-motor-row-redevelopment/,"meter,chicago bears,downtown,historic real estate,motor row"
https://therealdeal.com/chicago/2022/12/07/emerald-empire-buys-pangeas-chicago-portfolio-in-600m-deal/,"meter,breaking,emerald empire,multifamily market,pangea properties,south side"
https://therealdeal.com/chicago/2022/12/07/city-frees-novak-from-stop-work-order-on-90m-portage-park-project/,"meter,novak construction,portage park,six corners"
https://therealdeal.com/chicago/2022/12/06/will-new-board-of-review-commissioners-quell-feud-with-kaegi/,"meter,fritz kaegi,home appraisals"
https://therealdeal.com/chicago/2022/12/06/will-adjacent-lincoln-park-homes-listed-for-5-3m-survive-a-sale/,"meter,housing market,lincoln park,luxury real estate,residential real estate"
https://therealdeal.com/chicago/2022/12/06/vista-property-plans-another-west-loop-office-project/,"meter,chicago office market,vista property group,west loop"
https://therealdeal.com/chicago/2022/12/06/chicago-approves-3m-tiny-home-village-for-homeless/,"meter,affordable housing,chicago,homelessness"
https://therealdeal.com/chicago/2022/12/06/bridge-braces-for-loss-as-tenants-flee-suburban-chicago-office/,"meter,bridge investment group,office market,suburban chicago"
https://therealdeal.com/chicago/2022/12/05/xeris-ceo-lists-contemporary-lincoln-park-eco-mansion-for-6m/,"meter,housing market,lincoln park,luxury real estate,residential real estate"
https://therealdeal.com/chicago/2022/12/05/wacker-drive-office-building-back-on-market-after-failed-310m-deal/,"meter,cindat capital management,loop,office market,zeller realty group"
https://therealdeal.com/chicago/2022/12/05/movers-sterling-bay-lands-beringer-from-blackstones-revantage-as-cfo/,"meter,cbre,cresa,sterling bay"
https://therealdeal.com/chicago/2022/12/05/joint-venture-on-south-loop-mixed-use-tower-gets-okd/,"meter,development,south loop"
https://therealdeal.com/chicago/2022/12/05/glencoes-priciest-home-this-year-could-be-demolished-for-new-digs/,"meter,glencoe,luxury housing"
https://therealdeal.com/chicago/2022/12/02/tishman-extends-search-for-new-loop-tower-tenant-with-citys-redesign-approval/,"meter,chicago,loop,office market,tishman speyer"
https://therealdeal.com/chicago/2022/12/02/st-charles-officials-ponder-42m-redevelopment-of-fire-damaged-resort/,"meter,golf courses,hotel market,suburban chicago"
https://therealdeal.com/chicago/2022/12/02/one-chicago-condo-closes-for-5-6m-in-choppy-condo-market/,"meter,luxury real estate,one chicago,residential real estate,river north"
