,URL,HED,DEK,PUB_DATE,LEDE,STORY_TEXT,ADDRESS
0,https://therealdeal.com/chicago/2022/04/25/first-market-rate-modular-home-available-in-chicagos-south-shore/,First market-rate modular home available in Chicago’s South Shore,"Built in pieces in a factory, modular homes are easier and cheaper to build","Apr.April 25, 2022
11:17 AM",Factory-made modular homes are coming to Chicago.,"[""7205 South Ridgeland Avenue (Jameson Sotheby’s International Realty)Factory-made modular homes are coming to Chicago.Developer Summer Qwest Holdings completed one modular home in South Shore with plans to build at least two more, Crain’s reported.“It’s faster to build [than conventional construction] and easily repeatable,” Summer Qwest’s Marcus Dailey said. “It’s an innovative way to bring new construction that people can afford into the community.”The modular houses are built in pieces in a factory and assembled onsite, which essentially cuts construction time in half. In addition to the shortened construction timeline, the pre-cut, standardized materials are cheaper for builders, meaning the homes can be offered to buyers at a lower price.The first completed modular home for Summer Qwest is a 1,620-square-foot, three-bedroom at 7205 South Ridgeland Avenue. The home is currently listed for $449,900 by Jameson Sotheby’s International Realty.Dailey plans to build two more modular houses on the remaining vacant lots at the corner of Ridgeland Avenue and 72nd Street, next to the completed home. The lots have been vacant for almost 20 years, public records show.While modular construction is often associated with cheaper homes, it’s also becoming more popular with luxury housing developers. A modular seven-bedroom home with a pool and pool house in Bridgehampton, New York sold for $4.7 million in 2020.Dailey is the first developer to use designs from Archer Heights-based Kinexx Modular Construction for market-rate homes. Kinexx’s designs have previously been used for affordable housing projects, including the Resurrection Project in Back of the Yards, where the homes are listed for $200,000. Kinexx is also working with Structured Development to build modular houses in East Garfield Park as part of two developers’ affordable housing requirements.Overall, Kinexx has delivered seven modular homes for affordable housing projects in the Chicago area. The East Garfield Park project, where four of the units are located, will have two more delivered this week and has a total order for 28 homes.[CCB] — Victoria PruittAll rights reserved © 2022 The Real Deal is a registered Trademark of Korangy Publishing Inc.The Real Deal's newsletters give you the latest scoops, fresh headlines, marketing data, and things to know within the industry.By clicking Subscribe you agree to our Privacy Policy.Round-up top news and topics for each of the following citiesSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive below""]",7205 South Ridgeland Avenue
1,https://therealdeal.com/chicago/2021/07/07/chase-is-shopping-for-new-office-space-downtown/,JPMorgan is shopping for up to 1M sf of office space downtown,A lease at that size would be one of largest in city’s history,"Jul.July 07, 2021
01:01 PM","JPMorgan Chase is, well, on the chase again. The banking giant is looking at sites to relocate upwards of 1 million square feet downtown at a time when choice office space is widely available and developers are itching to build.","[""JPMorgan Chase CEO Jamie Dimon with the Chicago Chase Tower (Getty)JPMorgan Chase is, well, on the chase again. The banking giant is looking at sites to relocate upwards of 1 million square feet downtown at a time when choice office space is widely available and developers are itching to build.In what could be a record-breaking lease deal, JPMorgan reportedly is looking at a number of sites in vacant buildings as well as at least four potential new developments in the Loop and Fulton Market, according to the Chicago Tribune. If it does relocate from its namesake tower in the heart of the Loop, it has to determine what to do with that 1.9-million-square-foot skyscraper.This isn’t the first time JPMorgan has scouted for sites, but it looks like it could actually make the move this time, the Tribune said. JPMorgan CEO Jamie Dimon has been outspoken about bringing workers back to the office, insisting that some departments work five days a week onsite.And he’s upped the ante in New York to do it with a new “universal design” headquarters at 270 Park Avenue that has a flexible reconfiguration. At the same time, he’s told shareholders he intends to “significantly reduce” the company’s office footprint.In Chicago, the bank owns and occupies much of the 60-story Chase Tower that is an imposing part of the city’s skyline. It opened in 1969 and has been updated a few times since, but it’s not the same as the shining new skyscrapers Bank of America is now in at 110 N. Wacker Drive or the BMO Tower under construction next to Union Station.Real estate observers told the Tribune that JPMorgan would not want to let its competitors look better than it does in new towers, suggesting a move was imminent. If not, Chase Tower is likely to get a huge overhaul, the report said.[Chicago Tribune] – Jennifer WatersAll rights reserved © 2022 The Real Deal is a registered Trademark of Korangy Publishing Inc.The Real Deal's newsletters give you the latest scoops, fresh headlines, marketing data, and things to know within the industry.By clicking Subscribe you agree to our Privacy Policy.Round-up top news and topics for each of the following citiesSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive below""]",270 Park Avenue
2,https://therealdeal.com/chicago/2019/03/05/sterling-bay-to-double-affordable-housing-at-lincoln-yards-project/,Sterling Bay to double affordable housing at Lincoln Yards project,Alderman Brian Hopkins said the move to offer 600 affordable units may help win over opponents of the megadevelopment,"Mar.March 05, 2019
12:00 PM","UPDATE, March 5, 1:25: Sterling Bay plans to double the amount of affordable housing units in the proposed Lincoln Yards megadevelopment, a move Alderman Brian Hopkins (2nd) said will help win over opponents of the project.","[""Brian Hopkins and Andy Gloor with renderings of Lincoln Yards (Credit: Facebook, Chicago Architecture, and Lincoln Yards)UPDATE, March 5, 1:25: Sterling Bay plans to double the amount of affordable housing units in the proposed Lincoln Yards megadevelopment, a move Alderman Brian Hopkins (2nd) said will help win over opponents of the project.Hopkins spoke at a press conference Tuesday morning where he revealed the Chicago developer now plans to offer 600 affordable units among the 6,000 total residences planned for Lincoln Yards, up from 300 onsite units previously planned.The small amount of affordable housing in the $6 billion project has been a source of contention for some aldermen, who vowed to vote against the project.When Alderman James Cappleman (46th) took over as chairman of the City Council’s Zoning Committee from disgraced Alderman Danny Solis (25th), he said he would delay a vote on Lincoln Yards unless Sterling Bay added more affordable housing.Cappleman later scheduled a special meeting of his committee for Thursday to consider the project, saying Hopkins and Sterling Bay were negotiating the affordable housing issue. A spokesperson for Cappleman Tuesday morning declined comment on the latest development.But Hopkins called Sterling Bay’s decision to add the 300 additional affordable units “very persuasive” and predicted the project will win committee approval Thursday.Mayoral candidates Toni Preckwinkle and Lori Lightfoot, meanwhile, have joined those who want delay the approval process until one of them becomes mayor in May. But Hopkins said the project has been debated and revised since July, a process he said has “consumed” his time, and said there is no need to delay the project any longer.“If we’ve earned support, we’re entitled to a vote now,” he said, adding opponents have not offered any concrete reasons for a delay. “They’ve simply been saying ‘delay, delay, delay’ for no other reason than to delay.”In addition to the 600 onsite affordable units, Sterling Bay has promised to develop 300 more affordable units within three miles of the Lincoln Yards site and pay $39 million into a city fund designed to promote affordable housing citywide.Sterling Bay spokesperson Sarah Hamilton issued a statement saying the firm is committed to be inclusive, whether through diversity in hiring and contracting or through affordable housing efforts.“Chicago is our home and we are proud to double the amount of on-site affordable housing at Lincoln Yards as well as contribute additional units and funds to the city’s affordable housing supply,” she said.All rights reserved © 2022 The Real Deal is a registered Trademark of Korangy Publishing Inc.The Real Deal's newsletters give you the latest scoops, fresh headlines, marketing data, and things to know within the industry.By clicking Subscribe you agree to our Privacy Policy.Round-up top news and topics for each of the following citiesSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive below""]","600 onsite affordable units, St"
3,https://therealdeal.com/chicago/2019/12/13/state-officially-puts-1-2m-sf-thompson-center-on-the-block-selling-it-will-be-a-challenge/,State officially puts 1.2M sf Thompson Center on the block. Selling it will be a challenge.,A division of Ernst & Young has been hired to offload the iconic Chicago building,"Dec.December 13, 2019
10:57 AM","A division of Ernst & Young has been hired to sell the state’s headquarters in the historic Loop building known as the Thompson Center, not long after hearing it would cost $325 million to overhaul.","[""Governor J.B. Pritzker and Ernst and Young’s Mike Parker (inset) with the Thompson Center (Credit: Getty Images, Wikipedia, E&Y)A division of Ernst & Young has been hired to sell the state’s headquarters in the historic Loop building known as the Thompson Center, not long after hearing it would cost $325 million to overhaul.Gov. J.B. Pritzker announced on Thursday that Ernst & Young Infrastructure Advisors will lead the effort to sell the center, which is costing the city and taxpayers $17 million a year. The state hopes to identify a potential developer in the spring and sell the 1.2-million-square-foot building in the second half of 2020, according to the Chicago Tribune.Those who are interested in purchasing the 34-year-old building will have to maintain the Clark/Lake CTA station operating in the building. They’d also have to work out the retail lease held by Winthrop Realty Trust, which doesn’t expire until 2034.Pritzker said the money generated by the sale would go toward closing the gap in the state’s underfunded pension system. Gov. Bruce Rauner pushed for the sale during his tenure, and predicted it would bring in $300 million.“The Thompson Center has outlived its useful life in its current state, requiring $17 million a year just to operatie – and it’s time to generate value for the taxpayers from selling the building,” Pritzker said. [Chicago Tribune] — Jacqueline FlynnAll rights reserved © 2022 The Real Deal is a registered Trademark of Korangy Publishing Inc.The Real Deal's newsletters give you the latest scoops, fresh headlines, marketing data, and things to know within the industry.By clicking Subscribe you agree to our Privacy Policy.Round-up top news and topics for each of the following citiesSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive below""]",
4,https://therealdeal.com/chicago/2021/11/11/mcdonalds-former-campus-locked-in-first-tenant-2/,McDonald’s former campus locked in first tenant,BDO Digital signs a long-term lease starting in 2022,"Nov.November 11, 2021
12:30 PM","McDonald’s former Hamburger University training center in Oak Brook locked in its first tenant, two years after the landlord bought the vacant building in the Chicago suburb.","[""Renderings of 2715 Jorie Boulevard (JPD Oak Brook Holdings)McDonald’s former Hamburger University training center in Oak Brook locked in its first tenant, two years after the landlord bought the vacant building in the Chicago suburb.BDO Digital, a subsidiary of accounting company BDO USA, signed a 28,000-square-foot long-term lease at 2715 Jorie Boulevard that will start in the fourth quarter of 2022, according to a statement from the property owner JPD Oak Brook Holdings.The building will occupy about 30 percent of the former training facility at the Hamburger University. The 80-acre site also plans to have a 17-story, 250-unit high-end apartment building by Texas developer Hines Interest. This will replace the 332,000-square-foot space McDonald’s used for office space.The company’s lease comes at a time when the city’s suburban office buildings have taken a hit from the pandemic as tenants are rethinking the future of work-from-home policies.“The timing for this property’s availability couldn’t have been better,” said Jeff Shay, JLL’s executive vice president who represented the owner of the building. “We’re seeing an influx of interest in suburban offices that provide employers with the tools and environment to offer employees a healthy work-life balance.”Suburban vacancy rate rose to 26.5 percent in the third quarter this year, according to JLL. The rate for the East-West Corridor suburban submarket which includes Oak Brook was slightly lower at 22.1 percent.The co-founder of John Paul Mitchell Systems, a conglomerate producing hair care products, John Paul DeJoria, bought the property for $40 million two years ago and rebranded the former McDonald’s campus as Oak Brook Reserve. The property has a 218-key Hyatt hotel and was updated with outdoor amenities including a pond, a Japanese garden and biking trails after McDonald’s moved its headquarters to Fulton Market in 2018.All rights reserved © 2022 The Real Deal is a registered Trademark of Korangy Publishing Inc.The Real Deal's newsletters give you the latest scoops, fresh headlines, marketing data, and things to know within the industry.By clicking Subscribe you agree to our Privacy Policy.Round-up top news and topics for each of the following citiesSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive below""]",2715 Jorie Boulevard
5,https://therealdeal.com/chicago/2019/04/22/spring-homebuying-season-off-to-cool-start-in-chicago-area-report/,Spring homebuying season off to cool start in Chicago area: report,"March was a worse month for the local housing market than February, according to the Illinois Association of Realtors","Apr.April 22, 2019
03:00 PM","Despite a big increase in the number of homes sold in March, the local housing market continued its buyer-friendly shift.","[""A spring rebound in home sales failed to materialize in MarchDespite a big increase in the number of homes sold in March, the local housing market continued its buyer-friendly shift.The Chicago metro area saw 8,122 homes sell in March, an increase over the 5,600 homes sold in February but a 10 percent year-over-year decline, according to a monthly report from the Illinois Association of Realtors.March was actually a worse month for the market than February, generally considered one of the slowest months for home sales, when the number of home sales dipped 4 percent year over year.Chicago-area prices, meanwhile, increased in March by 0.4 percent to $240,000, after a 1 percent increase in February..The numbers were even worse in Chicago proper, where March home sales decreased by 13.6 percent year over year and prices dropped by 6 percent year over year.In January, Chicago home sales dropped by 10 percent year-over-year. A more dramatic decrease of 16.5 percent was recorded in December, according to the Illinois Association of Realtors.The relatively modest sales decreases in February had some hoping that a springtime rebound was in play. Through March, that has not been the case. But with local home prices stalling — and with Chicago and Illinois’ new leadership now in place — buyers might finally be in a position to act.“The data is reflective of a spring where buyers are being deliberate in their spending,” Tommy Choi, broker-owner at Keller Williams Chicago-Lincoln Park and president of the Chicago Association of Realtors, said in a statement. “As the spring selling season ramps up, we’ll start to see more activity again, although at a more measured pace reflective of the current consumer climate.”Chicago has been forecast to have one of the weakest housing markets in the country this year. Local real estate experts, however, have said that low interest rates, increasing inventory and Millennial interest in the home buying could give the market a jolt.All rights reserved © 2022 The Real Deal is a registered Trademark of Korangy Publishing Inc.The Real Deal's newsletters give you the latest scoops, fresh headlines, marketing data, and things to know within the industry.By clicking Subscribe you agree to our Privacy Policy.Round-up top news and topics for each of the following citiesSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive below""]",
6,https://therealdeal.com/chicago/2022/11/23/mall-owner-sues-cook-county-over-tax-assessments/,Mall owner sues Cook County over tax assessments,Washington Prime Group claims two of its suburban shopping centers overvalued,"Nov.November 23, 2022
11:08 AM","Mall owner Washington Prime Group is suing Cook County over the tax assessments for two of its Chicago-area assets, claiming the assessor’s office “unfairly and unequally assessed” the properties for several years.","[""From left: Cook County Assessor Fritz Kaegi and Washington Prime Group CEO Christopher Conlon (Getty, Google Maps, Cook County Assessor’s Office, Washington Prime Group)Mall owner Washington Prime Group is suing Cook County over the tax assessments for two of its Chicago-area assets, claiming the assessor’s office “unfairly and unequally assessed” the properties for several years.The filing in federal bankruptcy court in Texas is tied to Washington Prime’s bankruptcy and restructuring. The REIT filed for Chapter 11 in June 2021, then reduced its initial $3.5 billion in debts by almost $1 billion and emerged from bankruptcy in October of that year.The adversary case filed last week alleges that the Cook County Assessor’s Office assessed the values of the Lakeview Plaza mall in Orland Park and the Countryside Plaza in Countryside for “far more than the value authorized by Illinois law” based on accepted appraisal methodology for years, going back to the 2016 tax year. Attorneys for Washington Prime didn’t respond to a request for comment. The Cook County Assessor’s Office declined to comment.The Orland Park property was assessed between $30 million and $38 million during the 2016 to 2021 time period, according to numbers provided in the lawsuit. The Countryside property was assessed between $15 million to $19 million.Washington Prime believes it is entitled to refunds of about $2.1 million for Lakeview Plaza taxes and $2.4 million for Countryside Plaza, according to the suit. The firm is also asking the court to determine the market value of the two shopping centers in light of widespread struggles in the mall sector and the deterioration of the properties’ operational performance, per the lawsuit.The mall owner has filed a similar adversary case against Rockaway, NJ, claiming the township unfairly assessed two malls it owns there, Rockaway Commons and Rockaway Town Plaza. In that suit, Washington Prime is claiming it is owed $1.2 million in tax refunds for the two properties, which were assessed from about $16 million to $30 million..Read more\n\n Washington Prime Group files for Chapter 11 bankruptcy \n Washington Prime Group back from bankruptcy; CEO out \n Mall owner Washington Prime Group prepares for bankruptcyAll rights reserved © 2022 The Real Deal is a registered Trademark of Korangy Publishing Inc.The Real Deal's newsletters give you the latest scoops, fresh headlines, marketing data, and things to know within the industry.By clicking Subscribe you agree to our Privacy Policy.Round-up top news and topics for each of the following citiesSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive below""]",
7,https://therealdeal.com/chicago/2018/07/13/paragon-real-estate-buys-retail-condo-in-historic-loop-tower/,Paragon Real Estate buys retail condo in historic Loop tower,The $16M acquisition is the San Diego-based firm’s first in Chicago,"Jul.July 13, 2018
02:00 PM",Paragon Real Estate Investments bought the retail portion of a Loop tower for $16.05 million.,"[""11 South LaSalle Street, Paragon’s Roberto and Ricardo JinichParagon Real Estate Investments bought the retail portion of a Loop tower for $16.05 million.The San Diego-based firm acquired the 13,000-square-foot retail condo in the historic Roanoke Tower at 11 South LaSalle Street from The Prime Group, a Chicago-based real estate development firm.The 103-year-old building houses a 381-key Residence Inn hotel on its upper floors, and the retail space bought by Paragon houses a Citibank branch, the Roanoke Restaurant, a 7-Eleven and a T-Mobile store. It is 91 percent occupied, according to HFF.HFF’s Amy Sands and Clinton Mitchell represented The Prime Group in the sale.The deal is Paragon’s first acquisition in the Chicago market.Another out-of-state investor, the Palm Beach, Florida-based Sterling Organization, earlier this year bought another retail property at 209-227 South State Street a couple blocks away from the Paragon site for $8.1 million.Overall, the amount of available retail anchor space hit an all-time high of 12.3 million square feet in the Chicago area in the first quarter, up from 10.8 million last year, according to a report from CBRE.All rights reserved © 2022 The Real Deal is a registered Trademark of Korangy Publishing Inc.The Real Deal's newsletters give you the latest scoops, fresh headlines, marketing data, and things to know within the industry.By clicking Subscribe you agree to our Privacy Policy.Round-up top news and topics for each of the following citiesSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive below""]",11 South LaSalle Street
8,https://therealdeal.com/chicago/2022/07/15/northbrook-grants-tax-break-to-40m-walgreens-campus-redevelopment/,Northbrook grants tax break to $40M Walgreens campus redevelopment,TA Realty bought suburban Chicago property in May for $21M,"Jul.July 15, 2022
02:34 PM","A Chicago suburb granted a tax break to TA Realty, the Boston company that bought a former Walgreens research facility in May, with plans in place to turn it into a $40 million industrial facility.","[""4000 Commercial Avenue and Panattoni’s Carl Panattoni (LoopNet)A Chicago suburb granted a tax break to TA Realty, the Boston company that bought a former Walgreens research facility in May, with plans in place to turn it into a $40 million industrial facility.TA Realty paid $21 million to acquire the 284,000-square-foot office campus at 4000 Commercial Avenue in Northbrook from Walgreens Boots Alliance. An agreement between Northbrook and California’s Panattoni Development dated May 24 shows that village officials authorized Class 6b classification for the property, a step that cuts the property tax assessment for certain qualifying industrial buildings.The agreement stipulates that Panattoni, which entered the Chicago market in 2000 and has a 544 million-square-foot development profile that spans North America and Europe, plans to invest at least $40 million to complete the project. Neither TA Realty nor Panattoni responded to requests from The Real Deal to confirm that they’re developing the property in tandem.The plans come as office vacancies in suburban Chicago climb to a record 27.1 percent, according to JLL. Brokers have embraced a shift from outdated offices that aren’t in prime locations, which is driving up the rate, to industrial uses. The Chicago area’s industrial market has had few vacancies and developers have only recently matched demand.The Northbrook tax incentive is intended to encourage industrial development and is offered for new industrial facilities, rehabilitation of existing industrial structures and reuse of abandoned buildings for industrial use, according to the Cook County assessor’s website.Panattoni intends to demolish the office building and construct a 447,583-square-foot industrial building, according to the public records. It will be customized for an eventual tenant once it’s been leased.According to the document, the property has been vacant and unused for more than two years except for about 30,000 square feet used by Walgreens. Deerfield-based Walgreens plans to add 14,240 square feet to its main campus to replace the Northbrook property.All rights reserved © 2022 The Real Deal is a registered Trademark of Korangy Publishing Inc.The Real Deal's newsletters give you the latest scoops, fresh headlines, marketing data, and things to know within the industry.By clicking Subscribe you agree to our Privacy Policy.Round-up top news and topics for each of the following citiesSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive below""]",4000 Commercial Avenue
9,https://therealdeal.com/chicago/2019/01/10/coldwell-banker-launches-global-luxury-brand-in-gold-coast/,Coldwell Banker launches Global Luxury brand in Gold Coast,The brokerage has rebranded its longtime Gold Coast office to bolster its luxury offerings,"Jan.January 10, 2019
12:00 PM",Coldwell Banker is rebranding its Gold Coast office to Coldwell Banker Global Luxury as the firm seeks a bigger piece of the luxury market in the tony neighborhood and elsewhere in the city.,"[""Doug Fox and\xa0Coldwell Banker’s Global Luxury Office\xa0at 676 North Michigan AvenueColdwell Banker is rebranding its Gold Coast office to Coldwell Banker Global Luxury as the firm seeks a bigger piece of the luxury market in the tony neighborhood and elsewhere in the city.The Global Luxury brokerage will operate out of Coldwell Banker’s offices at 676 North Michigan Avenue, which underwent a gut rehab for the rebranding, company officials said. It is the first Global Luxury sales office in Illinois.Rebranding the Gold Coast office under the Global Luxury banner will allow the brokerages to bolster its luxury services in a city that saw a record year for $4-million-plus homes sales in 2018, said Ayoub Rabah, president of Coldwell Banker Residential Brokerage in Chicago.“We’re really excited about the global luxury market,” Rabah said. “That’s why we decided to expand our presence in the luxury space. I believe it sets the standard for luxury, and it demonstrates our prominence in the industry.”About 80 agents will work out of the Gold Coast office, and the brokerage is looking to add more, said Doug Fox, branch manager for the office. He said the agents will look to capitalize on the growing residential market Downtown, where buildings like No. 9 Walton, Vista Tower and One Bennett Park are adding hundreds of luxury condominiums.“It’s raising the bar for the number of homes in that price point,” Fox said. “I think it’s a great opportunity.”While other parts of the residential market have had their struggles recently, the luxury market has been strong.At least 70 home sales of $4 million or more were recorded through the first 11 months of 2018. Half were recorded in Chicago, and 20 were recorded in Gold Coast’s No. 9 Walton alone.The number of homes selling at $1 million or higher was up 19 percent through the third quarter of 2018.In targeting the luxury market, the agents in the rebranded Coldwell Banker office will have to compete with one of their former colleagues: Jennifer Ames, one of the highest-performing residential brokers in the Chicago area, this week announced she left the brokerage to launch Chicago’s first outpost for German brokerage Engel & Volkers. Ames said her new venture will continue to target transactions averaging in the $1 million range.Coldwell Banker Residential Brokerage, part of New Jersey-based NRT, operates 50 offices in the Chicago area. The firm did $9.7 billion in sales in 2017, making it the top brokerage by volume in the Chicago area that year.All rights reserved © 2022 The Real Deal is a registered Trademark of Korangy Publishing Inc.The Real Deal's newsletters give you the latest scoops, fresh headlines, marketing data, and things to know within the industry.By clicking Subscribe you agree to our Privacy Policy.Round-up top news and topics for each of the following citiesSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive belowSelect the newsletter you'd like to receive below""]",676 North Michigan Avenue
