|URL|URL_2|HED|DEK|ADDRESS|description_link|PUB_YEAR|geo_address|loc|point|lat|lon|altitude
0|https://therealdeal.com/chicago/?p=317106|https://therealdeal.com/chicago/?p=317106|Real estate’s diversity problem|An entrenched culture marked by privately held family firms has largely blocked out minorities and made sexism a norm|108 Leonard Street|"<a href=""https://therealdeal.com/chicago/?p=317106"" target=""_blank"" rel=""noopener noreferrer"">For both Hollywood</a> and NYC real estate, January marks the self-congratulatory awards season, when the most talented and highest-paid stars come together to put on a feel-good, well-oiled show. But disruptions can happen."|2017|108 Leonard Street Chicago, IL|N Leonard Ave, Chicago, IL, USA|(41.9872007, -87.7682537, 0.0)|41.9872007|-87.7682537|0.0
1|https://therealdeal.com/chicago/?p=350083|https://therealdeal.com/chicago/?p=350083|An insider’s guide to real estate syndication|How the popular investment model works, and who you need to know to get it done|432 Park Avenue|"<a href=""https://therealdeal.com/chicago/?p=350083"" target=""_blank"" rel=""noopener noreferrer"">TRD Special</a> Report:When the equity for what would become New York City’s tallest residential skyscraper came together, it looked less like a partnership than a billionaire boys club."|2017|432 Park Avenue Chicago, IL|N North Park Avenue, Chicago, IL, USA|(41.9106866, -87.636645, 0.0)|41.9106866|-87.636645|0.0
2|https://therealdeal.com/chicago/?p=302451|https://therealdeal.com/chicago/?p=302451|Highgate: The quiet hotel powerhouse|As investors in the sector retreat, Highgate has doubled down, becoming Manhattan’s most active (and under-the-radar) buyer|650 Madison Avenue|"<a href=""https://therealdeal.com/chicago/?p=302451"" target=""_blank"" rel=""noopener noreferrer"">Those who grew up in</a> the 1980s will no doubt remember the catchy jingle about the Milford Plaza Hotel — aka the Lullaby of Broadway."|3024|650 Madison Avenue Chicago, IL|650 W Madison St, Chicago, IL 60661, USA|(41.8821492, -87.64469369999999, 0.0)|41.8821492|-87.64469369999999|0.0
3|https://therealdeal.com/chicago/?p=122962|https://therealdeal.com/chicago/?p=122962|Flagship Apple store on North Michigan could fetch up to $175M: report|Walton Street Capital wants to unload the retail portion of its office tower|401 North Michigan Avenue|"<a href=""https://therealdeal.com/chicago/?p=122962"" target=""_blank"" rel=""noopener noreferrer"">A little less than a</a> year ago, Walton Street Capital acquired 401 North Michigan Avenue for $370 million, adding the office tower on the Magnificent Mile to its global real estate portfolio."|2018|401 North Michigan Avenue Chicago, IL|401 N Michigan Ave, Chicago, IL 60606, USA|(41.88955600000001, -87.6230294, 0.0)|41.88955600000001|-87.6230294|0.0
4|https://therealdeal.com/chicago/?p=123010|https://therealdeal.com/chicago/?p=123010|Drugmaker Depomed shifts headquarters to Lake Forest|The new space is in an office park alongside other pharmaceutical firms|100 South Saunders Road|"<a href=""https://therealdeal.com/chicago/?p=123010"" target=""_blank"" rel=""noopener noreferrer"">Depomed, a maker of</a> pain medications, is moving its headquarters to north suburban Lake Forest, taking space in an office park alongside other pharmaceutical companies."|2018|100 South Saunders Road Chicago, IL|100 Saunders Rd, Lake Forest, IL 60045, USA|(42.238585, -87.8989811, 0.0)|42.238585|-87.8989811|0.0
5|https://therealdeal.com/chicago/?p=123454|https://therealdeal.com/chicago/?p=123454|McDonald’s HQ neighbors look to benefit from Fulton Market boom|Sterling Bay is among property owners seeking to cash in|110 North Carpenter Street|"<a href=""https://therealdeal.com/chicago/?p=123454"" target=""_blank"" rel=""noopener noreferrer"">Two properties are</a> for sale near the new McDonald’s headquarters in the booming Fulton Market district, including one that’s home to the offices of Sterling Bay, developers of the burger giant’s new corporate home."|2018|110 North Carpenter Street Chicago, IL|110 N Carpenter St, Chicago, IL 60607, USA|(41.8836316, -87.6534805, 0.0)|41.8836316|-87.6534805|0.0
6|https://therealdeal.com/chicago/?p=123885|https://therealdeal.com/chicago/?p=123885|GlenStar sues city over stalled Northwest Side apartment project|Developer charges Aldermen shelved the plan because it includes affordable housing|8535 West Higgins Road|"<a href=""https://therealdeal.com/chicago/?p=123885"" target=""_blank"" rel=""noopener noreferrer"">GlenStar Properties</a> is suing the city for blocking its plan to build a 299-unit apartment complex on the Northwest Side. The developer says a City Council committee has shelved the plan because the local alderman objects to its affordable housing component."|2018|8535 West Higgins Road Chicago, IL|8535 W Higgins Rd, Chicago, IL 60631, USA|(41.9857732, -87.8411265, 0.0)|41.9857732|-87.8411265|0.0
7|https://therealdeal.com/chicago/?p=123902|https://therealdeal.com/chicago/?p=123902|American Bar Association renews large lease at 321 North Clark|The building is owned by a JV between Diversified Real Estate Capital and American Realty Advisors|321 North Clark Street|"<a href=""https://therealdeal.com/chicago/?p=123902"" target=""_blank"" rel=""noopener noreferrer"">Hines has renewed</a> the American Bar Association’s lease at 321 North Clark Street."|2018|321 North Clark Street Chicago, IL|321 North Clark, 321 N Clark St, Chicago, IL 60654, USA|(41.8882322, -87.630592, 0.0)|41.8882322|-87.630592|0.0
8|https://therealdeal.com/chicago/?p=123978|https://therealdeal.com/chicago/?p=123978|Equity Residential COO arrested for bringing gun to TSA checkpoint at O’Hare|David Santee said he forgot the gun was in his carry-on: Prosecutors|300 to be released from custody.Assistant St|"<a href=""https://therealdeal.com/chicago/?p=123978"" target=""_blank"" rel=""noopener noreferrer"">A Cook County</a> prosecutor said Equity Residential COO David Santee brought a loaded handgun to a TSA checkpoint at O’Hare International Airport and was arrested early Friday morning."|2018|300 to be released from custody.Assistant St Chicago, IL|Chicago, IL, USA|(41.8781136, -87.6297982, 0.0)|41.8781136|-87.6297982|0.0
9|https://therealdeal.com/chicago/?p=124162|https://therealdeal.com/chicago/?p=124162|Taris Real Estate lands $23 million loan for envelope-pushing West Loop condo project|The project contains a penthouse that broke a pricing record for the neighborhood|900 West Washington Boulevard|"<a href=""https://therealdeal.com/chicago/?p=124162"" target=""_blank"" rel=""noopener noreferrer"">Taris Real Estate</a> just got a $23 million shot in the arm for its condo project at 900 West Washington Boulevard in the West Loop."|2018|900 West Washington Boulevard Chicago, IL|900 W Washington Blvd, Chicago, IL 60607, USA|(41.8833576, -87.65002229999999, 0.0)|41.8833576|-87.65002229999999|0.0
