borough,neighborhood_name,Classification,property_group,year_quarter,deal_volume,avg_price,median_price,# of Deals
Bronx,Bedford Park,Commercial,Multi-Family Dwelling,20/Q1,"$3,500,000","$3,500,000","$3,500,000",1
Bronx,Belmont,Commercial,Multi-Family Dwelling,20/Q1,"$203,650","$203,650","$203,650",1
Bronx,City Island,Commercial,Other,20/Q1,"$550,000","$550,000","$550,000",1
Bronx,Crotona Park East,Commercial,Land,20/Q1,"$630,000","$630,000","$630,000",1
Bronx,Highbridge,Commercial,Land,20/Q1,"$140,000","$140,000","$140,000",1
Bronx,Hunts Point,Commercial,Other,20/Q1,"$5,550,000","$2,775,000","$2,775,000",2
Bronx,Longwood,Commercial,Other,20/Q1,"$200,000","$200,000","$200,000",1
Bronx,Mott Haven,Commercial,Other,20/Q1,"$34,490,618","$17,245,309","$17,245,309",2
Bronx,Soundview,Commercial,Multi-Family Dwelling,20/Q1,"$855,000","$855,000","$855,000",1
Bronx,Throgs Neck,Commercial,Multi-Family Dwelling,20/Q1,"$830,000","$830,000","$830,000",1
Bronx,Tremont,Commercial,Other,20/Q1,"$2,800,000","$2,800,000","$2,800,000",1
Bronx,University Heights,Commercial,Other,20/Q1,"$2,950,000","$2,950,000","$2,950,000",1
Bronx,Van Nest,Commercial,Other,20/Q1,"$735,897","$735,897","$735,897",1
Bronx,Westchester Square,Commercial,Mixed-Use,20/Q1,"$499,999","$499,999","$499,999",1
Bronx,Westchester Square,Commercial,Multi-Family Dwelling,20/Q1,"$750,000","$750,000","$750,000",1
Bronx,Westchester Village,Commercial,Multi-Family Dwelling,20/Q1,"$850,000","$850,000","$850,000",1
Bronx,Williamsbridge,Commercial,Mixed-Use,20/Q1,"$1,200,000","$600,000","$600,000",2
Bronx,Woodstock,Commercial,Other,20/Q1,"$5,800,000","$5,800,000","$5,800,000",1
Bronx,,Commercial,Other,20/Q1,"$23,714,511","$23,714,511","$23,714,511",1
Brooklyn,Bath Beach,Commercial,Multi-Family Dwelling,20/Q1,"$1,280,000","$1,280,000","$1,280,000",1
Brooklyn,Bay Ridge,Commercial,Mixed-Use,20/Q1,"$1,392,500","$1,392,500","$1,392,500",1
Brooklyn,Bay Ridge,Commercial,Other,20/Q1,"$900,000","$300,000","$300,000",3
Brooklyn,Bedford-Stuyvesant,Commercial,Land,20/Q1,"$1,500,000","$1,500,000","$1,500,000",1
Brooklyn,Bedford-Stuyvesant,Commercial,Mixed-Use,20/Q1,"$635,000","$635,000","$635,000",1
Brooklyn,Bedford-Stuyvesant,Commercial,Retail,20/Q1,"$3,000,000","$3,000,000","$3,000,000",1
Brooklyn,Bensonhurst,Commercial,Mixed-Use,20/Q1,"$1,600,000","$1,600,000","$1,600,000",1
Brooklyn,Bensonhurst,Commercial,Multi-Family Dwelling,20/Q1,"$2,100,000","$1,050,000","$1,050,000",2
