SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-24-2023,Condo/Co-op,1627 Brickell Ave #2802,Miami,FL,33129,690000,2,2.5,IMPERIAL AT BRICKELL COND,1316,,1983,,524,1088,Sold,,,https://www.redfin.com/FL/Miami/1627-Brickell-Ave-33129/unit-2802/home/42764591,MARMLS,A11295806,N,Y,25.7559866,-80.1940884
PAST SALE,March-28-2023,Condo/Co-op,520 Brickell Key Dr Unit A1716,Miami,FL,33131,1200000,3,3.0,BRICKELL KEY ONE CONDO,2029,,1982,,591,1943,Sold,,,https://www.redfin.com/FL/Miami/520-Brickell-Key-Dr-33131/unit-A1716/home/42769095,MARMLS,A11296884,N,Y,25.7671705,-80.1849347
PAST SALE,February-15-2023,Condo/Co-op,7600 Collins Ave #1205,Miami Beach,FL,33141,450000,1,1.5,OCEANBLUE CONDO OF MIAMI,857,,2004,,525,695,Sold,,,https://www.redfin.com/FL/Miami-Beach/7600-Collins-Ave-33141/unit-1205/home/43310698,MARMLS,A11286310,N,Y,25.8617302,-80.1214511
PAST SALE,,Condo/Co-op,1717 N Bayshore Dr Unit A-1245,Miami,FL,33132,301000,1,1.0,,1138,,1986,,264,,,,,https://www.redfin.com/FL/Miami/1717-N-Bayshore-Dr-33132/unit-A-1245/home/42721122,,,N,Y,25.791316,-80.1861552
PAST SALE,,Condo/Co-op,1717 N Bayshore Dr Unit A-3346,Miami,FL,33132,551000,2,2.0,,1479,,1986,,373,,,,,https://www.redfin.com/FL/Miami/1717-N-Bayshore-Dr-33132/unit-A-3346/home/42727523,,,N,Y,25.791316,-80.1861552
PAST SALE,,Condo/Co-op,1717 N Bayshore Dr Unit A-3054,Miami,FL,33132,551000,2,2.0,,1509,,1986,,365,,,,,https://www.redfin.com/FL/Miami/1717-N-Bayshore-Dr-33132/unit-A-3054/home/42727244,,,N,Y,25.791316,-80.1861552
PAST SALE,,Condo/Co-op,1717 N Bayshore Dr Unit A-1152,Miami,FL,33132,551000,1,1.0,,985,,1986,,559,,,,,https://www.redfin.com/FL/Miami/1717-N-Bayshore-Dr-33132/unit-A-1152/home/43417663,,,N,Y,25.791316,-80.1861552
PAST SALE,,Condo/Co-op,2699 Tigertail Ave #31,Miami,FL,33133,1375000,3,3.0,,2525,,2005,,545,,,,,https://www.redfin.com/FL/Miami/2699-Tigertail-Ave-33133/unit-31/home/43320160,,,N,Y,25.7321517,-80.2372068
PAST SALE,,Condo/Co-op,1717 N Bayshore Dr Unit C-4042,Miami,FL,33132,301000,1,1.0,,1094,,1986,,275,,,,,https://www.redfin.com/FL/Miami/1717-N-Bayshore-Dr-33132/unit-C-4042/home/42725591,,,N,Y,25.791316,-80.1861552
PAST SALE,,Condo/Co-op,1717 N Bayshore Dr Unit C-4044,Miami,FL,33132,101000,1,1.0,,1067,,1986,,95,,,,,https://www.redfin.com/FL/Miami/1717-N-Bayshore-Dr-33132/unit-C-4044/home/42730110,,,N,Y,25.791316,-80.1861552
PAST SALE,,Condo/Co-op,3411 Indian Creek Dr #704,Miami Beach,FL,33140,650000,2,2.0,,1200,,1991,,542,,,,,https://www.redfin.com/FL/Miami-Beach/3411-Indian-Creek-Dr-33140/unit-704/home/42791864,,,N,Y,25.8087679,-80.124299
