SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-13-2023,Condo/Co-op,7904 West Dr #416,North Bay Village,FL,33141,258000,1,1.0,BAYSHORE YACHT & TENNIS C,639,,1963,,404,633,Sold,,,https://www.redfin.com/FL/North-Bay-Village/7904-West-Dr-33141/unit-416/home/43425990,MARMLS,A11295408,N,Y,25.8490962,-80.1597452
PAST SALE,,Condo/Co-op,5555 Collins Ave Unit 8N,Miami,FL,33140,660000,2,2.0,,1301,,1967,,507,,,,,https://www.redfin.com/FL/Miami/5555-Collins-Ave-33140/unit-8N/home/42778358,,,N,Y,25.8354831,-80.1200457
PAST SALE,,Condo/Co-op,1627 Brickell Ave #2906,Miami,FL,33129,740000,2,2.0,,1316,,1983,,562,,,,,https://www.redfin.com/FL/Miami/1627-Brickell-Ave-33129/unit-2906/home/42759111,,,N,Y,25.7559866,-80.1940884
PAST SALE,January-17-2023,Condo/Co-op,7601 E Treasure Dr Ph 206,North Bay Village,FL,33141,487500,2,2.0,THE GRANDVIEW PALACE COND,1030,,1987,,473,646,Sold,,,https://www.redfin.com/FL/North-Bay-Village/7601-E-Treasure-Dr-33141/unit-206/home/43440167,MARMLS,A11315830,N,Y,25.8476718,-80.1458676
PAST SALE,,Condo/Co-op,1616 Drexel Ave #3,Miami Beach,FL,33139,655000,2,2.0,,1063,,1931,,616,,,,,https://www.redfin.com/FL/Miami-Beach/1616-Drexel-Ave-33139/unit-3/home/43412609,,,N,Y,25.7897649,-80.133372
PAST SALE,December-30-2022,Condo/Co-op,10350 W Bay Harbor Dr Unit 4F,Bay Harbor Islands,FL,33154,315000,1,1.0,ISLAND POINTE CONDO,950,,1966,,332,828,Sold,,,https://www.redfin.com/FL/Miami-Beach/10350-W-Bay-Harbor-Dr-33154/unit-4F/home/43265214,Stellar MLS,J956543,N,Y,25.8939398,-80.1333984
PAST SALE,January-12-2023,Condo/Co-op,7215 NW 179th St #105,Hialeah,FL,33015,209000,1,1.0,VILLA BELLINI CONDO,678,,1988,,308,408,Sold,,,https://www.redfin.com/FL/Miami/7215-NW-179th-St-33015/unit-105/home/43325392,MARMLS,A11318436,N,Y,25.937472,-80.3188507
PAST SALE,January-20-2023,Condo/Co-op,2740 SW 28th Ter #401,Miami,FL,33133,375000,1,1.0,VILLAGGIO IN THE GROVE TO,613,,2006,,612,340,Sold,,,https://www.redfin.com/FL/Miami/2740-SW-28th-Ter-33133/unit-401/home/43364303,MARMLS,A11329728,N,Y,25.738422,-80.2387993
PAST SALE,,Townhouse,7480 NW 181st St,Hialeah,FL,33015,350000,2,2.0,,1150,1559,2007,,304,,,,,https://www.redfin.com/FL/Hialeah/7480-NW-181st-St-33015/home/43339057,,,N,Y,25.9376941,-80.3234652
PAST SALE,,Condo/Co-op,2810 NE 201st Ter Unit G321,Miami,FL,33180,165000,2,2.0,,1098,,1968,,150,,,,,https://www.redfin.com/FL/Miami/2810-NE-201st-Ter-33180/unit-G321/home/42930914,,,N,Y,25.9618989,-80.1447337
PAST SALE,,Condo/Co-op,10101 Collins Ave Unit 3E,Bal Harbour,FL,33154,2800000,3,5.0,,3690,,1994,,759,,,,,https://www.redfin.com/FL/Bal-Harbour/10101-Collins-Ave-33154/unit-3E/home/42903222,,,N,Y,25.8926977,-80.1228812
PAST SALE,January-10-2023,Condo/Co-op,19715 SW 114th Ave #357,Miami,FL,33157,138000,2,2.0,POINT SOUTH CONDO,800,,1974,,173,297,Sold,,,https://www.redfin.com/FL/Miami/19715-SW-114th-Ave-33157/unit-357/home/43219352,MARMLS,A11316911,N,Y,25.582241,-80.3760406
PAST SALE,,Condo/Co-op,11 Island Ave #1506,Miami Beach,FL,33139,800000,2,2.0,,1238,,1972,,646,,,,,https://www.redfin.com/FL/Miami-Beach/11-Island-Ave-33139/unit-1506/home/42796832,,,N,Y,25.7895342,-80.1477865
PAST SALE,,Condo/Co-op,3070 Allamanda St Unit I,Miami,FL,33133,580000,2,2.0,,1010,,1993,,574,,,,,https://www.redfin.com/FL/Miami/3070-Allamanda-St-33133/unit-I/home/42762394,,,N,Y,25.7341988,-80.2428169
PAST SALE,January-10-2023,Condo/Co-op,1200 Brickell Bay Dr #4119,Miami,FL,33131,630000,1,1.0,THE CLUB AT BRICKELL BAY,825,,2005,,764,580,Sold,,,https://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-4119/home/43319476,MARMLS,A11324957,N,Y,25.7619124,-80.1904397
PAST SALE,,Condo/Co-op,9952 N Kendall Dr Unit 312-3,Miami,FL,33176,230000,2,2.0,,1050,,1968,,219,,,,,https://www.redfin.com/FL/Miami/9952-N-Kendall-Dr-33176/unit-312-3/home/43329816,,,N,Y,25.685664,-80.356992
PAST SALE,,Condo/Co-op,3550 NE 169th St #303,North Miami Beach,FL,33160,150000,1,1.0,,812,,1972,,185,,,,,https://www.redfin.com/FL/North-Miami-Beach/3550-NE-169th-St-33160/unit-303/home/42881331,,,N,Y,25.9355363,-80.1361213
PAST SALE,,Condo/Co-op,4717 NW 7th St Unit 110-10,Miami,FL,33126,119000,1,1.0,,709,,1974,,168,,,,,https://www.redfin.com/FL/Miami/4717-NW-7th-St-33126/unit-110-10/home/42708212,,,N,Y,25.7798939,-80.2732056
