SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-20-2023,Condo/Co-op,7919 SW 104th St Unit 207F,Miami,FL,33156,240000,1,1.0,VENETIAN PALMS CONDO,854,,1971,,281,489,Sold,,,https://www.redfin.com/FL/Miami/7919-SW-104th-St-33156/unit-F207/home/43319468,MARMLS,A11313494,N,Y,25.674772,-80.324025
PAST SALE,January-20-2023,Condo/Co-op,9725 Hammocks Blvd Unit 208F,Miami,FL,33196,225000,2,2.0,LAKEVIEW AT THE HAMMOCKS,870,,1983,,259,492,Sold,,,https://www.redfin.com/FL/Miami/9725-Hammocks-Blvd-33196/unit-208F/home/43186815,MARMLS,A11300102,N,Y,25.6738584,-80.4380849
PAST SALE,January-20-2023,Condo/Co-op,8999 SW 123rd Ct Unit 204-7,Miami,FL,33186,290000,2,2.0,KENLAND WALK CONDO II,944,,1987,,307,301,Sold,,,https://www.redfin.com/FL/Miami/8999-SW-123rd-Ct-33186/unit-204-7/home/43177938,MARMLS,A11311679,N,Y,25.6837739,-80.3954974
PAST SALE,January-20-2023,Condo/Co-op,8307 SW 142nd Ave Unit F202,Miami,FL,33183,250000,2,2.0,CAPTIVA LAKES VILLAS COND,973,,1972,,257,266,Sold,,,https://www.redfin.com/FL/Miami/8307-SW-142nd-Ave-33183/unit-F202/home/43261776,MARMLS,A11301869,N,Y,25.6891618,-80.4226939
PAST SALE,January-20-2023,Condo/Co-op,789 Crandon Blvd #902,Key Biscayne,FL,33149,2401000,2,2.5,CLUB TOWER ONE CONDO,2100,,1998,,1143,3067,Sold,,,https://www.redfin.com/FL/Key-Biscayne/789-Crandon-Blvd-33149/unit-902/home/43465722,MARMLS,A11274188,N,Y,25.6867253,-80.1591245
PAST SALE,January-17-2023,Condo/Co-op,13737 SW 147th Cir Ln #3,Miami,FL,33186,333000,2,2.0,VILG HOMES COUNTRY WALK C,979,,1994,,340,450,Sold,,,https://www.redfin.com/FL/Miami/13737-SW-147th-Circle-Ln-33186/unit-3/home/181291846,MARMLS,A11248071,N,Y,25.6309813,-80.4173028
PAST SALE,January-18-2023,Condo/Co-op,7060 NW 179th St #212,Hialeah,FL,33015,195000,1,1.0,VILLA BELLINI CONDO,648,,1985,,301,266,Sold,,,https://www.redfin.com/FL/Hialeah/7060-NW-179th-St-33015/unit-212/home/43352636,MARMLS,A11265076,N,Y,25.9362281,-80.3174042
PAST SALE,January-20-2023,Condo/Co-op,1650 NE 115th St #610,North Miami,FL,33181,225000,1,2.0,CRICKET CLUBHOUSE CONDO,710,,1972,,317,660,Sold,,,https://www.redfin.com/FL/Miami/1650-NE-115th-St-33181/unit-610/home/43022790,MARMLS,A11269545,N,Y,25.8816558,-80.1640953
PAST SALE,January-16-2023,Condo/Co-op,1005 8th St #307,Miami Beach,FL,33139,739000,2,2.5,The Magnolia Conodminium,1250,,1997,,591,776,Sold,,,https://www.redfin.com/FL/Miami-Beach/1005-8th-St-33139/unit-307/home/42795638,Beaches MLS,F10357500,N,Y,25.7784295,-80.1388677
PAST SALE,January-17-2023,Condo/Co-op,720 Collins Ave #710,Miami Beach,FL,33139,442700,1,1.0,COLLINS TOWERS CONDO,720,,1972,,615,488,Sold,,,https://www.redfin.com/FL/Miami-Beach/720-Collins-Ave-33139/unit-710/home/42801904,MARMLS,A11248935,N,Y,25.7774374,-80.1326959
