full_address,Name of hotel,description,story_link
"50 Alhambra Plaza, Coral Gables, FL 33134",Hyatt Regency Coral Gables,,
"815 Main St, Fort Worth, TX 76102",Hilton Fort Worth,,
"3800 American Blvd E, Bloomington, MN 55425",Hilton Minneapolis-St. Paul Airport,,
"1150 S Beverly Dr, Los Angeles, CA 90035",Beverly Hills Marriott,,
"1 Ocean Blvd, Atlantic Beach, FL 32233",One Ocean Resort & Spa,,
"2493 N Stemmons Fwy, Dallas, TX 75207",Dallas Marriott Suites Medical/Market Center,,
"1433 Camino del Rio S, San Diego, CA 92108",Sheraton Mission Valley San Diego,,
"13341 Woodland Park Rd, Herndon, VA 20171",Embassy Suites by Hilton Dulles Airport,,
"46100 Landing Pkwy, Fremont, CA 94538",Fremont Marriott Silicon Valley,,
"100 Sandoval St, Santa Fe, NM 87501",Hilton Santa Fe Historic Plaza,,
"9000 Bartram Ave, Philadelphia, PA 19153",Embassy Suites by Hilton Philadelphia Airport,,
"5795 Poplar Ave, Memphis, TN 38119",Marriott Memphis East,,
"401 E 6th Ave, Anchorage, AK 99501",Sheraton Anchorage Hotel & Spa,,
"101 Lakeway Dr, Lakeway, TX 78734",Lakeway Resort & Spa,,
"400 Oxford Valley Rd, Langhorne, PA 19047",Sheraton Bucks County Langhorne,,
