full_address,Name of hotel,description,story_link
"3888 Mimosa Dr, Columbus, IN 47201",Courtyard by Marriott Columbus Tipton Lakes,,
"3311 N Scottsdale Rd, Scottsdale, AZ 85251",Courtyard by Marriott Scottsdale Old Town,,
"370 Hughes Center Dr, Las Vegas, NV 89169",Residence Inn by Marriott Las Vegas Hughes Center,,
"801 N 44th St, Phoenix, AZ 85008",Residence Inn by Marriott Phoenix Airport,,
"35466 Dumbarton Ct, Newark, CA 94560",Residence Inn by Marriott Newark Silicon Valley,,
"14620 Aviation Blvd, Hawthorne, CA 90250",SpringHill Suites by Marriott Los Angeles LAX/Manhattan Beach,,
"430 Plymouth Rd, Plymouth Meeting, PA 19462",SpringHill Suites by Marriott Philadelphia Plymouth Meeting,,
"595 Martinsville Road, Basking Ridge, NJ 07920",Courtyard by Marriott Basking Ridge,,
"34905 Newark Blvd, Newark, CA 94560",Courtyard by Marriott Newark Silicon Valley,,
"350 Hegenberger Rd, Oakland, CA 94621",Courtyard by Marriott Oakland Airport,,
"6840 Dallas Pkwy, Plano, TX 75024",Courtyard by Marriott Dallas Plano in Legacy Park,,
"1705 E President George Bush Hwy, Plano, TX 75074",Residence Inn by Marriott Dallas Plano/Richardson,,
"899 Elkridge Landing Rd, Linthicum Heights, MD 21090",SpringHill Suites by Marriott Baltimore BWI Airport,,
"14400 Aviation Blvd, Hawthorne, CA 90250",TownePlace Suites by Marriott Los Angeles LAX/Manhattan Beach,,
"706 S Milton Rd, Flagstaff, AZ 86001",Embassy Suites by Hilton Flagstaff,,
"1345 Treat Blvd, Walnut Creek, CA 94597",Embassy Suites by Hilton Walnut Creek,,
"700 Commons Way, Bridgewater, NJ 08807",Bridgewater Marriott,,
"4700 Guardian Dr, Durham, NC 27703",Marriott Raleigh Durham Research Triangle Park,,
"45 Ivan Allen Jr Blvd NW, Atlanta, GA 30308",W Atlanta – Downtown,,
