Quarter,Total Properties,Existing Supply s.f.,Completions s.f.
2024 Q4,1236,470215485,0
2024 Q3,1236,470215485,391932
2024 Q2,1236,471672105,0
2024 Q1,1236,473593840,1200000
2023 Q4,1236,472743754,3261439
2023 Q3,1236,470432047,1103691
2023 Q2,1235,469753356,3546759
2023 Q1,1240,467282971,1528000
2022 Q4,1237,465475112,7885440
2022 Q3,1237,460675820,225455
2022 Q2,1237,460635910,0
2022 Q1,1235,462534115,1710849
2021 Q4,1232,461084883,777524
2021 Q3,1232,461168709,98200
2021 Q2,1231,461220815,1664793
2021 Q1,1231,462120565,1113580
2020 Q4,1228,456078791,974882
2020 Q3,1227,456644948,2079464
2020 Q2,1227,454450717,515000
2020 Q1,1226,454186875,806095
2019 Q4,1226,456963516,758600
2019 Q3,1221,456473551,2160364
2019 Q2,1218,455820504,4879270
2019 Q1,1214,451416722,1803444
2018 Q4,1209,450436633,480515
2018 Q3,1207,449956118,862154
2018 Q2,1202,449448732,2893802
2018 Q1,1200,446372230,1186295
2017 Q4,1198,446660077,549394
2017 Q3,1197,446512865,71100
2017 Q2,1196,448399465,100965
2017 Q1,1191,448416352,0
2016 Q4,1189,448723843,341134
2016 Q3,1186,448398589,120413
2016 Q2,1185,448278176,1725250
2016 Q1,1183,446653891,0
2015 Q4,1182,446266634,0
2015 Q3,1181,447111660,99558
2015 Q2,1179,447072102,473672
2015 Q1,1176,446939064,296659
2014 Q4,1174,447308111,3038168
2014 Q3,1174,444269943,55497
2014 Q2,1172,444198592,0
2014 Q1,1171,444198592,0
2013 Q4,1166,441134832,3137000
2013 Q3,1165,437991605,400000
2013 Q2,1165,437591605,0
2013 Q1,1165,437591605,0
2012 Q4,1164,433325669,0
2012 Q3,1163,433829669,0
2012 Q2,1163,434096369,0
2012 Q1,1163,434089699,0
2011 Q4,1164,429858546,135000
2011 Q3,1166,429922592,0
2011 Q2,1167,431477574,0
2011 Q1,1167,431477574,0
2010 Q4,1169,430559916,0
2010 Q3,1169,430468161,0
2010 Q2,1169,430500890,0
2010 Q1,1169,430500890,0
2009 Q4,1170,430996953,2152863
2009 Q3,1169,428844090,2200923
2009 Q2,1169,426844664,328800
2009 Q1,1169,426668536,1109080
2008 Q4,1169,422146902,0
2008 Q3,1167,422273302,0
2008 Q2,1167,422273302,0
2008 Q1,1167,422609302,0
2007 Q4,1167,421922656,1500000
2007 Q3,1167,420457717,0
2007 Q2,1167,421068764,0
2007 Q1,1166,420456400,202500
2006 Q4,1164,419035300,0
2006 Q3,1164,419205498,0
2006 Q2,1164,419205498,2601076
2006 Q1,1164,416604422,325111
2005 Q4,1164,416275714,0
2005 Q3,1163,416475714,44000
2005 Q2,1163,416431714,0
2005 Q1,1162,416431714,0
2004 Q4,1161,416431714,77000
2004 Q3,1159,416319653,1206600
2004 Q2,1159,415364053,1238708
2004 Q1,1158,414125345,122000
2003 Q4,1157,414003345,0
2003 Q3,1157,414003345,0
2003 Q2,1155,412998345,0
2003 Q1,1153,412998345,2490158
2002 Q4,1153,410508187,0
2002 Q3,1152,410508187,0
2002 Q2,1152,410508187,92379
2002 Q1,1151,410415808,2508143
2001 Q4,1151,407907665,1260599
2001 Q3,1151,406647066,0
2001 Q2,1151,420067112,855000
2001 Q1,1147,419212112,0
2000 Q4,1147,419213439,0
2000 Q3,1145,419213439,0
2000 Q2,1144,419213439,0
2000 Q1,1143,419213439,91335
1999 Q4,1143,419122104,0
