Status,Address,City Name,List Price Chg Date,Original List Price,List Price,% Change from Original To List Price,Sale Price,SP$/SqFt,% Change from Original to Sold Price,LP$/SqFt,SP$/LP$,CDOM (Days on Market),#Beds,#FBaths,#HBaths,SqFt Liv Area,Lot SqFt,#Garage Spaces,Pool YN,Year Built,Closing Date,List Price Chg Date,Days to Closing from Price Change
Active,211 N Coconut Ln,Miami Beach,02/03/2023,"$15,000,000.00","$9,600,000.00",(36%),,,,"$2,529.64",,576,7,5,0,"3,795","XXX7,000.00",2,Yes,1924,,02/03/2023,
Closed,158 Palm Ave,Miami Beach,12/13/2022,"$59,000,000.00","$39,900,000.00",(32%),"$32,000,000.00",,(46%),,0.8,"1,001",7,7,3,,"XXX30,000.00",5,Yes,2022,02/17/2023,12/13/2022,66
Closed,102 S Hibiscus Dr,Miami Beach,01/23/2023,"$15,000,000.00","$10,390,000.00",(31%),"$9,250,000.00","$1,796.47",(38%),"$2,017.87",0.89,158,5,6,1,"5,149","XXX10,500.00",4,Yes,1948,02/22/2023,01/23/2023,30
Closed,1620 W 21st St,Miami Beach,02/12/2023,"$16,900,000.00","$12,000,000.00",(29%),"$10,999,000.00","$1,893.12",(35%),"$2,065.40",0.92,425,6,5,1,"5,810","XXX8,700.00",0,Yes,1990,03/10/2023,02/12/2023,26
Active,2700 N Bay Rd,Miami Beach,01/23/2023,"$34,000,000.00","$25,000,000.00",(26%),,,,"$2,471.82",,309,11,12,3,"10,114","XXX26,773.00",3,Yes,1925,,01/23/2023,
Active,6445 Allison Rd,Miami Beach,01/25/2023,"$25,500,000.00","$19,750,000.00",(23%),,,,"$2,821.43",,280,6,7,2,"7,000","XXX16,200.00",2,Yes,2021,,01/25/2023,
Active,1510 Bay Dr,Miami Beach,03/15/2023,"$9,499,500.00","$7,500,000.00",(21%),,,,"$1,452.08",,59,5,7,0,"5,165","XXX8,770.00",0,Yes,2017,,03/15/2023,
Active,216 Palm Ave,Miami Beach,01/14/2023,"$25,000,000.00","$19,900,000.00",(20%),,,,"$4,064.54",,151,6,6,1,"4,896","10,000",2,Yes,2022,,01/14/2023,
Active,5141 Pine Tree Dr,Miami Beach,02/26/2023,"$15,000,000.00","$11,995,000.00",(20%),,,,"$1,919.20",,60,5,6,0,"6,250","21,375",2,Yes,1929,,02/26/2023,
Closed,290 S Coconut Ln,Miami Beach,07/20/2022,"$8,990,000.00","$7,199,000.00",(20%),"$5,400,000.00",,(40%),,0.75,350,4,5,,,"XXX7,000.00",2,Yes,2024,12/07/2022,07/20/2022,140
Active,5101 Pine Tree Dr,Miami Beach,10/30/2022,"$26,900,000.00","$22,000,000.00",(18%),,,,"$1,466.67",,328,4,4,1,"15,000","40,300",4,No,2018,,10/30/2022,
Active,1635 W 27th St,Miami Beach,02/22/2023,"$14,900,000.00","$12,250,000.00",(18%),,,,"$2,958.94",,122,5,4,0,"4,140","XXX20,000.00",2,No,1950,,02/22/2023,
Active,18 La Gorce Cir,Miami Beach,03/01/2023,"$170,000,000.00","$140,000,000.00",(18%),,,,"$7,874.75",,344,12,16,9,,"XXX125,161.00",4,Yes,1936,,03/01/2023,
