,TAXING AUTHORITY,2024 PRELIMINARY TAXABLE VALUE,2025 ESTIMATED TAXABLE VALUE BEFORE NEW CONSTRUCTION,PERCENT CHANGE,NEW CONSTRUCTION,2025 JUNE 1ST ESTIMATE,PERCENT CHANGE FROM 2024,NET VALUE CHANGE
0, Miami,94135310116,100330000000,6.6%,3070000000,103400000000,9.8%,9264000000
1, Miami ( DDA ),30067524964,30829000000,2.5%,1671000000,32500000000,8.1%,2432000000
2, Miami Beach,56396947099,59374000000,5.3%,926000000,60300000000,6.9%,3903000000
3, MB Normandy Shores,448663162,486000000,8.3%,1000000,487000000,8.5%,38000000
4, Coral Gables,24572659959,25855000000,5.2%,45000000,25900000000,5.4%,1327000000
5, Hialeah,19972597788,21806000000,9.2%,294000000,22100000000,10.7%,2127000000
6, Miami Springs,1746158731,1872000000,7.2%,14000000,1886000000,8.0%,139000000
7, North Miami,5838979945,6199000000,6.2%,101000000,6300000000,7.9%,461000000
8, North Miami Beach,5337390057,5648000000,5.8%,32000000,5680000000,6.4%,342000000
9, Opa-Locka,1881270610,2087000000,10.9%,13000000,2100000000,11.6%,218000000
10, South Miami,2840371000,3086000000,8.6%,14000000,3100000000,9.1%,259000000
11, Homestead,6061450321,6184000000,2.0%,216000000,6400000000,5.6%,338000000
12, Miami Shores,1978981893,2145000000,8.4%,5000000,2150000000,8.6%,171000000
13, Bal Harbour,6896439848,7393000000,7.2%,7000000,7400000000,7.3%,503000000
14, Bay Harbor Islands,2096671178,2171000000,3.5%,129000000,2300000000,9.7%,203000000
15, Surfside,4751579117,4934000000,3.8%,366000000,5300000000,11.5%,548000000
16, West Miami,968839969,1032000000,6.5%,3000000,1035000000,6.8%,66000000
17, Florida City,1313944972,1396000000,6.2%,148000000,1544000000,17.5%,230000000
18, Biscayne Park,413440290,464000000,12.2%,4000000,468000000,13.2%,54000000
19, El Portal,308737677,344000000,11.4%,68000000,412000000,33.4%,103000000
20, Golden Beach,1857390824,2048000000,10.3%,22000000,2070000000,11.4%,212000000
21, Pinecrest,7605723259,8153000000,7.2%,147000000,8300000000,9.1%,694000000
22, Indian Creek,1004399227,1193000000,18.8%,44000000,1237000000,23.2%,232000000
23, Medley,5795357513,6322000000,9.1%,78000000,6400000000,10.4%,604000000
24, N. Bay Village,1621816894,1806400000,11.4%,3600000,1810000000,11.6%,188000000
25, Key Biscayne,10989883172,11586000000,5.4%,14000000,11600000000,5.6%,610000000
26, Sweetwater,4147472010,4297000000,3.6%,103000000,4400000000,6.1%,252000000
27, Virginia Gardens,407136571,412900000,1.4%,100000,413000000,1.4%,5000000
28, Hialeah Gardens,2306977258,2506000000,8.6%,24000000,2530000000,9.7%,223000000
29, Aventura,13549224714,14183000000,4.7%,17000000,14200000000,4.8%,650000000
30, Unincorporated,124593169769,133799000000,7.4%,1601000000,135400000000,8.7%,10806000000
31, Sunny Isles Beach,17832017201,18946000000,6.2%,154000000,19100000000,7.1%,1267000000
32, Miami Lakes,4891931106,5204000000,6.4%,26000000,5230000000,6.9%,338000000
33, Palmetto Bay,4568869782,4852000000,6.2%,18000000,4870000000,6.6%,301000000
34, Miami Gardens,8753114373,9462000000,8.1%,138000000,9600000000,9.7%,846000000
35, Doral,20200797371,21495000000,6.4%,305000000,21800000000,7.9%,1599000000
36, Cutler Bay,4030385853,4293000000,6.5%,7000000,4300000000,6.7%,269000000
