Site,Address,Owner Name,Existing Building & Use,Zoning Change,Potential Residential Units,Residential ZSF,Potential Affordable Units,Potential Office Change,Potential Retail Added,Potential Height,Lot Count,BBL,Lot Area,No Action,Warehouse,Industrial,full_address,geocoded,lat,lon
PROJECTED SITE 1,539/543 Eighth Avenue,541 Construction Corp.,4-5 story buildings with ground floor retail and offices above,M1-6D to M1-9A/R12,103,"87,615",20,"- 70,516 zsf "," 4,616 zsf ",215 feet,2,"1007610031, 1007610032","5,404 sf",Continuation of existing use,,,"539/543 8th Avenue New York, NY","(40.7542519, -73.9921913)",40.7542519,-73.9921913
PROJECTED SITE 2,253 Westest 28th Street,A Michael Tyler Realty Corp. ,8 story mixed-use building with ground floor retail and office above and one dwelling unit.,M1-6D to M1-9A/R12,110,"94,540",28,"- 25,398 zsf "," 6,332 zsf ",415 feet,1,1007780007,"6,016 sf",Continuation of existing use,,,"253 W 28 St New York, NY","(40.7483748, -73.99546600000001)",40.7483748,-73.995466
PROJECTED SITE 3,210/212 West 29th Street/207 28th Street,"Yung Brothers Real Estate Corp., 210 West 29th StreetCorp., Kopatsos (General PA) ",Three 4-9 story loft buildings with ground-floor retail and offices above,M1-6 to M1-8A/R12,302,"256,966",76,"- 70,516 zsf "," 22,966 zsf ",345 feet,3,"1007780034, 1007780046, 1007780047","15,541 sf",Continuation of existing use,,,"210/212 W 29/207 28 St New York, NY","(40.7479609, -73.9937149)",40.7479609,-73.9937149
PROJECTED SITE 4,253 West 29th Street,8TH Ave. Lumber Yard Corp.,Surface parking,M1-6D to M1-9A/R12,89,"75,873",23,," 8,140 zsf ", 325 feet,1,1007790008,"4,678 sf",Continuation of existing use,,,"253 W 29th Street New York, NY","(40.7489682, -73.9950317)",40.7489682,-73.9950317
PROJECTED SITE 5,250 West 30th Street,HW Development 3 LLC,3-story office building,M1-6D to M1-9A/R12,106,"90,690",27,"- 12,886 zsf "," 9,819 zsf ",315 feet,1,1007790069,"5,643 sf",Continuation of existing use,,,"250 W 30th Street New York, NY","(40.7492043, -73.9947578)",40.7492043,-73.9947578
PROJECTED SITE 6,223/225 West 29th Street,"Gavartins, Rover-NYC, LLC",Two 2-story buildings containing light industrial use,M1-6D to M1-9A/R12,93,"80,467",24,"- 3,676 zsf of industrial use"," 8,665 zsf ",335 feet,2,"1007790025, 1007790026","4,969 sf",Continuation of existing use,,,"223/225 W 29 St New York, NY","(40.74841199999999, -73.993873)",40.748412,-73.993873
PROJECTED SITE 7,"216, 220, 222 West 30th Street","216 West 30 LLC, 220 West 30 LLC, Hemat Realty Corp.",2-story buildings with ground-floor retail and offices above,M1-6D to M1-9A/R12,179,"152,839",45,"- 2,011 zsf of industrial use"," 4,281 zsf ",345 feet,3,"1007790053, 1007790055, 1007790056","9,419 sf",Continuation of existing use,,,"216, 220, 222 W 30th St New York, NY","(40.74882780000001, -73.9936215)",40.7488278,-73.9936215
PROJECTED SITE 8,"356, 358, 360 Seventh Avenue",Corner Realty 30/7 INC,3-4 story buildings with ground floor retail and offices above,M1-6 to M1-9A/R12,100,"85,763",18,"- 4,961 zsf "," 1,983 zsf ",215 feet,3,"1007790043, 1007790044, 1007790045","5,279 sf",Continuation of existing use,,,"356, 358, 360 7th Ave New York, NY","(40.7484702, -73.9927199)",40.7484702,-73.9927199
PROJECTED SITE 9,490 Eighth Avenue,McDonald's Real Estate Company,1-story retail building,M1-6 to M1-9A/R12,91,"74,844",23,, 240 zsf ,305 feet,1,1007840080,"4,838 sf",Continuation of existing use,,,"490 8th Avenue New York, NY","(40.7525294, -73.9928762)",40.7525294,-73.9928762
PROJECTED SITE 10,247 West 36th Street,247 Realty Associates LLC,7-story building with ground floor retail and offices above,M1-6 to M1-9A/R12,70,"60,362",18,"- 18,797 zsf "," 4,722 zsf ",335 feet,1,1007860018,"3,714 sf",Continuation of existing use,,,"247 W 36 St New York, NY","(40.75320540000001, -73.9912901)",40.7532054,-73.9912901
PROJECTED SITE 11,232 West 37th Street,"232 Associates, LLC",5-story office building with ground floor retail,M1-6 to M1-9A/R12,67,"57,496",17,"- 10,820 zsf "," 3,976 zsf ",325 feet,1,1007860066,"3,536 sf",Continuation of existing use,,,"232 W 37 St New York, NY","(40.7534416, -73.99074569999999)",40.7534416,-73.9907457
PROJECTED SITE 12,223-225 West 36th Street,"S.L.H. Group, INC., 223-227 West 36th Street Realty Co.,",Two 3- to 7-story buildings with ground floor retail and offices above,M1-6 to M1-9A/R12,102,"86,921",26,"- 18,113 zsf "," 4,457 zsf ",315 feet,2,"1007860029, 1007860031","5,3768 sf",Continuation of existing use,,,"223-225 W 36 St New York, NY","(40.7528647, -73.9905459)",40.7528647,-73.9905459
PROJECTED SITE 13,221 West 37th Street,221 W 37th Street Realty Group LLC,6-story office building with ground floor retail,M1-6 to M1-9A/R12,76,"65,251",19,"- 16,252 zsf "," 4,891 zsf ",345 feet,1,1007870031,"4,061 sf",Continuation of existing use,,,"221 W 37 St New York, NY","(40.75355080000001, -73.99018819999999)",40.7535508,-73.9901882
PROJECTED SITE 14,221 West 38 Street,Rafael INC,4-story office building with ground floor retail,M1-6 to M1-9A/R12,65,"55,440",17,"- 3,330 zsf "," 1,378 zsf ",325 feet,1,1007880024,"3,428 sf",Continuation of existing use,,,"221 W 38 St New York, NY","(40.7540255, -73.9895336)",40.7540255,-73.9895336
PROJECTED SITE 15,203/205/207 West 38th Street / 526 Seventh Avenue,"E&J Green 38 LLC, 205 Property Co., LLC, 203 Property Co. LLC, SMC 526 Seventh, LLC",Four 2-11 story office and light industrial buildings with ground floor retail,M1-6 to M1-9A/R12,155,"131,812",39,"- 28,153 zsf "," 1,542 zsf ",275 feet,4,"1007880043, 1007880044, 1007880045, 1007880046","8,135 sf",Continuation of existing use,- 889 zsf of warehouse,"-11,449 zsf of industrial","203/205/207 W 38th St / 526 7 Ave New York, NY","(40.7538053, -73.9889275)",40.7538053,-73.9889275
PROJECTED SITE 16,"608, 620, 612, 618 Eighth Avenue","618 Eighth Avenue, LLC, Hata Realty Corp., 610 Eighth Ave. Corp.","Five 3-6 story buildings with ground floor/second story retail, offices and residential units above",M1-6 to M1-9A/R12,138,"120,349",36," 56,594 zsf ","- 13,112 zsf ",275 feet,4,"1007890078, 1007890079, 1007890082, 1007890005","9,965 sf",Continuation of existing use,,,"608, 620, 612, 618 8th Ave New York, NY","(40.7557792, -73.99064849999999)",40.7557792,-73.9906485
PROJECTED SITE 17,236 West 40th Street,236 W. 40th St. Corp.,3-story office building with ground floor retail,M1-6 to M1-9A/R12,78,"66,678",20,"- 2,802 zsf "," 1,026 zsf ",325 feet,1,1007890060,"4,107 sf",Continuation of existing use,,,"236 W 40 St New York, NY","(40.755173, -73.98932959999999)",40.755173,-73.9893296
PROJECTED SITE 18,552/556/558 Seventh Avenue,"Dayan 26-552, Golden Arch Realty Corp., 200 West 40 LLC",Three 3-6 story buildings with ground floor/second story retail and offices above,M1-6 to M1-9A/R12,194,"165,128",49,"- 20,623 zsf ",- 261 zsf ,245 feet,3,"1007890040, 1007890042, 1007890043","10,176 sf",Continuation of existing use,,,"552/556/558 7 Ave New York, NY","(40.75472054374539, -73.98839163861919)",40.75472054,-73.98839164
PROJECTED SITE 19,131 West 23rd Street,"127 West 23rd Owner, LLC",Partially vacant lot with decommissioned St. Vincent de Paul Church,M1-6 to M1-8A/R11,238,"202,774",29,," 31,828 zsf ",275 feet,1,1007990024,"18,592 sf",Continuation of existing use,,,"131 W 23rd Street New York, NY","(40.7437139, -73.99372819999999)",40.7437139,-73.9937282
PROJECTED SITE 20,145/147 West 24th Street,"147 West 24th Owner LLC, 145 West 24th Street Corp.",Two 4- to 7-story office buildings with ground floor retail,M1-6 to M1-8A/R11,79,"67,319",20,"- 19,151 zsf "," 4,360 zsf ",275 feet,2,"1008000014, 1008000015","4,844 sf",Continuation of existing use,,,"145/147 W 24 St New York, NY","(40.7445317, -73.99405)",40.7445317,-73.99405
