borough,block,lot,cd,council,zipcode,address,zonedist1,bldgclass,landuse,ownertype,ownername,Final,lotarea, bldgarea ,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,xcoord,ycoord,zonemap,version,latitude,longitude
QN,7021,1,408,24,11366,8150A UTOPIA PARKWAY,R4,W6,8,X,ST JOHN S UNIVERSITY,ST JOHN'S UNIVERSITY,4112064,4687440,4168578,518862,0,0,159440,0,0,4009138,31,5,6,6,1745.5,1107.42,304.42,171.5,40837500,262101600,1950,2002,2004,,,1.14,0.75,0,2,4,4070210001,1041191,202336,14c,22v2,40.721859,-73.7945775
BX,3273,1,206,15,10458,441 EAST FORDHAM ROAD,R6,W6,8,X,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY,3392065,1743584,947216,796368,947216,0,0,0,0,0,36,6,0,1,677.25,972.33,112,94,20249550,233383050,1922,1986,0,Individual Landmark,INDIVIDUAL LANDMARK,0.51,2.43,0,4.8,2,2032730001,1015968,253211,3c,22v2,40.8616234,-73.8853325
MN,1480,10,108,5,10065,590 EAST 68 STREET,R9,I1,8,X,ROCKEFELLER UNIVERSITY,THE ROCKEFELLER UNIVERSITY,445942,1200000,1200000,0,1200000,0,0,0,0,0,23,6,0,1,999.33,539,180,100.83,66455100,161781300,1940,2011,0,,,2.69,7.52,0,10,1,1014800010,996512,217096,9a,22v2,40.7625463,-73.9557362
MN,533,1,102,1,10012,1 WASHINGTON SQ VLLGE,C1-7,H8,8,P,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,265237,1485916,140481,0,4522,0,121624,0,0,14335,5,17,1904,1921,606,477,568,63,8190450,57647250,1959,1985,0,,,5.6,6.02,2,6.5,1,1005330001,985027,204534,12c,22v2,40.7280752,-73.9971966
MN,1973,1,109,7,10027,530 WEST 120 STREET,R8,W6,8,X,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,734180,"  1,368,870 ",1368870,0,1368870,0,0,0,0,0,26,7,0,0,947.33,775,205,54,24299550,200433150,1901,2009,1989,Individual Landmark,INDIVIDUAL AND INTERIOR LANDMARK,1.86,6.02,0,6.5,1,1019730001,994901,233897,5c,22v2,40.8086626,-73.961525
MN,524,66,102,1,10012,100 BLEECKER STREET,C1-7,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,188029,1260362,758102,0,3587,0,0,0,0,12800,3,30,0,2,377,478,71,110,14760000,151751700,1967,2015,2016,Individual Landmark,INDIVIDUAL LANDMARK,6.7,6.02,2,6.5,1,1005240066,984817,204067,12c,22v2,40.7267934,-73.9979543
BX,4205,30,211,13,10461,1225 MORRIS PARK AVENUE,R4,I1,8,C,ALBERT EINSTEIN COLLEGE OF MEDICINE,ALBERT EINSTEIN COLLEGE OF MEDICINE,220762,464700,464700,0,0,0,0,0,0,464700,2,7,0,0,0,0,0,0,1656900,28489950,1949,0,0,,,2.1,0.75,0,2,2,2042050030,1026742,249991,4a,22v2,40.8527402,-73.8464027
BK,7556,150,314,45,11210,2895 BEDFORD AVENUE,R6,W5,8,O,BROOKLYN COLLEGE,BROOKLYN COLLEGE,720000,1073920,1073920,0,0,0,0,0,0,1073920,8,5,0,3,675,934,435,185,10789200,82254600,1900,2000,2006,,,1.49,2.43,0,4.8,3,3075560150,997989,169288,23a,22v2,40.6313223,-73.9505019
MN,1132,20,107,3,10023,155 WEST 60 STREET,C4-7,W6,8,X,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY,194620,1025320,742820,282500,0,0,0,0,0,414820,3,20,211,212,622.33,431.67,0,0,65241900,162832500,1950,0,0,,,5.27,10,10,10,1,1011320020,988307,220171,8c,22v2,40.7709939,-73.985353
BX,4205,2,211,13,10461,1925 EASTCHESTER ROAD,R6,W9,8,C,ALBERT EINSTEIN COLLEGE OF MEDICINE,ALBERT EINSTEIN COLLEGE OF MEDICINE,240008,959880,959880,0,4150,0,292475,0,0,663255,6,28,0,2,621,207.55,238.58,127.58,2438550,71858250,1972,0,0,,,4,2.43,0,4.8,2,2042050002,1027287,249884,4a,22v2,40.8524439,-73.8444333
