,borough,block,lot,cd,council,zipcode,address,zonedist1,bldgclass,landuse,ownertype,ownername,Final,lotarea, bldgarea ,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,xcoord,ycoord,zonemap,version,latitude,longitude
0,QN,7021,1,408.0,24.0,11366.0,8150A UTOPIA PARKWAY,R4,W6,8.0,X,ST JOHN S UNIVERSITY,ST JOHN'S UNIVERSITY,4112064,4687440,4168578.0,518862.0,0.0,0.0,159440.0,0.0,0.0,4009138.0,31,5.0,6,6,1745.5,1107.42,304.42,171.5,40837500,262101600,1950,2002,2004,,,1.14,0.75,0.0,2.0,4,4070210001,1041191.0,202336.0,14c,22v2,40.721859,-73.7945775
1,BX,3273,1,206.0,15.0,10458.0,441 EAST FORDHAM ROAD,R6,W6,8.0,X,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY,3392065,1743584,947216.0,796368.0,947216.0,0.0,0.0,0.0,0.0,0.0,36,6.0,0,1,677.25,972.33,112.0,94.0,20249550,233383050,1922,1986,0,Individual Landmark,INDIVIDUAL LANDMARK,0.51,2.43,0.0,4.8,2,2032730001,1015968.0,253211.0,3c,22v2,40.8616234,-73.8853325
2,MN,533,1,102.0,1.0,10012.0,1 WASHINGTON SQ VLLGE,C1-7,H8,8.0,P,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,265237,1485916,140481.0,0.0,4522.0,0.0,121624.0,0.0,0.0,14335.0,5,17.0,1904,1921,606.0,477.0,568.0,63.0,8190450,57647250,1959,1985,0,,,5.6,6.02,2.0,6.5,1,1005330001,985027.0,204534.0,12c,22v2,40.7280752,-73.9971966
3,MN,1973,1,109.0,7.0,10027.0,530 WEST 120 STREET,R8,W6,8.0,X,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,734180,"  1,368,870 ",1368870.0,0.0,1368870.0,0.0,0.0,0.0,0.0,0.0,26,7.0,0,0,947.33,775.0,205.0,54.0,24299550,200433150,1901,2009,1989,Individual Landmark,INDIVIDUAL AND INTERIOR LANDMARK,1.86,6.02,0.0,6.5,1,1019730001,994901.0,233897.0,5c,22v2,40.8086626,-73.961525
4,MN,524,66,102.0,1.0,10012.0,100 BLEECKER STREET,C1-7,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,188029,1260362,758102.0,0.0,3587.0,0.0,0.0,0.0,0.0,12800.0,3,30.0,0,2,377.0,478.0,71.0,110.0,14760000,151751700,1967,2015,2016,Individual Landmark,INDIVIDUAL LANDMARK,6.7,6.02,2.0,6.5,1,1005240066,984817.0,204067.0,12c,22v2,40.7267934,-73.9979543
5,MN,1132,20,107.0,3.0,10023.0,155 WEST 60 STREET,C4-7,W6,8.0,X,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY,194620,1025320,742820.0,282500.0,0.0,0.0,0.0,0.0,0.0,414820.0,3,20.0,211,212,622.33,431.67,0.0,0.0,65241900,162832500,1950,0,0,,,5.27,10.0,10.0,10.0,1,1011320020,988307.0,220171.0,8c,22v2,40.7709939,-73.985353
6,MN,1457,17,108.0,5.0,10065.0,450 EAST 63 STREET,R8,D6,4.0,,CORNELL UNIVERSITY,CORNELL UNIVERSITY,96300,723578,103842.0,619736.0,22642.0,0.0,81200.0,0.0,0.0,0.0,4,12.0,503,509,481.58,200.83,200.83,85.0,8685000,40519350,1950,0,0,,,7.51,6.02,0.0,6.5,1,1014570017,995597.0,216617.0,8c,22v2,40.7612328,-73.95904
7,MN,1961,1,109.0,7.0,10027.0,1145 AMSTERDAM AVENUE,R8,W6,8.0,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,117824,"  710,600 ",710600.0,0.0,0.0,0.0,0.0,0.0,0.0,710600.0,3,9.0,0,1,261.83,450.0,70.0,200.0,3870000,68889600,1923,0,0,,,6.03,6.02,0.0,6.5,1,1019610001,995355.0,233245.0,5c,22v2,40.8068725,-73.959886
8,MN,2138,95,112.0,10.0,10032.0,617 WEST 168 STREET,R8,I1,8.0,X,COLUMBIA UNIVERSITYIN THE CITY OF NEW YO RK TRUSTE,COLUMBIA UNIVERSITY,18000,"  93,600 ",93600.0,0.0,0.0,0.0,0.0,0.0,0.0,93600.0,1,7.0,127,129,100.0,180.0,100.0,180.0,558000,4468500,1931,0,0,,,5.2,6.02,0.0,6.5,1,1021380095,1000741.0,245954.0,3b,22v2,40.8417467,-73.9403993
9,MN,2124,39,112.0,10.0,10032.0,1146 ST NICHOLAS AVENUE,C6-2,I1,8.0,X,COLUMBIA UNIVERSITYETC,COLUMBIA UNIVERSITY,2990,"  49,431 ",49431.0,0.0,49431.0,0.0,0.0,0.0,0.0,0.0,1,9.0,0,1,26.17,114.25,0.0,0.0,105750,6452550,1996,0,0,,,16.53,6.02,6.0,6.5,1,1021240039,1001059.0,245458.0,3b,22v2,40.8403847,-73.9392512
