Rank,Agent/Team,Brokerage Firm,# of Deals,$ Volume,Website
1,DEBORAH KERN,CORCORAN,99,"804,803,737",https://www.corcoran.com/real-estate-agents/detail/deborah-kern/2456/regionId/1
2,GOLD TEAM,CORCORAN,99,"786,422,962",https://www.stevengold.com/
3,EKLUND GOMES TEAM,DOUGLAS ELLIMAN,77,"218,131,641",https://theeklundgomesteam.elliman.com/
4,SHAUN OSHER,CORE,32,"202,512,832",https://corenyc.com/agent/shaun-osher/
5,KANE MANERA,CORCORAN,19,"140,304,760",https://www.corcoran.com/real-estate-agents/detail/kane-manera/17174/regionId/1
6,TIROSH & TEAM,DOUGLAS ELLIMAN,61,"136,343,336",https://www.tiroshandteam.com/
7,SHLOMI REUVENI,CHRISTIES-REUVENI,62,"125,174,082",https://reuveni.com/management/
8,HUDSON ADVISORY TEAM,COMPASS,29,"118,765,404",https://www.hudsonadvisoryteam.com/
9,BIANCA DALESSIO,NEST SEEKERS INTERNATIONAL,78,"110,838,486",https://www.nestseekers.com/agent/bianca-dalessio/
10,JANET WANG TEAM,CORCORAN,7,"107,504,875",https://www.corcoran.com/real-estate-agents/detail/janet-wang/5181/regionId/1
11,MICHAEL LORBER TEAM,DOUGLAS ELLIMAN,17,"105,671,909",https://themichaellorberteam.elliman.com/
12,BARTOLUCCI TEAM,DOUGLAS ELLIMAN,52,"98,855,590",https://thebartolucciteam.elliman.com/
13,NOBLE BLACK & PARTNERS,DOUGLAS ELLIMAN,34,"91,984,841",https://nobleblackatdouglas.elliman.com/
14,BETHONEY SHEN TEAM,NEST SEEKERS INTERNATIONAL,94,"91,398,367",https://www.nestseekers.com/group/bethoney-shen/
15,SABRINA SALTIEL TEAM,DOUGLAS ELLIMAN,8,"91,046,688",https://sabrinasaltielteam.elliman.com/
16,JADE CHAN,DOUGLAS ELLIMAN,12,"87,521,409",https://www.elliman.com/newyorkcity/associate/527-a-551-jaxc/jade-chan
17,KAYLA LEE TEAM,SERHANT,53,"86,988,364",https://serhant.com/teams/kayla-lee-team?leaseProperty=false
18,MAYA KADOURI,DOUGLAS ELLIMAN,18,"83,794,588",https://www.elliman.com/newyorkcity/associate/527-a-df180502140152655111/maya-kadouri
19,JANE POWERS,DOUGLAS ELLIMAN,24,"82,278,585",https://www.elliman.com/newyorkcity/associate/527-a-542-jnep/jane-powers
20,ELENA SARKISSIAN,DOUGLAS ELLIMAN,22,"80,151,420",https://elenasarkissian.elliman.com/
21,DORON ZWICKEL TEAM,CORE,20,"76,847,407",https://corenyc.com/agent/doron-zwickel/
22,SHELLEY OKEEFE,CORCORAN,13,"73,375,362",https://www.corcoran.com/real-estate-agents/detail/shelley-f-okeefe/8864/regionId/1
23,PAMELA DARC,COMPASS,25,"69,073,749",https://www.compass.com/agents/pamela-darc/
24,JILL BERNARD,BROWN HARRIS STEVENS,12,"67,154,094",https://www.bhsusa.com/real-estate-agent/jill-bernard
25,SCOTT ROBLES TEAM,DOUGLAS ELLIMAN,40,"65,978,979",https://thescottroblesteam.elliman.com/
26,LANCELOT WATSON-TAFFE,SERHANT,39,"65,893,301",https://serhant.com/agents/lancelot-watson-taffe?leaseProperty=false
27,ELEONORA SRUGO TEAM,DOUGLAS ELLIMAN,24,"65,692,500",https://www.elliman.com/newyorkcity/associate/527-a-df24010216105265521/the-eleonora-and-amp-co-team
28,MACKAY DIXON TEAM,DOUGLAS ELLIMAN,15,"63,546,806",https://themackaydixonteam.elliman.com/
29,NIKKI FIELD TEAM,SOTHEBYS INTERNATIONAL REALTY,5,"59,108,000",https://nikkifield.com/
30,CHRISTIAN HAAG,"SERHANT, FORMERLY NEST SEEKERS INTERNATIONAL",45,"58,751,091",https://serhant.com/agents/christian-haag?leaseProperty=false
31,JIM HAYES,SERHANT,17,"58,245,000",https://serhant.com/agents/jim-hayes?leaseProperty=false
32,JESSICA PETERS,DOUGLAS ELLIMAN,33,"57,859,062",https://thejessicapetersteam.elliman.com/
33,LINDSAY BARTON BARRETT,DOUGLAS ELLIMAN,26,"57,706,400",https://thelindsaybarrettteam.elliman.com/
34,JANICE CHANG TEAM,DOUGLAS ELLIMAN,2,"51,060,000",https://janicechang.elliman.com/
35,BRADLEY MOHR,SERHANT,14,"50,480,000",https://serhant.com/agents/bradley-mohr
36,KEREN RINGLER,DOUGLAS ELLIMAN,7,"48,975,000",https://www.elliman.com/newyorkcity/associate/527-a-df22031418075265512/keren-ringler
37,BENALLOUL TEAM,CORCORAN,10,"48,812,166",https://www.corcoran.com/real-estate-agents/detail/partnership/the-benalloul-team/regionId/1
38,HSIN YUAN YANG,E REALTY INTERNATIONAL,79,"48,758,767",http://www.168usa.com/default.asp.f-meetouragents_view_profile.agentid-27721
39,BARAK BLACKBURN TEAM,COMPASS,46,"46,902,936",https://barakblackburn.com/
40,SHEMESH TEAM,NEST SEEKERS INTERNATIONAL,29,"43,567,450",https://www.nestseekers.com/group/the-shemesh-team/
41,HECHTER BAR-LEV TEAM,CORCORAN,21,"42,967,570",https://www.corcoran.com/real-estate-agents/detail/partnership/hechter-bar-lev-team/regionId/1
42,JAMIE HANNON,SERHANT,9,"42,570,000",https://serhant.com/agents/jamie-hannon
43,BERTRAND BUCHIN,DOUGLAS ELLIMAN,7,"42,247,500",https://www.elliman.com/newyorkcity/associate/527-a-538-brtb/bertrand-buchin
44,HORIZON TEAM,COMPASS,28,"40,663,340",https://www.compass.com/agents/the-horizon-team/
45,DEBORAH L RIEDERS TEAM,CORCORAN,32,"40,052,558",https://www.corcoran.com/real-estate-agents/detail/deborah-l-rieders/2517/regionId/1
46,KEVIN MA,EXP REALTY,55,"39,484,911",https://www.armkey.com/
47,NICOLE GRANDELLI,CORE,17,"39,038,092",https://corenyc.com/agent/nicole-grandelli/
48,VZS TEAM,GLOBAL REAL ESTATE VENTURES GROUP,59,"37,438,046",https://www.grevg.com/?page=agents&id=1
49,MAGGIE KENT,CORE,16,"37,393,092",https://corenyc.com/agent/maggie-kent/
50,JOAN SWIFT,DOUGLAS ELLIMAN,5,"35,837,500",https://joanswift.elliman.com/profile
