Rank,Brokerage Firm,Sales Volume,# of Deals
1,Corcoran Group,$6.47B,2634
2,Douglas Elliman,$6.02B,2680
3,Compass,$5.76B,3393
4,Brown Harris Stevens,$3.4B,1993
5,Sotheby’s International Realty,$1.62B,572
6,Coldwell Banker Warburg,$343M,179
7,Nest Seekers International,$327M,127
8,Modlin Group,$295M,37
9,CORE,$242M,133
10,R New York,$240M,167
11,Serhant,$235M,87
12,Leslie J. Garfield & Company,$191M,32
13,(tie) Reuveni Real Estate,$189M,43
13,(tie) Keller Williams,$189M,190
13,(tie) Triplemint,$189M,157
16,Christie’s International Real Estate,$158M,44
17,Elegran Real Estate,$95M,62
18,BLU Real Estate,$82M,37
19,(tie) Engel & Völkers,$66M,37
19,(tie) Fox Residential Group,$66M,26
21,Bond New York,$55M,71
22,Level Group,$51M,50
23,Kleier Residential,$47M,29
24,(tie) Oxford Property Group,$44M,47
24,(tie) Berkshire Hathaway,$44M,30
