Brokerage Firm,Rank,# of Deals,Sales Volume
Compass,1,"1,203","$1,736,212,445"
The Corcoran Group,2,"1,016","$1,465,953,451"
Douglas Elliman,3,630,"$906,478,358"
Brown Harris Stevens,4,238,"$378,036,544"
Serhant,5,200,"$331,245,468"
Re/Max Edge,6,319,"$266,227,042"
Sotheby'S International Realty,7,59,"$239,959,853"
Re/Max Real Estate Professionals,8,153,"$170,142,861"
Nest Seekers,9,120,"$146,721,201"
MNS,10,93,"$118,442,087"
Momentum Real Estate,11,106,"$104,500,487"
Leslie J Garfield & Co,12,14,"$79,108,047"
Ben Bay Realty Co (All Combined),13,81,"$77,896,338"
Exp Realty NYC,14,81,"$68,374,728"
Re/Max Elite,15,73,"$64,857,705"
Berkshire Hathaway Homeservices Fillmore Real Estate,16,85,"$64,251,452"
Ilite Realty,17,94,"$60,478,871"
Bergen Basin Realty,18,73,"$56,870,300"
Madison Estates Sotheby'S International Realty,19,51,"$52,337,439"
Daniel Gale Sotheby's International Realty,20,37,"$46,890,088"
Coldwell Banker Reliable Real Estate,21,47,"$44,878,388"
R New York,22,28,"$41,629,679"
Keller Williams Realty Landmark,23,49,"$40,465,248"
Keller Williams Realty Empire,24,50,"$39,621,750"
Winzone Realty,25,38,"37,613,930"
