Brokerage Firm,Rank,# of Deals,Sales Volume
The Corcoran Group,1,"2,105","$5,067,588,203"
Compass,2,"2,348","$5,037,369,201"
Douglas Elliman,3,"1,843","$4,227,119,102"
Brown Harris Stevens,4,"1,329","$2,601,199,119"
Sotheby's International Realty,5,427,"$1,094,910,093"
Serhant,6,207,"$580,175,517"
Core,7,108,"$418,575,755"
Official,8,33,"$260,116,500"
Modlin Group,9,24,"$240,467,499"
Coldwell Banker Warburg,10,127,"$240,281,612"
R New York,11,111,"$162,619,100"
Keller Williams Nyc,12,136,"$154,345,348"
Nest Seekers,13,70,"$142,394,546"
The Agency,14,107,"$114,141,534"
Leslie J Garfield & Co,15,18,"$110,709,900"
Christie's International Real Estate/ Reuveni,16,38,"$103,580,551"
Engel & Völkers New York Real Estate,17,20,"$103,219,550"
Berkshire Hathaway Homeservices New York Properties,18,47,"$98,693,875"
Elegran | Forbes Global Properties,19,74,"$98,627,125"
Fox Residential Group,20,22,"$47,161,700"
Argo Residential,21,16,"$45,568,807"
Vandenberg,22,8,"$44,875,000"
Bond New York,23,45,"$39,897,677"
Oxford Property Group,24,51,"$36,500,879"
Next Stop Ny,25,46,"34,331,750"
