Brokerage Firm,Rank,Sales Volume,# of Deals
Keller Williams Realty Landmark,1,498,"$341,132,688"
Douglas Elliman,2,406,"$274,237,892"
E Realty International Corp,3,344,"$260,443,471"
Compass,4,320,"$245,972,722"
Modern Spaces,5,215,"$229,830,235"
Winzone Realty,6,264,"$197,517,869"
Nest Seekers,7,184,"$193,464,753"
Exp Realty NYC,8,300,"$178,631,673"
The Corcoran Group,9,179,"$135,726,642"
Re/Max 1St Choice,10,110,"$120,012,765"
Daniel Gale Sotheby's International Realty,11,103,"$102,016,069"
Maureen Folan R E Group,12,90,"$88,922,543"
Keystone Realty Usa Corp,13,90,"$76,459,075"
Exit Realty First Choice,14,86,"$70,829,934"
East Coast Realtors,15,91,"$70,091,273"
Century Homes Realty Group,16,93,"$68,566,858"
Coldwell Banker American Homes,17,94,"$62,403,958"
Charles Rutenberg Realty,18,96,"$61,437,288"
Keller Williams Realty Of Greater Nassau,19,88,"$59,042,188"
Prime Realty,20,65,"$56,372,504"
Re/Max Team,21,86,"$55,861,929"
B Square Realty,22,70,"$55,438,318"
Berkshire Hathaway Home Services Laffey International Real Estate,23,70,"$53,741,776"
Chase Global Realty Corp,24,60,"$49,119,031"
Global Real Estate Ventures Group,25,56,"48,026,698"
