Brokerage Firm,Rank,# of Deals,$ Volume
Compass,1,1068,"$1,690,229,637"
The Corcoran Group,2,1003,"$1,540,694,220"
Douglas Elliman,3,523,"$755,840,877"
Serhant,4,362,"$655,917,529"
Brown Harris Stevens,5,223,"$344,229,071"
Remax Edge,6,381,"$342,449,751"
Remax Real Estate Professionals,7,171,"$206,052,459"
Nest Seekers,8,113,"$149,925,083"
Momentum Real Estate,9,94,"$102,242,044"
Sotheby's International Realty,10,35,"$89,962,830"
Exp Realty,11,91,"$81,821,201"
Remax Elite,12,79,"$79,957,000"
Berkshire Hathaway Homeservices Fillmore Real Estate,13,88,"$64,831,412"
Daniel Gale Sotheby'S International Realty,14,46,"$59,058,764"
Coldwell Banker Reliable,15,61,"$57,199,590"
Madison Estates Sothebys Realty,16,51,"$55,892,082"
Bergen Basin Realty,17,67,"$54,615,647"
Ben Bay Realty,18,43,"$48,505,800"
Behfar Team,19,35,"$47,928,463"
Jabour Realty Company,20,36,"$45,899,000"
Keller Williams Nyc,21,35,"$41,871,999"
Mns,22,32,"$37,645,805"
Keller Williams Realty Empire,23,34,"$36,825,000"
Revived Residential,24,34,"$35,665,000"
Winzone Realty Inc,25,36,"$35,337,637"
