Brokerage Firm,Rank,# of Deals,$ Volume
COMPASS,1,2673,"$5,736,520,769"
CORCORAN GROUP,2,1953,"$5,245,191,882"
DOUGLAS ELLIMAN,3,1988,"$5,205,716,703"
BROWN HARRIS STEVENS,4,1334,"$2,372,687,243"
SOTHEBYS INTERNATIONAL REALTY,5,490,"$1,599,346,893"
SERHANT,6,285,"$945,090,446"
CORE,7,135,"$393,218,565"
COLDWELL BANKER WARBURG,8,144,"$242,507,457"
MODLIN GROUP,9,26,"$213,168,318"
CHRISTIES INTERNATIONAL REAL ESTATE,10,91,"$191,613,523"
LESLIE J GARFIELD & CO,11,24,"$163,861,375"
NEST SEEKERS,12,66,"$152,055,347"
R NEW YORK,13,91,"$136,122,533"
KELLER WILLIAMS NYC,14,110,"$135,195,988"
THE AGENCY,15,98,"$128,071,954"
HOWARD HANNA ELEGRAN REAL ESTATE,16,83,"$112,190,500"
BERKSHIRE HATHAWAY HOMESERVICES NEW YORK PROPERTIES,17,63,"$82,194,500"
FIND REAL ESTATE,18,81,"$76,850,719"
COLEMAN REAL ESTATE GROUP,19,8,"$54,825,000"
SLOANE SQUARE,20,17,"$48,396,500"
KLEIER RESIDENTIAL,21,15,"$42,737,500"
BLU REALTY GROUP,22,19,"$40,953,874"
NEXT STOP NY,23,41,"$35,305,000"
DIGS REALTY GROUP,24,20,"$33,447,500"
ENGEL & VOLKERS,25,12,"$28,448,775"
