Brokerage Firm,Rank,# of Deals,$ Volume
E REALTY INTERNATIONAL,1,438,"$331,077,446"
DOUGLAS ELLIMAN,2,405,"$309,089,902"
COMPASS,3,369,"$269,720,367"
KELLER WILLIAMS LANDMARK,4,277,"$227,797,118"
WINZONE REALTY,5,287,"$215,296,833"
EXP REALTY,6,245,"$169,233,969"
CORCORAN GROUP,7,192,"$167,523,270"
SERHANT,8,117,"$127,288,031"
B SQUARE REALTY,9,141,"$114,592,281"
REMAX 1ST CHOICE,10,98,"$105,729,630"
KELLER WILLIAMS LANDMARK II,11,128,"$95,539,656"
COLDWELL BANKER AMERICAN HOMES,12,121,"$82,537,848"
DANIEL GALE SOTHEBYS INTL RLTY,13,94,"$82,131,837"
CENTURY HOMES REALTY GROUP,14,101,"$79,508,048"
MAUREEN FOLAN RE GROUP,15,74,"$78,278,888"
KEYSTONE REALTY USA,16,91,"$76,054,549"
PRIME REALTY,17,93,"$68,854,350"
EXIT REALTY FIRST CHOICE,18,71,"$68,453,057"
NEST SEEKERS,19,80,"$64,817,468"
REMAX TEAM,20,81,"$64,231,111"
KELLER WILLIAMS GREATER NASSAU,21,96,"$64,138,788"
ACRE NY REALTY,22,60,"$58,793,995"
KELLER WILLIAMS REALTY LIBERTY,23,84,"$57,050,498"
CHARLES RUTENBERG REALTY,24,81,"$56,378,975"
BROWN HARRIS STEVENS,25,86,"$52,725,304"
