borough,neighborhood_name,Classification,property_group,year_quarter,deal_volume,avg_price,median_price,# of Deals
Bronx,Baychester,Residential,Multi-Family Dwelling,20/Q1,"$740,000","$740,000","$740,000",1
Bronx,Bronxdale,Residential,Co-op,20/Q1,"$150,000","$150,000","$150,000",1
Bronx,Bronxwood,Residential,Multi-Family Dwelling,20/Q1,"$635,000","$635,000","$635,000",1
Bronx,Bronxwood,Residential,Single-Family Home,20/Q1,"$547,102","$273,551","$273,551",2
Bronx,Castle Hill,Residential,Multi-Family Dwelling,20/Q1,"$2,140,000","$535,000","$605,000",4
Bronx,City Island,Residential,Condo,20/Q1,"$390,466","$390,466","$390,466",1
Bronx,Claremont,Residential,Multi-Family Dwelling,20/Q1,"$1,145,000","$572,500","$572,500",2
Bronx,Concourse,Residential,Co-op,20/Q1,"$392,000","$392,000","$392,000",1
Bronx,Country Club,Residential,Multi-Family Dwelling,20/Q1,"$1,493,000","$746,500","$746,500",2
Bronx,Country Club,Residential,Single-Family Home,20/Q1,"$1,645,000","$822,500","$822,500",2
Bronx,Crotona Park East,Residential,Multi-Family Dwelling,20/Q1,"$1,200,000","$600,000","$600,000",2
Bronx,Eastchester,Residential,Multi-Family Dwelling,20/Q1,"$750,000","$750,000","$750,000",1
Bronx,East Tremont,Residential,Single-Family Home,20/Q1,"$275,000","$275,000","$275,000",1
Bronx,Edenwald,Residential,Multi-Family Dwelling,20/Q1,"$644,000","$322,000","$322,000",2
Bronx,Edenwald,Residential,Single-Family Home,20/Q1,"$1,473,000","$491,000","$526,000",3
Bronx,Fieldston,Residential,Co-op,20/Q1,"$509,000","$254,500","$254,500",2
Bronx,Fordham,Residential,Multi-Family Dwelling,20/Q1,"$705,000","$705,000","$705,000",1
Bronx,Fordham,Residential,Single-Family Home,20/Q1,"$285,000","$285,000","$285,000",1
Bronx,Highbridge,Residential,Single-Family Home,20/Q1,"$455,000","$455,000","$455,000",1
Bronx,Kingsbridge,Residential,Co-op,20/Q1,"$397,500","$397,500","$397,500",1
Bronx,Laconia,Residential,Multi-Family Dwelling,20/Q1,"$2,422,996","$605,749","$605,998",4
Bronx,Morris Heights,Residential,Single-Family Home,20/Q1,"$582,500","$582,500","$582,500",1
Bronx,Morris Park,Residential,Multi-Family Dwelling,20/Q1,"$1,225,000","$612,500","$612,500",2
Bronx,North New York,Residential,Multi-Family Dwelling,20/Q1,"$1,465,000","$732,500","$732,500",2
Bronx,Parkchester,Residential,Condo,20/Q1,"$1,368,000","$228,000","$235,000",6
Bronx,Parkchester,Residential,Co-op,20/Q1,"$177,000","$177,000","$177,000",1
Bronx,Parkchester,Residential,Multi-Family Dwelling,20/Q1,"$780,000","$780,000","$780,000",1
Bronx,Pelham Bay,Residential,Single-Family Home,20/Q1,"$575,000","$575,000","$575,000",1
Bronx,Pelham Gradens,Residential,Multi-Family Dwelling,20/Q1,"$610,000","$610,000","$610,000",1
Bronx,Pelham Gradens,Residential,Single-Family Home,20/Q1,"$577,500","$577,500","$577,500",1
Bronx,Pelham Parkway,Residential,Single-Family Home,20/Q1,"$410,000","$410,000","$410,000",1
Bronx,Riverdale,Residential,Co-op,20/Q1,"$1,071,000","$267,750","$240,000",4
Bronx,Riverdale,Residential,Multi-Family Dwelling,20/Q1,"$755,000","$755,000","$755,000",1
Bronx,Schuylerville,Residential,Single-Family Home,20/Q1,"$460,000","$460,000","$460,000",1
Bronx,Soundview,Residential,Condo,20/Q1,"$172,380","$172,380","$172,380",1
Bronx,Soundview,Residential,Multi-Family Dwelling,20/Q1,"$2,668,250","$667,063","$770,000",4
Bronx,Soundview,Residential,Single-Family Home,20/Q1,"$360,000","$360,000","$360,000",1
Bronx,Spuyten Duyvil,Residential,Co-op,20/Q1,"$520,000","$260,000","$260,000",2
Bronx,Throgs Neck,Residential,Co-op,20/Q1,"$379,000","$379,000","$379,000",1
Bronx,Throgs Neck,Residential,Multi-Family Dwelling,20/Q1,"$1,105,000","$552,500","$552,500",2
Bronx,Throgs Neck,Residential,Single-Family Home,20/Q1,"$1,712,800","$570,933","$575,000",3
Bronx,University Heights,Residential,Co-op,20/Q1,"$540,000","$270,000","$270,000",2
Bronx,Wakefield,Residential,Multi-Family Dwelling,20/Q1,"$4,106,999","$684,500","$653,500",6
Bronx,Wakefield,Residential,Single-Family Home,20/Q1,"$1,349,000","$449,667","$512,000",3
Bronx,Westchester Square,Residential,Multi-Family Dwelling,20/Q1,"$780,000","$780,000","$780,000",1
Bronx,Williamsbridge,Residential,Condo,20/Q1,"$155,000","$155,000","$155,000",1
Bronx,Williamsbridge,Residential,Multi-Family Dwelling,20/Q1,"$1,845,000","$615,000","$565,000",3
Bronx,Williamsbridge,Residential,Single-Family Home,20/Q1,"$334,620","$334,620","$334,620",1
Bronx,Woodlawn,Residential,Single-Family Home,20/Q1,"$679,000","$679,000","$679,000",1
Bronx,Woodstock,Residential,Co-op,20/Q1,"$180,000","$180,000","$180,000",1
Bronx,Woodstock,Residential,Single-Family Home,20/Q1,"$295,000","$295,000","$295,000",1
Brooklyn,Bath Beach,Residential,Condo,20/Q1,"$3,365,121","$673,024","$705,000",5
Brooklyn,Bath Beach,Residential,Multi-Family Dwelling,20/Q1,"$5,103,000","$1,275,750","$1,277,500",4
Brooklyn,Bath Beach,Residential,Single-Family Home,20/Q1,"$849,000","$849,000","$849,000",1
Brooklyn,Bay Ridge,Residential,Condo,20/Q1,"$1,554,000","$777,000","$777,000",2
Brooklyn,Bay Ridge,Residential,Co-op,20/Q1,"$885,000","$295,000","$260,000",3
Brooklyn,Bay Ridge,Residential,Multi-Family Dwelling,20/Q1,"$7,515,000","$1,252,500","$1,340,000",6
Brooklyn,Bay Ridge,Residential,Single-Family Home,20/Q1,"$2,075,000","$1,037,500","$1,037,500",2
Brooklyn,Bedford-Stuyvesant,Residential,Condo,20/Q1,"$5,519,820","$788,546","$780,000",7
