,name,title,ID,permit_num,permit_type,review_type,app_start_date,issue_date,processing_time,street_num,street_dir,street_name,street_suffix,work_desc,building_fee_paid,zoning_fee_paid,other_fee_paid,subtotal_paid,building_fee_unpaid,zoning_fee_unpaid,other_fee_unpaid,subtotal_unpaid,building_fee_waived,zoning_fee_waived,other_fee_waived,total_fee,reported_cost,ward,full_address,app_year_start
0,DEWALT MARK D,ARCHITECT,2918165.0,100747649,PERMIT - NEW CONSTRUCTION,TRADITIONAL DEVELOPER SERVICES,2018-02-16,03/13/2018,25.0,1000,W,MONROE,ST,"ERECT NEW 8 STORY HIGH-RISE, 12 UNIT RESIDENTIAL BUILDING WITH GROUND FLOOR PARKING AS PER PLANS.",21021.9,1197.0,13783.0,36001.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36001.9,8000000.0,25.0,1000 W MONROE ST,2018.0
1,HARTSHORNE RAY,ARCHITECT,2944797.0,100764129,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-07-31,08/08/2018,8.0,810,N,CLARK,ST,***DIRECT DEVELOPER SERVICES*** FULL BUILDING PERMIT FOR A PROPOSED SIXTEEN (16) STORY 129 DWELLING UNIT RESIDENTIAL BUILDING WITH THIRTEEN (13) PARKING SPACES AND RETAIL ON THE GROUND FLOOR AS PER PLANS,56458.62,2673.0,0.0,59131.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59131.62,12000000.0,2.0,810 N CLARK ST,2018.0
2,WINEBERG CLARA INES,ARCHITECT,3184534.0,100921065,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-07-26,09/27/2021,63.0,166,N,ABERDEEN,ST,"DDS 2019 CBC: CAISSONS ONLY PERMIT FOR THE NEW CONSTRUCTION OF A 21 STORY RESIDENTIAL BUILDING WITH 224 DWELLING UNITS AND 70 CAR PARKING SPACES. (OCC GROUPS R-2, M, B, S-2, A; CONST TYPE 1A) CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",6000.0,75.0,0.0,6075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6075.0,675000.0,27.0,166 N ABERDEEN ST,2021.0
3,NUTTELMAN JASON P,ARCHITECT,2878062.0,100724116,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-09-28,11/15/2017,48.0,5504,S,MICHIGAN,AVE,**DIRECT DEVELOPER SERVICES PROJECT** ERECT NEW 4 STORY TYPE 1C CONSTRUCTION  MIXED USE BUILDING WITH 58 DWELLING UNITS AND 33 PARKING SPACES PER PLANS AT 5504 S. MICHIGAN AVE/ 65 E. GARFIELD,36613.62,1942.0,0.0,38555.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38555.62,17442000.0,20.0,5504 S MICHIGAN AVE,2017.0
4,"PAISLEY, KIRK",ARCHITECT,2987209.0,100790354,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2019-01-22,03/13/2019,50.0,4835,S,CICERO,AVE,**DIRECT DEVELOPER SERVICES** NEW CONSTRUCTION OF 4 STORY 62 UNIT TYPE 1A BUILDING AS PER PLANS. WRECKING PERMIT TO BE OBTAINED WITHIN 90 DAYS OF THIS PERMIT,29246.94,1887.0,0.0,31133.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31133.94,10800000.0,14.0,4835 S CICERO AVE,2019.0
5,LANDON PETER,ARCHITECT,2985577.0,100789384,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2019-12-23,12/24/2019,1.0,551,W,ELM,ST,**DIRECT DEVELOPER SERVICES PROJECT**  NEW 7 STORY 69 RESIDENTIAL UNIT BUILDING (TYPE 1B PRECAST CONSTRUCTION) WITH ACCESSORY OFFICE AND COMMUNITY SPACES AS PER PLANS.,44515.44,2157.0,15155.0,61827.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61827.44,16788916.0,27.0,551 W ELM ST,2019.0
6,MC KINNEY MARK D,ARCHITECT,3062943.0,100836431,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-01-23,05/01/2020,99.0,146,W,ERIE,ST,DIR. DEV. SERV. - NEW CONSTRUCTION : PERMIT APPLICATION FOR FOURTH FLOOR THROUGH FOURTEENTH LEVEL (PHASE II). A FOURTEEN STORY RESIDENTIAL BUILDING WITH 31 RESI. UNITS (4TH - 14TH FLOOR) WITH ENCLOSED PARKING FOR 46 SPACES (47 REQUIRED @ 1.5/D.U.) AT 1ST-3RD FLOOR AND A RETAIL SPACE OF 2556 SF AT 1ST FLOOR LEVEL.THE FOUNDATION THROUGH LEVEL 3 IS ALREADY APPROVED (AS PHASE I) UNDER SEPARATE PERMIT  APPLICATION #100688266. CONSULTANT REVIEWER: PRIMERA ENGINEERING,41094.54,2347.12,43278.38,86720.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86720.04,18000000.0,42.0,146 W ERIE ST,2020.0
7,AKINDELE ANTHONY,ARCHITECT,3099856.0,100858422,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-09-02,09/10/2020,8.0,508,E,PERSHING,RD,*DIRECT DEV SERVICES* NEW CONSTRUCTION OF A 4-STORY TYPE I-C AFFORDABLE HOUSING BUILDING UTILIZING COLD-FORMED METAL FRAMING ON SHALLOW FOUNDATIONS.,27488.5,2077.0,10299.0,39864.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39864.5,20000000.0,4.0,508 E PERSHING RD,2020.0
8,JERABEK MICHAEL,ARCHITECT,2939459.0,100760826,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-08-29,11/29/2018,92.0,9401,S,STONY ISLAND,AVE,"**DIRECT DEVELOPER SERVICES** NEW CONSTRUCTION OF 7-STORY INDEPENDENT SENIORS RESIDENTIAL APARTMENT BUILDING WITH (134) DWELLING UNITS AND ON-SITE PARKING, FENCING, LANDSCAPING, AND TRASH ENCLOSURE - DIRECT DEVELOPER SERVICES PROGRAM.",70497.0,3956.0,2.0,74455.0,0.0,0.0,0.0,0.0,0.0,0.0,10400.0,84855.0,29386797.0,8.0,9401 S STONY ISLAND AVE,2018.0
9,FAUTSCH STEPHEN J,ARCHITECT,3223602.0,100948455,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-11-18,12/02/2021,14.0,750,N,STATE,ST,***DIRECT DEVELOPER SERVICES*** FIRST TIME INTERIOR BUILDOUT OF AN OFFICE SPACE ON THE 6TH AND 7TH FLOORS OF AN EXISTING MIXED USE HIGH RISE BUILDING AS PER PLANS. CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING,10283.63,1238.0,2650.0,14171.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14171.63,2000000.0,2.0,750 N STATE ST,2021.0
