Name,Region/ City / Neighborhood,Research URL,Description,Use Case,Data type,Brokerage type
National Association of Realtors,National,https://www.nar.realtor/reports,,,,
REBNY,NYC,https://www.rebny.com/content/rebny/en/research.html,,,,
Miami Association of Realtors,Miami,https://www.miamirealtors.com/news/,,,,
National Assoication of Realtors: Chicago,Chicago,https://www.nar.realtor/research-and-statistics/research-reports/local-market-reports,,,,
Council on Tall Buildings & Urban Habitat,Worldwide,https://www.ctbuh.org/data-studies,,,,
Florida Realty of Miami,Miami,https://www.floridarealtors.org/tools-research/reports/florida-housing-market-research-reports,,,,
Chicago Association of Realtors,Chicago,https://chicagorealtor.com/realtor-tools/statistics/,,,,
Illinois Realtors,Chicago,https://www.illinoisrealtors.org/marketstats/,,,,
California Association of Realtors,Los Angeles,https://www.car.org/marketdata/,,,,
Commercial Real Estate Development Association,National,https://www.naiop.org/en/Research-and-Publications/Research-Reports,,,,
International Council of Shopping Centers,National,https://www.icsc.com/news-and-views/research/industry-insights/performance-series/monthly-industry-benchmark,,,,
American Institute of Architects,National,https://www.aia.org/business-intelligence,,,,
Society of Office and Industrial Realtors,National,https://blog.sior.com/,,,,
Property Shark,National,https://www.propertyshark.com/mason/Real-Estate-Market-Reports/,,"Real estate database and property research tool that provides building details, ownership information, comparable sales.",Commercial and Residential,
Crexi,National,https://www.crexi.com/insights/author/admin,,Commercial real estate marketplace,Commercial,
Real Capital Analytics,Worldwide,https://www.rcanalytics.com/rca-insights/,,,Commercial,
Attom Data,National,https://www.attomdata.com/news/category/market-trends/,,"provider of nationwide property data. APIs, bulk data, and cloud real estate data ",Residential,
Trepp,Worldwide,https://www.trepp.com/research-library,,,Commercial,
Morningstar,National,https://www.morningstar.com/collections/507/stock-strategist-industry-reports,,,Stocks,
Kroll Bond Rating Agency,National,https://www.krollbondratings.com/search/publications?page=1,,,Ratings Agency,
Institute of Real Estate Management,National,https://www.irem.org/learning/tools/research-and-reports,,,Educational institution,
Wealth-X,Worldwide,https://www.wealthx.com/insights-resources/reports/,,,Wealth,
Local Logic,National,https://blog.locallogic.co/tag/case-studies/,,,Location,
Statista,National,https://www.statista.com/industry-reports,,,Consumer data,
