Name,Region,Research URL,Description,Use Case,Data type,Source Type,Brokerage type,Notes
National Association of Realtors,National,https://www.nar.realtor/reports,"For a wide range of national real estate residential market statistics, commentaries, and outlooks.","Brokers can access the REALTOR Confidence Index, median home prices by county nationally, the Housing Affordability Index and more.",Residential,Trade Group,N/A,
REBNY,NYC,https://www.rebny.com/content/rebny/en/research.html,New York-based association for the real estate industry.,"Brokers can access the quarterly construction pipeline report, retail reports and confidence indicies.",Commercial and Residential,Trade Group,N/A,
Miami Association of Realtors,Miami,https://www.miamirealtors.com/news/,Residential information for South Florida counties.,Brokers can see monthly real estate statistical reports for South Florida.,Residential,Trade Group,N/A,
National Association of Realtors: Chicago,Chicago,https://www.nar.realtor/research-and-statistics/research-reports/local-market-reports,Insights into the fundamentals and direction of the largest metropolitan housing markets in the U.S.,"These local reports look at various factors affecting home prices, such as: health of the local job market; foreclosure rates; housing inventory; debt-to-income and mortgage-servicing-costs-to-income ratios.",Residential,Trade Group,N/A,I would change to National Association of Realtors: Local Reports to show they have more than just Chicago here. The logo is the same as NAR.
Council on Tall Buildings & Urban Habitat,Worldwide,https://www.ctbuh.org/data-studies,Organization representing city developers.,The council publishes trends in the tallest cities globally plus completion rates.,Construction,Trade Group,N/A,
Florida Realtors,Miami,https://www.floridarealtors.org/tools-research/reports/florida-housing-market-research-reports,Organization for Florida-based real estate agents.,"Brokers can look into monthly, quarterly and annual data for single-family, condo/townhouse and manufactured home sales.",Residential,Trade Group,N/A,
Chicago Association of Realtors,Chicago,https://chicagorealtor.com/realtor-tools/statistics/,Organization for Chicago-based real estate agents.,This group offers monthly indicators on the state of Chicago's 77 neighborhoods and has an interactive map to look into neighborhood-specific data further.,Residential,Trade Group,N/A,
Illinois Realtors,Chicago,https://www.illinoisrealtors.org/marketstats/,Organization for Illinois-based real estate agents.,"Brokers can look at monthly closed sales, monthly closed sales and their changes year over year, median sales price data and more.",Residential,Trade Group,N/A,
California Association of Realtors,Los Angeles,https://www.car.org/marketdata/,Organization for California-based real estate agents.,"Brokers can tap into an interactive map showing local data, a tool that looks at monthly housing supply, CAR's monthly housing overview reports and more.",Residential,Trade Group,N/A,
Commercial Real Estate Development Association,National,https://www.naiop.org/research-and-publications/,Organization for commercial real estate developers.,Developers can tap into forecasts diving into office and industrial demand.,Commercial,Trade Group,N/A,
International Council of Shopping Centers,National,https://www.icsc.com/news-and-views/industry-insights,Organization for the retail and retail real estate industries.,Offers yearly Black Friday shopping forecast and a monthly industry benchmark report.,"Commercial, Retail",Trade Group,N/A,
American Institute of Architects,National,https://www.aia.org/resource-center,Organization for U.S. architects.,Provides business conditions reports and monthly construction updates.,Construction,Trade Group,N/A,
