Name,Region,Research URL,Description,Use Case,Data type,Brokerage type,Notes
National Association of Realtors,National,https://www.nar.realtor/reports,"For a wide range of national real estate residential market statistics, commentaries, and outlooks.","Brokers can access the REALTOR Confidence Index, median home prices by county nationally, the Housing Affordability Index and more.",Residential,N/A,
REBNY,NYC,https://www.rebny.com/content/rebny/en/research.html,New York-based association for the real estate industry.,"Brokers can access the quarterly construction pipeline report, retail reports and confidence indicies.",Commercial and Residential,N/A,
Miami Association of Realtors,Miami,https://www.miamirealtors.com/news/,Residential information for South Florida counties.,Brokers can see monthly real estate statistical reports for South Florida.,Residential,N/A,
National Assoication of Realtors: Chicago,Chicago,https://www.nar.realtor/research-and-statistics/research-reports/local-market-reports,Insights into the fundamentals and direction of the largest metropolitan housing markets in the U.S.,"These local reports look at various factors affecting home prices, such as: health of the local job market; foreclosure rates; housing inventory; debt-to-income and mortgage-servicing-costs-to-income ratios.",Residential,N/A,I would change to National Association of Realtors: Local Reports to show they have more than just Chicago here. The logo is the same as NAR.
Council on Tall Buildings & Urban Habitat,Worldwide,https://www.ctbuh.org/data-studies,Organization representing city developers.,The council publishes trends in the tallest cities globally plus completion rates.,Construction,N/A,
Florida Realtors,Miami,https://www.floridarealtors.org/tools-research/reports/florida-housing-market-research-reports,Organization for Florida-based real estate agents.,"Brokers can look into monthly, quarterly and annual data for single-family, condo/townhouse and manufactured home sales.",Residential,N/A,
Chicago Association of Realtors,Chicago,https://chicagorealtor.com/realtor-tools/statistics/,Organization for Chicago-based real estate agents.,This group offers monthly indicators on the state of Chicago's 77 neighborhoods and has an interactive map to look into neighborhood-specific data further.,Residential,N/A,
Illinois Realtors,Chicago,https://www.illinoisrealtors.org/marketstats/,Organization for Illinois-based real estate agents.,"Brokers can look at monthly closed sales, monthly closed sales and their changes year over year, median sales price data and more.",Residential,N/A,
California Association of Realtors,Los Angeles,https://www.car.org/marketdata/,Organization for California-based real estate agents.,"Brokers can tap into an interactive map showing local data, a tool that looks at monthly housing supply, CAR's monthly housing overview reports and more.",Residential,N/A,
Commercial Real Estate Development Association,National,https://www.naiop.org/research-and-publications/,Organization for commercial real estate developers.,Developers can tap into forecasts diving into office and industrial demand.,Commercial,N/A,
International Council of Shopping Centers,National,https://www.icsc.com/news-and-views/industry-insights,Organization for the retail and retail real estate industries.,Offers yearly Black Friday shopping forecast and a monthly industry benchmark report.,"Commercial, Retail",N/A,
American Institute of Architects,National,https://www.aia.org/resource-center,Organization for U.S. architechts.,Provides business conditions reports and monthly construction updates.,Construction,N/A,
Society of Office and Industrial Realtors,National,https://blog.sior.com/,Organization for office and industrial real estate brokers.,Provides regular sector-wide forecast reports.,"Commercial, Office, Industrial",N/A,
Property Shark,National,https://www.propertyshark.com/mason/Real-Estate-Market-Reports/,Real estate map and database with a range of metrics.,"Real estate database and property research tool that provides building details, ownership information, comparable sales.",Commercial and Residential,N/A,
Crexi,National,https://www.crexi.com/insights/author/admin,Commercial real estate marketplace.,Offers listings along with industry reports.,Commercial,N/A,
MSCI,Worldwide,https://www.msci.com/research-and-insights?topic=real_estate,Provides a range of data on private market investing.,Their commercial property price index looks at changes in commerical real estate pricing.,Commercial,N/A,
Attom Data,National,https://www.attomdata.com/news/category/market-trends/,Provider of nationwide property data.,"APIs, bulk data, and cloud real estate data. ",Residential,N/A,
Trepp,Worldwide,https://www.trepp.com/research-library,National debt data.,"Provides a range of data on everything related to commerical real estate loans: rates, delinquinces, asset-class-specific data, etc.",Commercial,N/A,
Morningstar,National,https://www.morningstar.com/collections/507/stock-strategist-industry-reports,News and analysis on the stock market.,"Provides data on how real estate is performing compared to the rest of the market, along with analysis on top REITs to buy, etc.",Stocks,N/A,
Kroll Bond Rating Agency,National,https://www.krollbondratings.com/search/publications?page=1,Loan-rating agency.,Provides CMBS and RMBS ratings and analysis.,Ratings Agency,N/A,
Institute of Real Estate Management,National,https://www.irem.org/learning/tools/research-and-reports,Organization for property and asset managers.,"Provides reports on compensation, insurance costs for housing providers, etc.",Educational institution,N/A,
Wealth-X,Worldwide,https://wealthx.com/reports,Solutions to help brokers who work with wealthy individuals.,Provides reports on wealth and luxury real estate.,Wealth,N/A,
Local Logic,National,https://locallogic.co/blog/,Location intelligence data provider.,The Insights Atlas provides hyperlocal information on any location in the U.S. and Canada.,Location,N/A,
Statista,National,https://www.statista.com/studies-and-reports/industries-and-markets?idCountry=0&idBranch=460&idLanguage=2&reportType=marketinsightsreports&documentTypes%5B%5D=ppt&documentTypes%5B%5D=pdf&documentTypes%5B%5D=xls&sortMethod=idRelevance&p=1,Platform that provides facts and figures for a range of industries.,Residential and commercial market analyses.,Consumer data,N/A,
Condo Vultures,Miami,https://condovultures.com/category/miami-condo-market-intelligence-report/,Analysis on Miami's condo market.,Market intelligence report is released monthly.,Residential,N/A,
Crunchbase,National,https://about.crunchbase.com/research-reports/,Venture capital database.,APIs and bulk data on venture capital and start-ups.,Company and investment data,N/A,
CB Insights,National,https://www.cbinsights.com/research/,"Platform with research on tech companies, with a focus on artificial intelligence.",Publishes various reports on the rise of artifical intelligence in emerging tech firms/industries.,Company and investment data,N/A,
Mashvisor,National,https://www.mashvisor.com/blog/,Platform for the investment property/vacation rental industry.,"Publishes rankings for vacation rental industry like top places to buy rental property, top lenders, etc.",Investment,N/A,
VTS,National,https://www.vts.com/commercial-real-estate-resources/page/1?&filter-topic=6864,Commercial real estate proptech platform.,Publishes trend articles in the proptech space.,Commercial,N/A,
Red IQ,National,https://www.rediq.com/resource-category/blog/,Platform for underwriting institutional multifamily deals.,Owners can screen deals faster.,Commercial,N/A,
PiinPoint,National,https://www.piinpoint.com/blog,Location data provider.,"Developers can look into a location's raffic analysis, demographic data, nearby brands and more.",Location,N/A,
Regis Online,National,https://sitesusa.com/Data/Reports,Platform that validates locations for commercial real estate projects.,"Developers can make maps to visualize location data, locate customers in markets, etc.","Location, demographics",N/A,I used the Regis logo vs. Sites USA - let me know if you'd like me to switch.
Yardi Matrix,National,https://www.yardimatrix.com/Publications,"Commercial real estate data, research and market reports.","Publishes monthly commercial real estate data on a range of sectors including storage, multifamily, etc.",Commercial,N/A,
CCIM Institute,National,https://www.ccim.com/real-estate-insights/ccim-institute-blog,Association for the commercial real estate industry.,Publishes trends on the commercial real estate industry.,Commercial,N/A,
Home Buying Institute,National,https://homebuyinginstitute.com/mortgage/us-housing-market-forecast/,U.S. residential news aimed at educating home buyers.,Newsletter and website provide a range of residential market news for consumers.,Residential,N/A,
